affectionate_ardinghelli: CPU: 100.48%, Memory: 768.9MiB / 503.5GiB
affectionate_ardinghelli: CPU: 100.15%, Memory: 768.5MiB / 503.5GiB
affectionate_ardinghelli: CPU: 99.96%, Memory: 768.5MiB / 503.5GiB
affectionate_ardinghelli: CPU: 100.05%, Memory: 768.5MiB / 503.5GiB
affectionate_ardinghelli: CPU: 99.72%, Memory: 768.5MiB / 503.5GiB
affectionate_ardinghelli: CPU: 316.33%, Memory: 1.969GiB / 503.5GiB
affectionate_ardinghelli: CPU: 3198.10%, Memory: 1.975GiB / 503.5GiB
affectionate_ardinghelli: CPU: 2434.17%, Memory: 2.31GiB / 503.5GiB
dazzling_kilby: CPU: 101.35%, Memory: 768.6MiB / 503.5GiB
dazzling_kilby: CPU: 100.21%, Memory: 768.4MiB / 503.5GiB
dazzling_kilby: CPU: 100.12%, Memory: 768.4MiB / 503.5GiB
dazzling_kilby: CPU: 100.21%, Memory: 768.4MiB / 503.5GiB
dazzling_kilby: CPU: 99.69%, Memory: 768.4MiB / 503.5GiB
dazzling_kilby: CPU: 100.14%, Memory: 1.815GiB / 503.5GiB
dazzling_kilby: CPU: 2653.96%, Memory: 1.97GiB / 503.5GiB
dazzling_kilby: CPU: 588.36%, Memory: 2.31GiB / 503.5GiB
dazzling_kilby: CPU: 1714.42%, Memory: 2.31GiB / 503.5GiB
relaxed_ellis: CPU: 100.95%, Memory: 768.4MiB / 503.5GiB
relaxed_ellis: CPU: 100.02%, Memory: 768.4MiB / 503.5GiB
relaxed_ellis: CPU: 100.05%, Memory: 768.4MiB / 503.5GiB
relaxed_ellis: CPU: 100.05%, Memory: 768.4MiB / 503.5GiB
relaxed_ellis: CPU: 100.11%, Memory: 768.4MiB / 503.5GiB
relaxed_ellis: CPU: 100.07%, Memory: 1.9GiB / 503.5GiB
relaxed_ellis: CPU: 3193.03%, Memory: 1.975GiB / 503.5GiB
relaxed_ellis: CPU: 2663.95%, Memory: 2.31GiB / 503.5GiB
pedantic_allen: CPU: 100.13%, Memory: 768.6MiB / 503.5GiB
pedantic_allen: CPU: 100.12%, Memory: 768.4MiB / 503.5GiB
pedantic_allen: CPU: 100.21%, Memory: 768.4MiB / 503.5GiB
pedantic_allen: CPU: 100.09%, Memory: 768.4MiB / 503.5GiB
pedantic_allen: CPU: 99.69%, Memory: 768.4MiB / 503.5GiB
pedantic_allen: CPU: 100.09%, Memory: 1.895GiB / 503.5GiB
pedantic_allen: CPU: 3207.00%, Memory: 1.975GiB / 503.5GiB
pedantic_allen: CPU: 2720.45%, Memory: 2.31GiB / 503.5GiB
infallible_davinci: CPU: 100.08%, Memory: 768.8MiB / 503.5GiB
infallible_davinci: CPU: 100.14%, Memory: 768.4MiB / 503.5GiB
infallible_davinci: CPU: 100.08%, Memory: 768.4MiB / 503.5GiB
infallible_davinci: CPU: 99.71%, Memory: 768.4MiB / 503.5GiB
infallible_davinci: CPU: 99.93%, Memory: 768.4MiB / 503.5GiB
infallible_davinci: CPU: 100.08%, Memory: 1.882GiB / 503.5GiB
infallible_davinci: CPU: 3191.12%, Memory: 1.975GiB / 503.5GiB
infallible_davinci: CPU: 2922.79%, Memory: 2.31GiB / 503.5GiB
youthful_shannon: CPU: 99.96%, Memory: 768.6MiB / 503.5GiB
youthful_shannon: CPU: 100.21%, Memory: 768.4MiB / 503.5GiB
youthful_shannon: CPU: 99.56%, Memory: 768.4MiB / 503.5GiB
youthful_shannon: CPU: 100.12%, Memory: 768.4MiB / 503.5GiB
youthful_shannon: CPU: 100.05%, Memory: 768.4MiB / 503.5GiB
youthful_shannon: CPU: 100.18%, Memory: 1.906GiB / 503.5GiB
youthful_shannon: CPU: 3201.19%, Memory: 1.975GiB / 503.5GiB
youthful_shannon: CPU: 2733.99%, Memory: 2.31GiB / 503.5GiB
hungry_shamir: CPU: 151.59%, Memory: 768.7MiB / 503.5GiB
hungry_shamir: CPU: 100.21%, Memory: 768.5MiB / 503.5GiB
hungry_shamir: CPU: 100.08%, Memory: 768.5MiB / 503.5GiB
hungry_shamir: CPU: 100.24%, Memory: 768.5MiB / 503.5GiB
hungry_shamir: CPU: 99.53%, Memory: 768.5MiB / 503.5GiB
hungry_shamir: CPU: 99.65%, Memory: 1.879GiB / 503.5GiB
hungry_shamir: CPU: 3196.43%, Memory: 1.975GiB / 503.5GiB
hungry_shamir: CPU: 2416.37%, Memory: 2.31GiB / 503.5GiB
hopeful_wu: CPU: 159.51%, Memory: 768.5MiB / 503.5GiB
hopeful_wu: CPU: 100.12%, Memory: 768.4MiB / 503.5GiB
hopeful_wu: CPU: 99.75%, Memory: 768.4MiB / 503.5GiB
hopeful_wu: CPU: 99.72%, Memory: 768.4MiB / 503.5GiB
hopeful_wu: CPU: 99.75%, Memory: 768.4MiB / 503.5GiB
hopeful_wu: CPU: 99.74%, Memory: 1.877GiB / 503.5GiB
hopeful_wu: CPU: 3191.80%, Memory: 1.975GiB / 503.5GiB
hopeful_wu: CPU: 2608.75%, Memory: 2.31GiB / 503.5GiB
zen_spence: CPU: 133.99%, Memory: 768.8MiB / 503.5GiB
zen_spence: CPU: 100.12%, Memory: 768.7MiB / 503.5GiB
zen_spence: CPU: 100.09%, Memory: 768.5MiB / 503.5GiB
zen_spence: CPU: 99.53%, Memory: 768.5MiB / 503.5GiB
zen_spence: CPU: 100.05%, Memory: 768.4MiB / 503.5GiB
zen_spence: CPU: 100.02%, Memory: 1.816GiB / 503.5GiB
zen_spence: CPU: 2651.91%, Memory: 1.969GiB / 503.5GiB
zen_spence: CPU: 861.88%, Memory: 2.31GiB / 503.5GiB
wizardly_shtern: CPU: 99.96%, Memory: 768.8MiB / 503.5GiB
wizardly_shtern: CPU: 100.12%, Memory: 768.5MiB / 503.5GiB
wizardly_shtern: CPU: 100.02%, Memory: 768.5MiB / 503.5GiB
wizardly_shtern: CPU: 99.69%, Memory: 768.5MiB / 503.5GiB
wizardly_shtern: CPU: 100.11%, Memory: 768.5MiB / 503.5GiB
wizardly_shtern: CPU: 1806.22%, Memory: 1.969GiB / 503.5GiB
wizardly_shtern: CPU: 1651.54%, Memory: 1.564GiB / 503.5GiB
wizardly_shtern: CPU: 3159.42%, Memory: 2.31GiB / 503.5GiB
