heuristic_banach: CPU: 144.60%, Memory: 1.181GiB / 503.5GiB
heuristic_banach: CPU: 100.21%, Memory: 2.99GiB / 503.5GiB
heuristic_banach: CPU: 99.56%, Memory: 2.99GiB / 503.5GiB
heuristic_banach: CPU: 99.10%, Memory: 2.99GiB / 503.5GiB
heuristic_banach: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
heuristic_banach: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
heuristic_banach: CPU: 100.09%, Memory: 2.99GiB / 503.5GiB
heuristic_banach: CPU: 99.59%, Memory: 2.99GiB / 503.5GiB
heuristic_banach: CPU: 99.69%, Memory: 2.99GiB / 503.5GiB
heuristic_banach: CPU: 99.69%, Memory: 2.99GiB / 503.5GiB
heuristic_banach: CPU: 99.99%, Memory: 2.99GiB / 503.5GiB
heuristic_banach: CPU: 99.78%, Memory: 2.99GiB / 503.5GiB
heuristic_banach: CPU: 100.09%, Memory: 2.99GiB / 503.5GiB
heuristic_banach: CPU: 100.09%, Memory: 2.99GiB / 503.5GiB
heuristic_banach: CPU: 100.09%, Memory: 2.99GiB / 503.5GiB
heuristic_banach: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
heuristic_banach: CPU: 100.09%, Memory: 2.99GiB / 503.5GiB
heuristic_banach: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
heuristic_banach: CPU: 100.09%, Memory: 2.99GiB / 503.5GiB
heuristic_banach: CPU: 99.72%, Memory: 2.99GiB / 503.5GiB
heuristic_banach: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
heuristic_banach: CPU: 100.12%, Memory: 6.42GiB / 503.5GiB
heuristic_banach: CPU: 2570.45%, Memory: 7.627GiB / 503.5GiB
heuristic_banach: CPU: 3182.59%, Memory: 7.626GiB / 503.5GiB
heuristic_banach: CPU: 100.12%, Memory: 6.462GiB / 503.5GiB
heuristic_banach: CPU: 2459.47%, Memory: 7.639GiB / 503.5GiB
heuristic_banach: CPU: 3207.22%, Memory: 7.638GiB / 503.5GiB
heuristic_banach: CPU: 3167.01%, Memory: 7.649GiB / 503.5GiB
heuristic_banach: CPU: 391.84%, Memory: 7.654GiB / 503.5GiB
heuristic_banach: CPU: 99.72%, Memory: 6.081GiB / 503.5GiB
heuristic_banach: CPU: 100.14%, Memory: 6.672GiB / 503.5GiB
heuristic_banach: CPU: 1730.29%, Memory: 9.068GiB / 503.5GiB
heuristic_banach: CPU: 3092.04%, Memory: 9.068GiB / 503.5GiB
heuristic_banach: CPU: 3087.23%, Memory: 9.068GiB / 503.5GiB
heuristic_banach: CPU: 3123.05%, Memory: 9.068GiB / 503.5GiB
heuristic_banach: CPU: 3196.40%, Memory: 9.068GiB / 503.5GiB
heuristic_banach: CPU: 3182.08%, Memory: 9.068GiB / 503.5GiB
heuristic_banach: CPU: 3198.33%, Memory: 9.068GiB / 503.5GiB
heuristic_banach: CPU: 100.03%, Memory: 9.068GiB / 503.5GiB
stoic_lederberg: CPU: 140.68%, Memory: 1.219GiB / 503.5GiB
stoic_lederberg: CPU: 100.21%, Memory: 2.99GiB / 503.5GiB
stoic_lederberg: CPU: 100.05%, Memory: 2.99GiB / 503.5GiB
stoic_lederberg: CPU: 99.99%, Memory: 2.99GiB / 503.5GiB
stoic_lederberg: CPU: 100.05%, Memory: 2.99GiB / 503.5GiB
stoic_lederberg: CPU: 100.05%, Memory: 2.99GiB / 503.5GiB
stoic_lederberg: CPU: 99.12%, Memory: 2.99GiB / 503.5GiB
stoic_lederberg: CPU: 99.95%, Memory: 2.99GiB / 503.5GiB
stoic_lederberg: CPU: 99.19%, Memory: 2.99GiB / 503.5GiB
stoic_lederberg: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
stoic_lederberg: CPU: 100.21%, Memory: 2.99GiB / 503.5GiB
stoic_lederberg: CPU: 99.68%, Memory: 2.99GiB / 503.5GiB
stoic_lederberg: CPU: 99.93%, Memory: 2.99GiB / 503.5GiB
stoic_lederberg: CPU: 100.11%, Memory: 2.99GiB / 503.5GiB
stoic_lederberg: CPU: 99.65%, Memory: 2.99GiB / 503.5GiB
stoic_lederberg: CPU: 100.06%, Memory: 2.99GiB / 503.5GiB
stoic_lederberg: CPU: 99.59%, Memory: 2.99GiB / 503.5GiB
stoic_lederberg: CPU: 99.67%, Memory: 2.99GiB / 503.5GiB
stoic_lederberg: CPU: 99.70%, Memory: 2.99GiB / 503.5GiB
stoic_lederberg: CPU: 100.05%, Memory: 2.99GiB / 503.5GiB
stoic_lederberg: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
stoic_lederberg: CPU: 100.01%, Memory: 6.324GiB / 503.5GiB
stoic_lederberg: CPU: 2025.36%, Memory: 7.627GiB / 503.5GiB
stoic_lederberg: CPU: 3071.92%, Memory: 7.626GiB / 503.5GiB
stoic_lederberg: CPU: 100.11%, Memory: 6.826GiB / 503.5GiB
stoic_lederberg: CPU: 358.25%, Memory: 7.639GiB / 503.5GiB
stoic_lederberg: CPU: 3191.10%, Memory: 7.638GiB / 503.5GiB
stoic_lederberg: CPU: 3196.21%, Memory: 7.647GiB / 503.5GiB
stoic_lederberg: CPU: 1763.66%, Memory: 7.654GiB / 503.5GiB
stoic_lederberg: CPU: 100.05%, Memory: 6.081GiB / 503.5GiB
stoic_lederberg: CPU: 99.68%, Memory: 6.081GiB / 503.5GiB
stoic_lederberg: CPU: 432.22%, Memory: 9.068GiB / 503.5GiB
stoic_lederberg: CPU: 3200.29%, Memory: 9.068GiB / 503.5GiB
stoic_lederberg: CPU: 3197.54%, Memory: 9.068GiB / 503.5GiB
stoic_lederberg: CPU: 3163.90%, Memory: 9.068GiB / 503.5GiB
stoic_lederberg: CPU: 3160.04%, Memory: 9.068GiB / 503.5GiB
stoic_lederberg: CPU: 3086.26%, Memory: 9.068GiB / 503.5GiB
stoic_lederberg: CPU: 3186.86%, Memory: 9.068GiB / 503.5GiB
stoic_lederberg: CPU: 100.15%, Memory: 9.068GiB / 503.5GiB
elated_brown: CPU: 100.08%, Memory: 1.324GiB / 503.5GiB
elated_brown: CPU: 100.37%, Memory: 2.99GiB / 503.5GiB
elated_brown: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
elated_brown: CPU: 100.05%, Memory: 2.99GiB / 503.5GiB
elated_brown: CPU: 99.69%, Memory: 2.99GiB / 503.5GiB
elated_brown: CPU: 99.81%, Memory: 2.99GiB / 503.5GiB
elated_brown: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
elated_brown: CPU: 100.18%, Memory: 2.99GiB / 503.5GiB
elated_brown: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
elated_brown: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
elated_brown: CPU: 100.08%, Memory: 2.99GiB / 503.5GiB
