wonderful_galileo: CPU: 100.48%, Memory: 768.7MiB / 503.5GiB
wonderful_galileo: CPU: 100.61%, Memory: 768.4MiB / 503.5GiB
wonderful_galileo: CPU: 99.72%, Memory: 768.4MiB / 503.5GiB
wonderful_galileo: CPU: 99.75%, Memory: 768.4MiB / 503.5GiB
wonderful_galileo: CPU: 100.15%, Memory: 768.4MiB / 503.5GiB
wonderful_galileo: CPU: 100.09%, Memory: 768.4MiB / 503.5GiB
wonderful_galileo: CPU: 1420.48%, Memory: 1.969GiB / 503.5GiB
wonderful_galileo: CPU: 1900.41%, Memory: 1.563GiB / 503.5GiB
wonderful_galileo: CPU: 3167.18%, Memory: 2.31GiB / 503.5GiB
intelligent_pascal: CPU: 127.64%, Memory: 769MiB / 503.5GiB
intelligent_pascal: CPU: 100.34%, Memory: 768.5MiB / 503.5GiB
intelligent_pascal: CPU: 100.18%, Memory: 768.5MiB / 503.5GiB
intelligent_pascal: CPU: 99.50%, Memory: 768.5MiB / 503.5GiB
intelligent_pascal: CPU: 100.05%, Memory: 768.5MiB / 503.5GiB
intelligent_pascal: CPU: 100.18%, Memory: 768.5MiB / 503.5GiB
intelligent_pascal: CPU: 1881.90%, Memory: 1.558GiB / 503.5GiB
intelligent_pascal: CPU: 274.30%, Memory: 1.564GiB / 503.5GiB
intelligent_pascal: CPU: 3034.76%, Memory: 2.31GiB / 503.5GiB
determined_mayer: CPU: 150.75%, Memory: 768.7MiB / 503.5GiB
determined_mayer: CPU: 100.21%, Memory: 768.4MiB / 503.5GiB
determined_mayer: CPU: 100.18%, Memory: 768.4MiB / 503.5GiB
determined_mayer: CPU: 100.21%, Memory: 768.4MiB / 503.5GiB
determined_mayer: CPU: 100.18%, Memory: 768.4MiB / 503.5GiB
determined_mayer: CPU: 100.12%, Memory: 768.4MiB / 503.5GiB
determined_mayer: CPU: 1912.66%, Memory: 1.616GiB / 503.5GiB
determined_mayer: CPU: 1145.98%, Memory: 1.564GiB / 503.5GiB
determined_mayer: CPU: 3097.27%, Memory: 2.31GiB / 503.5GiB
sharp_hugle: CPU: 139.56%, Memory: 769MiB / 503.5GiB
sharp_hugle: CPU: 100.18%, Memory: 768.4MiB / 503.5GiB
sharp_hugle: CPU: 100.15%, Memory: 768.4MiB / 503.5GiB
sharp_hugle: CPU: 100.15%, Memory: 768.4MiB / 503.5GiB
sharp_hugle: CPU: 99.75%, Memory: 768.4MiB / 503.5GiB
sharp_hugle: CPU: 100.15%, Memory: 768.4MiB / 503.5GiB
sharp_hugle: CPU: 1923.60%, Memory: 1.617GiB / 503.5GiB
