keen_lumiere: CPU: 103.17%, Memory: 1.216GiB / 503.5GiB
keen_lumiere: CPU: 100.13%, Memory: 2.99GiB / 503.5GiB
keen_lumiere: CPU: 100.10%, Memory: 2.99GiB / 503.5GiB
keen_lumiere: CPU: 100.09%, Memory: 2.99GiB / 503.5GiB
keen_lumiere: CPU: 100.04%, Memory: 2.99GiB / 503.5GiB
keen_lumiere: CPU: 100.07%, Memory: 2.99GiB / 503.5GiB
keen_lumiere: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
keen_lumiere: CPU: 100.09%, Memory: 2.99GiB / 503.5GiB
keen_lumiere: CPU: 99.70%, Memory: 2.99GiB / 503.5GiB
keen_lumiere: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
keen_lumiere: CPU: 100.11%, Memory: 2.99GiB / 503.5GiB
keen_lumiere: CPU: 99.68%, Memory: 2.99GiB / 503.5GiB
keen_lumiere: CPU: 99.59%, Memory: 2.99GiB / 503.5GiB
keen_lumiere: CPU: 99.65%, Memory: 2.99GiB / 503.5GiB
keen_lumiere: CPU: 99.93%, Memory: 2.99GiB / 503.5GiB
keen_lumiere: CPU: 99.69%, Memory: 2.99GiB / 503.5GiB
keen_lumiere: CPU: 99.53%, Memory: 2.99GiB / 503.5GiB
keen_lumiere: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
keen_lumiere: CPU: 100.10%, Memory: 2.99GiB / 503.5GiB
keen_lumiere: CPU: 99.61%, Memory: 2.99GiB / 503.5GiB
keen_lumiere: CPU: 100.08%, Memory: 2.99GiB / 503.5GiB
keen_lumiere: CPU: 100.18%, Memory: 2.99GiB / 503.5GiB
keen_lumiere: CPU: 100.10%, Memory: 2.99GiB / 503.5GiB
keen_lumiere: CPU: 100.08%, Memory: 4.412GiB / 503.5GiB
keen_lumiere: CPU: 100.15%, Memory: 7.213GiB / 503.5GiB
keen_lumiere: CPU: 3161.33%, Memory: 7.626GiB / 503.5GiB
keen_lumiere: CPU: 288.07%, Memory: 7.626GiB / 503.5GiB
keen_lumiere: CPU: 100.15%, Memory: 7.046GiB / 503.5GiB
keen_lumiere: CPU: 3202.15%, Memory: 7.638GiB / 503.5GiB
keen_lumiere: CPU: 3193.21%, Memory: 7.642GiB / 503.5GiB
keen_lumiere: CPU: 3142.16%, Memory: 7.652GiB / 503.5GiB
keen_lumiere: CPU: 100.18%, Memory: 6.081GiB / 503.5GiB
keen_lumiere: CPU: 99.95%, Memory: 6.081GiB / 503.5GiB
keen_lumiere: CPU: 99.75%, Memory: 7.473GiB / 503.5GiB
keen_lumiere: CPU: 3193.43%, Memory: 9.068GiB / 503.5GiB
keen_lumiere: CPU: 3190.85%, Memory: 9.068GiB / 503.5GiB
keen_lumiere: CPU: 3088.74%, Memory: 9.068GiB / 503.5GiB
keen_lumiere: CPU: 3151.64%, Memory: 9.068GiB / 503.5GiB
keen_lumiere: CPU: 3105.57%, Memory: 9.068GiB / 503.5GiB
keen_lumiere: CPU: 3113.04%, Memory: 9.068GiB / 503.5GiB
keen_lumiere: CPU: 3198.25%, Memory: 9.068GiB / 503.5GiB
keen_lumiere: CPU: 100.06%, Memory: 3.973GiB / 503.5GiB
exciting_bartik: CPU: 100.15%, Memory: 1.322GiB / 503.5GiB
exciting_bartik: CPU: 100.24%, Memory: 2.99GiB / 503.5GiB
exciting_bartik: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
exciting_bartik: CPU: 100.21%, Memory: 2.99GiB / 503.5GiB
exciting_bartik: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
exciting_bartik: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
exciting_bartik: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
exciting_bartik: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
exciting_bartik: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
exciting_bartik: CPU: 100.18%, Memory: 2.99GiB / 503.5GiB
exciting_bartik: CPU: 100.06%, Memory: 2.99GiB / 503.5GiB
exciting_bartik: CPU: 100.06%, Memory: 2.99GiB / 503.5GiB
exciting_bartik: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
exciting_bartik: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
exciting_bartik: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
exciting_bartik: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
exciting_bartik: CPU: 100.17%, Memory: 2.99GiB / 503.5GiB
exciting_bartik: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
exciting_bartik: CPU: 99.72%, Memory: 2.99GiB / 503.5GiB
exciting_bartik: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
exciting_bartik: CPU: 100.08%, Memory: 2.99GiB / 503.5GiB
exciting_bartik: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
exciting_bartik: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
