gracious_shockley: CPU: 148.30%, Memory: 768.7MiB / 503.5GiB
gracious_shockley: CPU: 100.05%, Memory: 768.6MiB / 503.5GiB
gracious_shockley: CPU: 100.18%, Memory: 768.4MiB / 503.5GiB
gracious_shockley: CPU: 99.78%, Memory: 768.4MiB / 503.5GiB
gracious_shockley: CPU: 99.62%, Memory: 768.4MiB / 503.5GiB
gracious_shockley: CPU: 99.98%, Memory: 1.914GiB / 503.5GiB
gracious_shockley: CPU: 1291.71%, Memory: 2.288GiB / 503.5GiB
gracious_shockley: CPU: 3155.84%, Memory: 2.3GiB / 503.5GiB
gracious_shockley: CPU: 3094.89%, Memory: 2.302GiB / 503.5GiB
gracious_shockley: CPU: 685.24%, Memory: 2.303GiB / 503.5GiB
gracious_shockley: CPU: 3105.91%, Memory: 2.298GiB / 503.5GiB
angry_aryabhata: CPU: 156.40%, Memory: 768.5MiB / 503.5GiB
angry_aryabhata: CPU: 100.08%, Memory: 768.4MiB / 503.5GiB
angry_aryabhata: CPU: 100.09%, Memory: 768.4MiB / 503.5GiB
angry_aryabhata: CPU: 100.06%, Memory: 768.4MiB / 503.5GiB
angry_aryabhata: CPU: 100.02%, Memory: 768.4MiB / 503.5GiB
angry_aryabhata: CPU: 100.14%, Memory: 2.113GiB / 503.5GiB
angry_aryabhata: CPU: 378.62%, Memory: 1.542GiB / 503.5GiB
angry_aryabhata: CPU: 3186.99%, Memory: 2.301GiB / 503.5GiB
angry_aryabhata: CPU: 3208.41%, Memory: 2.303GiB / 503.5GiB
angry_aryabhata: CPU: 369.63%, Memory: 2.298GiB / 503.5GiB
angry_aryabhata: CPU: 1494.12%, Memory: 2.298GiB / 503.5GiB
priceless_bhabha: CPU: 100.09%, Memory: 768.5MiB / 503.5GiB
priceless_bhabha: CPU: 99.83%, Memory: 768.4MiB / 503.5GiB
priceless_bhabha: CPU: 99.44%, Memory: 768.4MiB / 503.5GiB
priceless_bhabha: CPU: 100.02%, Memory: 768.4MiB / 503.5GiB
priceless_bhabha: CPU: 100.12%, Memory: 768.4MiB / 503.5GiB
priceless_bhabha: CPU: 99.71%, Memory: 2.147GiB / 503.5GiB
priceless_bhabha: CPU: 99.78%, Memory: 1.603GiB / 503.5GiB
priceless_bhabha: CPU: 3197.64%, Memory: 2.301GiB / 503.5GiB
priceless_bhabha: CPU: 3197.09%, Memory: 2.303GiB / 503.5GiB
priceless_bhabha: CPU: 1847.98%, Memory: 2.298GiB / 503.5GiB
cranky_pasteur: CPU: 151.06%, Memory: 768.7MiB / 503.5GiB
cranky_pasteur: CPU: 99.81%, Memory: 768.5MiB / 503.5GiB
cranky_pasteur: CPU: 99.99%, Memory: 768.5MiB / 503.5GiB
cranky_pasteur: CPU: 100.04%, Memory: 768.5MiB / 503.5GiB
cranky_pasteur: CPU: 99.74%, Memory: 768.5MiB / 503.5GiB
cranky_pasteur: CPU: 99.65%, Memory: 2.091GiB / 503.5GiB
cranky_pasteur: CPU: 3089.30%, Memory: 2.288GiB / 503.5GiB
cranky_pasteur: CPU: 1868.41%, Memory: 2.288GiB / 503.5GiB
cranky_pasteur: CPU: 2292.96%, Memory: 2.301GiB / 503.5GiB
cranky_pasteur: CPU: 3208.79%, Memory: 2.302GiB / 503.5GiB
cranky_pasteur: CPU: 1913.03%, Memory: 2.303GiB / 503.5GiB
cranky_pasteur: CPU: 3210.16%, Memory: 2.298GiB / 503.5GiB
trusting_mcnulty: CPU: 159.17%, Memory: 768.8MiB / 503.5GiB
trusting_mcnulty: CPU: 100.51%, Memory: 768.4MiB / 503.5GiB
trusting_mcnulty: CPU: 100.12%, Memory: 768.4MiB / 503.5GiB
trusting_mcnulty: CPU: 100.09%, Memory: 768.4MiB / 503.5GiB
trusting_mcnulty: CPU: 100.09%, Memory: 768.4MiB / 503.5GiB
trusting_mcnulty: CPU: 99.75%, Memory: 2.109GiB / 503.5GiB
trusting_mcnulty: CPU: 261.06%, Memory: 1.554GiB / 503.5GiB
trusting_mcnulty: CPU: 3151.00%, Memory: 2.301GiB / 503.5GiB
