gallant_hellman: CPU: 161.34%, Memory: 1.173GiB / 503.5GiB
gallant_hellman: CPU: 100.21%, Memory: 2.99GiB / 503.5GiB
gallant_hellman: CPU: 100.06%, Memory: 2.99GiB / 503.5GiB
gallant_hellman: CPU: 99.83%, Memory: 2.99GiB / 503.5GiB
gallant_hellman: CPU: 99.62%, Memory: 2.99GiB / 503.5GiB
gallant_hellman: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
gallant_hellman: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
gallant_hellman: CPU: 99.99%, Memory: 2.99GiB / 503.5GiB
gallant_hellman: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
gallant_hellman: CPU: 100.06%, Memory: 2.99GiB / 503.5GiB
gallant_hellman: CPU: 100.05%, Memory: 2.99GiB / 503.5GiB
gallant_hellman: CPU: 100.05%, Memory: 2.99GiB / 503.5GiB
gallant_hellman: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
gallant_hellman: CPU: 99.69%, Memory: 2.99GiB / 503.5GiB
gallant_hellman: CPU: 100.06%, Memory: 2.99GiB / 503.5GiB
gallant_hellman: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
gallant_hellman: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
gallant_hellman: CPU: 100.08%, Memory: 2.99GiB / 503.5GiB
gallant_hellman: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
gallant_hellman: CPU: 100.12%, Memory: 3.305GiB / 503.5GiB
gallant_hellman: CPU: 100.05%, Memory: 6.341GiB / 503.5GiB
gallant_hellman: CPU: 100.08%, Memory: 7.656GiB / 503.5GiB
gallant_hellman: CPU: 110.74%, Memory: 8.965GiB / 503.5GiB
gallant_hellman: CPU: 3188.78%, Memory: 9.039GiB / 503.5GiB
gallant_hellman: CPU: 3206.31%, Memory: 9.039GiB / 503.5GiB
gallant_hellman: CPU: 100.12%, Memory: 9.039GiB / 503.5GiB
gallant_hellman: CPU: 100.12%, Memory: 9.039GiB / 503.5GiB
gallant_hellman: CPU: 100.18%, Memory: 6.689GiB / 503.5GiB
gallant_hellman: CPU: 100.11%, Memory: 8.019GiB / 503.5GiB
gallant_hellman: CPU: 1940.11%, Memory: 9.039GiB / 503.5GiB
gallant_hellman: CPU: 3191.83%, Memory: 9.039GiB / 503.5GiB
gallant_hellman: CPU: 3091.02%, Memory: 9.041GiB / 503.5GiB
gallant_hellman: CPU: 3188.06%, Memory: 9.042GiB / 503.5GiB
gallant_hellman: CPU: 3098.04%, Memory: 9.043GiB / 503.5GiB
gallant_hellman: CPU: 3186.16%, Memory: 9.044GiB / 503.5GiB
gallant_hellman: CPU: 3194.95%, Memory: 9.044GiB / 503.5GiB
gallant_hellman: CPU: 3191.61%, Memory: 9.045GiB / 503.5GiB
gallant_hellman: CPU: 3193.36%, Memory: 9.045GiB / 503.5GiB
gallant_hellman: CPU: 3211.61%, Memory: 9.046GiB / 503.5GiB
gallant_hellman: CPU: 3205.87%, Memory: 9.046GiB / 503.5GiB
gallant_hellman: CPU: 3204.19%, Memory: 9.047GiB / 503.5GiB
gallant_hellman: CPU: 3194.35%, Memory: 9.047GiB / 503.5GiB
gallant_hellman: CPU: 3194.49%, Memory: 9.048GiB / 503.5GiB
gallant_hellman: CPU: 3195.39%, Memory: 9.048GiB / 503.5GiB
gallant_hellman: CPU: 3192.85%, Memory: 9.048GiB / 503.5GiB
gallant_hellman: CPU: 1607.51%, Memory: 9.049GiB / 503.5GiB
gallant_hellman: CPU: 100.17%, Memory: 9.049GiB / 503.5GiB
gallant_hellman: CPU: 99.65%, Memory: 6.423GiB / 503.5GiB
gallant_hellman: CPU: 804.01%, Memory: 9.041GiB / 503.5GiB
gallant_hellman: CPU: 3178.55%, Memory: 9.039GiB / 503.5GiB
gallant_hellman: CPU: 3197.04%, Memory: 9.039GiB / 503.5GiB
gallant_hellman: CPU: 3193.88%, Memory: 9.039GiB / 503.5GiB
gallant_hellman: CPU: 3198.68%, Memory: 9.039GiB / 503.5GiB
gallant_hellman: CPU: 3199.41%, Memory: 9.039GiB / 503.5GiB
gallant_hellman: CPU: 3213.63%, Memory: 9.039GiB / 503.5GiB
gallant_hellman: CPU: 100.15%, Memory: 9.039GiB / 503.5GiB
intelligent_leakey: CPU: 157.93%, Memory: 1.178GiB / 503.5GiB
intelligent_leakey: CPU: 100.05%, Memory: 2.99GiB / 503.5GiB
intelligent_leakey: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
intelligent_leakey: CPU: 100.09%, Memory: 2.99GiB / 503.5GiB
intelligent_leakey: CPU: 100.11%, Memory: 2.99GiB / 503.5GiB
intelligent_leakey: CPU: 99.65%, Memory: 2.99GiB / 503.5GiB
intelligent_leakey: CPU: 100.08%, Memory: 2.99GiB / 503.5GiB
intelligent_leakey: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
intelligent_leakey: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
intelligent_leakey: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
intelligent_leakey: CPU: 100.08%, Memory: 2.99GiB / 503.5GiB
intelligent_leakey: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
intelligent_leakey: CPU: 100.05%, Memory: 2.99GiB / 503.5GiB
intelligent_leakey: CPU: 100.11%, Memory: 2.99GiB / 503.5GiB
intelligent_leakey: CPU: 100.14%, Memory: 2.99GiB / 503.5GiB
intelligent_leakey: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
intelligent_leakey: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
intelligent_leakey: CPU: 100.11%, Memory: 2.99GiB / 503.5GiB
intelligent_leakey: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
intelligent_leakey: CPU: 100.02%, Memory: 3.287GiB / 503.5GiB
intelligent_leakey: CPU: 100.11%, Memory: 6.342GiB / 503.5GiB
intelligent_leakey: CPU: 99.93%, Memory: 7.663GiB / 503.5GiB
intelligent_leakey: CPU: 184.59%, Memory: 8.975GiB / 503.5GiB
intelligent_leakey: CPU: 3197.47%, Memory: 9.039GiB / 503.5GiB
intelligent_leakey: CPU: 3192.69%, Memory: 9.039GiB / 503.5GiB
intelligent_leakey: CPU: 99.75%, Memory: 9.039GiB / 503.5GiB
intelligent_leakey: CPU: 100.21%, Memory: 9.039GiB / 503.5GiB
intelligent_leakey: CPU: 100.09%, Memory: 6.715GiB / 503.5GiB
intelligent_leakey: CPU: 99.75%, Memory: 8.067GiB / 503.5GiB
intelligent_leakey: CPU: 2348.29%, Memory: 9.039GiB / 503.5GiB
intelligent_leakey: CPU: 3190.00%, Memory: 9.038GiB / 503.5GiB
intelligent_leakey: CPU: 3200.21%, Memory: 9.041GiB / 503.5GiB
intelligent_leakey: CPU: 3202.34%, Memory: 9.042GiB / 503.5GiB
intelligent_leakey: CPU: 3093.07%, Memory: 9.043GiB / 503.5GiB
intelligent_leakey: CPU: 3119.55%, Memory: 9.044GiB / 503.5GiB
intelligent_leakey: CPU: 3112.38%, Memory: 9.044GiB / 503.5GiB
intelligent_leakey: CPU: 3104.49%, Memory: 9.045GiB / 503.5GiB
intelligent_leakey: CPU: 3178.65%, Memory: 9.045GiB / 503.5GiB
intelligent_leakey: CPU: 3197.28%, Memory: 9.046GiB / 503.5GiB
intelligent_leakey: CPU: 3191.52%, Memory: 9.046GiB / 503.5GiB
intelligent_leakey: CPU: 3194.26%, Memory: 9.046GiB / 503.5GiB
intelligent_leakey: CPU: 3191.64%, Memory: 9.047GiB / 503.5GiB
intelligent_leakey: CPU: 3196.39%, Memory: 9.047GiB / 503.5GiB
intelligent_leakey: CPU: 3189.17%, Memory: 9.047GiB / 503.5GiB
intelligent_leakey: CPU: 3207.24%, Memory: 9.048GiB / 503.5GiB
intelligent_leakey: CPU: 3199.86%, Memory: 9.048GiB / 503.5GiB
intelligent_leakey: CPU: 3207.79%, Memory: 9.048GiB / 503.5GiB
intelligent_leakey: CPU: 3196.01%, Memory: 9.048GiB / 503.5GiB
intelligent_leakey: CPU: 100.18%, Memory: 9.048GiB / 503.5GiB
intelligent_leakey: CPU: 100.08%, Memory: 9.048GiB / 503.5GiB
intelligent_leakey: CPU: 100.08%, Memory: 8.135GiB / 503.5GiB
intelligent_leakey: CPU: 3183.26%, Memory: 9.04GiB / 503.5GiB
intelligent_leakey: CPU: 3185.53%, Memory: 9.039GiB / 503.5GiB
intelligent_leakey: CPU: 3137.77%, Memory: 9.039GiB / 503.5GiB
intelligent_leakey: CPU: 3196.07%, Memory: 9.039GiB / 503.5GiB
intelligent_leakey: CPU: 3198.22%, Memory: 9.039GiB / 503.5GiB
intelligent_leakey: CPU: 3196.05%, Memory: 9.039GiB / 503.5GiB
intelligent_leakey: CPU: 1412.75%, Memory: 9.039GiB / 503.5GiB
intelligent_leakey: CPU: 100.11%, Memory: 6.319GiB / 503.5GiB
elastic_nightingale: CPU: 100.50%, Memory: 1.37GiB / 503.5GiB
elastic_nightingale: CPU: 100.20%, Memory: 2.99GiB / 503.5GiB
elastic_nightingale: CPU: 99.50%, Memory: 2.99GiB / 503.5GiB
elastic_nightingale: CPU: 100.06%, Memory: 2.99GiB / 503.5GiB
elastic_nightingale: CPU: 100.10%, Memory: 2.99GiB / 503.5GiB
elastic_nightingale: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
elastic_nightingale: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
elastic_nightingale: CPU: 99.88%, Memory: 2.99GiB / 503.5GiB
elastic_nightingale: CPU: 100.07%, Memory: 2.99GiB / 503.5GiB
elastic_nightingale: CPU: 100.08%, Memory: 2.99GiB / 503.5GiB
elastic_nightingale: CPU: 100.05%, Memory: 2.99GiB / 503.5GiB
elastic_nightingale: CPU: 100.05%, Memory: 2.99GiB / 503.5GiB
elastic_nightingale: CPU: 100.02%, Memory: 2.99GiB / 503.5GiB
elastic_nightingale: CPU: 99.99%, Memory: 2.99GiB / 503.5GiB
elastic_nightingale: CPU: 99.68%, Memory: 2.99GiB / 503.5GiB
elastic_nightingale: CPU: 100.11%, Memory: 2.99GiB / 503.5GiB
elastic_nightingale: CPU: 99.96%, Memory: 2.99GiB / 503.5GiB
elastic_nightingale: CPU: 100.05%, Memory: 2.99GiB / 503.5GiB
elastic_nightingale: CPU: 99.72%, Memory: 2.99GiB / 503.5GiB
elastic_nightingale: CPU: 100.14%, Memory: 3.593GiB / 503.5GiB
elastic_nightingale: CPU: 99.99%, Memory: 6.432GiB / 503.5GiB
elastic_nightingale: CPU: 100.08%, Memory: 7.749GiB / 503.5GiB
elastic_nightingale: CPU: 650.70%, Memory: 9.041GiB / 503.5GiB
elastic_nightingale: CPU: 3201.58%, Memory: 9.039GiB / 503.5GiB
elastic_nightingale: CPU: 3207.60%, Memory: 9.039GiB / 503.5GiB
elastic_nightingale: CPU: 99.74%, Memory: 9.039GiB / 503.5GiB
elastic_nightingale: CPU: 100.08%, Memory: 9.039GiB / 503.5GiB
elastic_nightingale: CPU: 100.20%, Memory: 6.905GiB / 503.5GiB
elastic_nightingale: CPU: 100.20%, Memory: 8.249GiB / 503.5GiB
elastic_nightingale: CPU: 3169.23%, Memory: 9.039GiB / 503.5GiB
elastic_nightingale: CPU: 3189.81%, Memory: 9.039GiB / 503.5GiB
elastic_nightingale: CPU: 3207.23%, Memory: 9.041GiB / 503.5GiB
elastic_nightingale: CPU: 3193.99%, Memory: 9.043GiB / 503.5GiB
elastic_nightingale: CPU: 3104.85%, Memory: 9.043GiB / 503.5GiB
elastic_nightingale: CPU: 3104.91%, Memory: 9.044GiB / 503.5GiB
elastic_nightingale: CPU: 3094.49%, Memory: 9.044GiB / 503.5GiB
elastic_nightingale: CPU: 3100.71%, Memory: 9.045GiB / 503.5GiB
elastic_nightingale: CPU: 3163.95%, Memory: 9.045GiB / 503.5GiB
elastic_nightingale: CPU: 3189.70%, Memory: 9.046GiB / 503.5GiB
elastic_nightingale: CPU: 3209.56%, Memory: 9.047GiB / 503.5GiB
elastic_nightingale: CPU: 3190.78%, Memory: 9.047GiB / 503.5GiB
elastic_nightingale: CPU: 3193.53%, Memory: 9.048GiB / 503.5GiB
elastic_nightingale: CPU: 3173.03%, Memory: 9.048GiB / 503.5GiB
elastic_nightingale: CPU: 3198.32%, Memory: 9.048GiB / 503.5GiB
elastic_nightingale: CPU: 1940.54%, Memory: 9.048GiB / 503.5GiB
elastic_nightingale: CPU: 100.18%, Memory: 9.048GiB / 503.5GiB
elastic_nightingale: CPU: 99.75%, Memory: 6.515GiB / 503.5GiB
elastic_nightingale: CPU: 1247.64%, Memory: 9.042GiB / 503.5GiB
elastic_nightingale: CPU: 3134.32%, Memory: 9.039GiB / 503.5GiB
