nostalgic_gates: CPU: 100.30%, Memory: 768.9MiB / 503.5GiB
nostalgic_gates: CPU: 100.14%, Memory: 768.4MiB / 503.5GiB
nostalgic_gates: CPU: 98.71%, Memory: 768.4MiB / 503.5GiB
nostalgic_gates: CPU: 100.03%, Memory: 768.4MiB / 503.5GiB
nostalgic_gates: CPU: 100.12%, Memory: 768.4MiB / 503.5GiB
nostalgic_gates: CPU: 99.48%, Memory: 924.8MiB / 503.5GiB
nostalgic_gates: CPU: 3165.22%, Memory: 2.289GiB / 503.5GiB
nostalgic_gates: CPU: 212.87%, Memory: 2.3GiB / 503.5GiB
nostalgic_gates: CPU: 3194.86%, Memory: 2.302GiB / 503.5GiB
nostalgic_gates: CPU: 976.74%, Memory: 2.303GiB / 503.5GiB
nostalgic_gates: CPU: 3159.82%, Memory: 2.298GiB / 503.5GiB
great_varahamihira: CPU: 128.87%, Memory: 768.5MiB / 503.5GiB
great_varahamihira: CPU: 100.18%, Memory: 768.4MiB / 503.5GiB
great_varahamihira: CPU: 100.15%, Memory: 768.4MiB / 503.5GiB
great_varahamihira: CPU: 100.12%, Memory: 768.4MiB / 503.5GiB
great_varahamihira: CPU: 100.09%, Memory: 768.4MiB / 503.5GiB
great_varahamihira: CPU: 99.99%, Memory: 803.5MiB / 503.5GiB
great_varahamihira: CPU: 2681.29%, Memory: 2.253GiB / 503.5GiB
great_varahamihira: CPU: 100.08%, Memory: 1.918GiB / 503.5GiB
great_varahamihira: CPU: 3196.16%, Memory: 2.301GiB / 503.5GiB
great_varahamihira: CPU: 3206.66%, Memory: 2.303GiB / 503.5GiB
great_varahamihira: CPU: 353.12%, Memory: 2.298GiB / 503.5GiB
hardcore_khorana: CPU: 100.18%, Memory: 768.8MiB / 503.5GiB
hardcore_khorana: CPU: 100.24%, Memory: 768.4MiB / 503.5GiB
hardcore_khorana: CPU: 100.15%, Memory: 768.4MiB / 503.5GiB
hardcore_khorana: CPU: 100.15%, Memory: 768.4MiB / 503.5GiB
hardcore_khorana: CPU: 100.15%, Memory: 768.4MiB / 503.5GiB
hardcore_khorana: CPU: 99.75%, Memory: 1.571GiB / 503.5GiB
hardcore_khorana: CPU: 2084.79%, Memory: 2.288GiB / 503.5GiB
hardcore_khorana: CPU: 2618.71%, Memory: 2.3GiB / 503.5GiB
hardcore_khorana: CPU: 3150.16%, Memory: 2.302GiB / 503.5GiB
hardcore_khorana: CPU: 2329.20%, Memory: 2.303GiB / 503.5GiB
hardcore_khorana: CPU: 3147.21%, Memory: 2.298GiB / 503.5GiB
serene_zhukovsky: CPU: 139.46%, Memory: 768.7MiB / 503.5GiB
serene_zhukovsky: CPU: 100.37%, Memory: 768.4MiB / 503.5GiB
serene_zhukovsky: CPU: 100.15%, Memory: 768.4MiB / 503.5GiB
serene_zhukovsky: CPU: 100.18%, Memory: 768.4MiB / 503.5GiB
serene_zhukovsky: CPU: 99.81%, Memory: 768.4MiB / 503.5GiB
serene_zhukovsky: CPU: 100.12%, Memory: 783MiB / 503.5GiB
serene_zhukovsky: CPU: 2700.68%, Memory: 2.288GiB / 503.5GiB
serene_zhukovsky: CPU: 100.15%, Memory: 2.21GiB / 503.5GiB
serene_zhukovsky: CPU: 3197.00%, Memory: 2.302GiB / 503.5GiB
serene_zhukovsky: CPU: 463.87%, Memory: 2.303GiB / 503.5GiB
serene_zhukovsky: CPU: 3000.29%, Memory: 2.298GiB / 503.5GiB
reverent_pare: CPU: 134.62%, Memory: 768.7MiB / 503.5GiB
reverent_pare: CPU: 100.09%, Memory: 768.7MiB / 503.5GiB
reverent_pare: CPU: 100.12%, Memory: 768.4MiB / 503.5GiB
reverent_pare: CPU: 99.75%, Memory: 768.4MiB / 503.5GiB
reverent_pare: CPU: 99.75%, Memory: 768.4MiB / 503.5GiB
reverent_pare: CPU: 100.15%, Memory: 768.4MiB / 503.5GiB
reverent_pare: CPU: 2825.69%, Memory: 2.288GiB / 503.5GiB
reverent_pare: CPU: 99.75%, Memory: 2.26GiB / 503.5GiB
reverent_pare: CPU: 3195.78%, Memory: 2.302GiB / 503.5GiB
reverent_pare: CPU: 200.87%, Memory: 1.65GiB / 503.5GiB
reverent_pare: CPU: 2560.66%, Memory: 2.298GiB / 503.5GiB
lucid_gates: CPU: 159.25%, Memory: 768.7MiB / 503.5GiB
lucid_gates: CPU: 99.99%, Memory: 768.5MiB / 503.5GiB
lucid_gates: CPU: 100.08%, Memory: 768.4MiB / 503.5GiB
lucid_gates: CPU: 100.15%, Memory: 768.4MiB / 503.5GiB
