nervous_turing: CPU: 146.68%, Memory: 1.189GiB / 503.5GiB
nervous_turing: CPU: 99.87%, Memory: 2.99GiB / 503.5GiB
nervous_turing: CPU: 100.21%, Memory: 2.99GiB / 503.5GiB
nervous_turing: CPU: 100.06%, Memory: 2.99GiB / 503.5GiB
nervous_turing: CPU: 100.09%, Memory: 2.99GiB / 503.5GiB
nervous_turing: CPU: 100.21%, Memory: 2.99GiB / 503.5GiB
nervous_turing: CPU: 99.69%, Memory: 2.99GiB / 503.5GiB
nervous_turing: CPU: 100.09%, Memory: 2.99GiB / 503.5GiB
nervous_turing: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
nervous_turing: CPU: 99.75%, Memory: 2.99GiB / 503.5GiB
nervous_turing: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
nervous_turing: CPU: 100.06%, Memory: 2.99GiB / 503.5GiB
nervous_turing: CPU: 100.08%, Memory: 2.99GiB / 503.5GiB
nervous_turing: CPU: 100.18%, Memory: 2.99GiB / 503.5GiB
nervous_turing: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
nervous_turing: CPU: 100.09%, Memory: 2.99GiB / 503.5GiB
nervous_turing: CPU: 100.18%, Memory: 2.99GiB / 503.5GiB
nervous_turing: CPU: 100.09%, Memory: 2.99GiB / 503.5GiB
nervous_turing: CPU: 99.99%, Memory: 2.99GiB / 503.5GiB
nervous_turing: CPU: 100.12%, Memory: 2.99GiB / 503.5GiB
nervous_turing: CPU: 100.09%, Memory: 2.99GiB / 503.5GiB
nervous_turing: CPU: 100.15%, Memory: 2.99GiB / 503.5GiB
nervous_turing: CPU: 100.05%, Memory: 6.023GiB / 503.5GiB
nervous_turing: CPU: 99.99%, Memory: 7.358GiB / 503.5GiB
nervous_turing: CPU: 100.12%, Memory: 8.695GiB / 503.5GiB
nervous_turing: CPU: 3195.79%, Memory: 9.04GiB / 503.5GiB
nervous_turing: CPU: 3208.28%, Memory: 9.039GiB / 503.5GiB
nervous_turing: CPU: 100.15%, Memory: 9.039GiB / 503.5GiB
nervous_turing: CPU: 99.75%, Memory: 9.039GiB / 503.5GiB
