sleepy_sinoussi: CPU: 100.45%, Memory: 768.4MiB / 503.5GiB
sleepy_sinoussi: CPU: 100.02%, Memory: 768.4MiB / 503.5GiB
sleepy_sinoussi: CPU: 100.05%, Memory: 768.4MiB / 503.5GiB
sleepy_sinoussi: CPU: 100.11%, Memory: 768.4MiB / 503.5GiB
sleepy_sinoussi: CPU: 100.09%, Memory: 768.4MiB / 503.5GiB
sleepy_sinoussi: CPU: 99.78%, Memory: 2.023GiB / 503.5GiB
sleepy_sinoussi: CPU: 3214.80%, Memory: 2.267GiB / 503.5GiB
sleepy_sinoussi: CPU: 3193.65%, Memory: 2.27GiB / 503.5GiB
sleepy_sinoussi: CPU: 3194.12%, Memory: 2.277GiB / 503.5GiB
sleepy_sinoussi: CPU: 99.72%, Memory: 2.776GiB / 503.5GiB
sleepy_sinoussi: CPU: 1502.93%, Memory: 3.448GiB / 503.5GiB
sleepy_sinoussi: CPU: 100.21%, Memory: 3.486GiB / 503.5GiB
sleepy_sinoussi: CPU: 3193.18%, Memory: 3.786GiB / 503.5GiB
sleepy_sinoussi: CPU: 3196.00%, Memory: 3.785GiB / 503.5GiB
sleepy_sinoussi: CPU: 3203.83%, Memory: 3.785GiB / 503.5GiB
sleepy_sinoussi: CPU: 3204.10%, Memory: 3.785GiB / 503.5GiB
sleepy_sinoussi: CPU: 2737.35%, Memory: 3.785GiB / 503.5GiB
sleepy_sinoussi: CPU: 3214.23%, Memory: 3.037GiB / 503.5GiB
great_merkle: CPU: 107.15%, Memory: 768.6MiB / 503.5GiB
great_merkle: CPU: 100.27%, Memory: 768.4MiB / 503.5GiB
great_merkle: CPU: 99.75%, Memory: 768.4MiB / 503.5GiB
great_merkle: CPU: 99.72%, Memory: 768.4MiB / 503.5GiB
great_merkle: CPU: 100.08%, Memory: 768.4MiB / 503.5GiB
great_merkle: CPU: 100.14%, Memory: 2.064GiB / 503.5GiB
great_merkle: CPU: 3144.83%, Memory: 2.267GiB / 503.5GiB
great_merkle: CPU: 3094.88%, Memory: 2.269GiB / 503.5GiB
great_merkle: CPU: 3138.35%, Memory: 2.276GiB / 503.5GiB
great_merkle: CPU: 99.78%, Memory: 2.36GiB / 503.5GiB
great_merkle: CPU: 3180.27%, Memory: 3.448GiB / 503.5GiB
great_merkle: CPU: 100.18%, Memory: 3.233GiB / 503.5GiB
great_merkle: CPU: 3155.86%, Memory: 3.786GiB / 503.5GiB
great_merkle: CPU: 3191.45%, Memory: 3.786GiB / 503.5GiB
great_merkle: CPU: 3180.27%, Memory: 3.786GiB / 503.5GiB
great_merkle: CPU: 3195.41%, Memory: 3.786GiB / 503.5GiB
great_merkle: CPU: 2747.84%, Memory: 3.786GiB / 503.5GiB
