heuristic_sanderson: CPU: 100.11%, Memory: 1.496GiB / 503.5GiB
heuristic_sanderson: CPU: 1555.59%, Memory: 1.736GiB / 503.5GiB
jovial_blackwell: CPU: 100.55%, Memory: 1.496GiB / 503.5GiB
condescending_bohr: CPU: 97.38%, Memory: 1.498GiB / 503.5GiB
sweet_hertz: CPU: 100.33%, Memory: 1.496GiB / 503.5GiB
sweet_hertz: CPU: 1554.10%, Memory: 181MiB / 503.5GiB
cranky_beaver: CPU: 100.35%, Memory: 1.496GiB / 503.5GiB
wonderful_davinci: CPU: 100.05%, Memory: 1.496GiB / 503.5GiB
wonderful_davinci: CPU: 1514.98%, Memory: 1.962GiB / 503.5GiB
epic_dhawan: CPU: 100.39%, Memory: 1.496GiB / 503.5GiB
sad_tharp: CPU: 114.30%, Memory: 1.515GiB / 503.5GiB
nifty_almeida: CPU: 100.05%, Memory: 1.496GiB / 503.5GiB
nifty_almeida: CPU: 1550.94%, Memory: 1.04GiB / 503.5GiB
romantic_easley: CPU: 479.02%, Memory: 1.931GiB / 503.5GiB
