crazy_satoshi: CPU: 100.45%, Memory: 2.746GiB / 503.5GiB
crazy_satoshi: CPU: 100.18%, Memory: 5.975GiB / 503.5GiB
crazy_satoshi: CPU: 100.14%, Memory: 5.975GiB / 503.5GiB
crazy_satoshi: CPU: 1600.67%, Memory: 7.602GiB / 503.5GiB
crazy_satoshi: CPU: 1447.91%, Memory: 7.803GiB / 503.5GiB
crazy_satoshi: CPU: 1470.65%, Memory: 7.802GiB / 503.5GiB
crazy_satoshi: CPU: 1602.11%, Memory: 7.807GiB / 503.5GiB
crazy_pike: CPU: 100.05%, Memory: 3.309GiB / 503.5GiB
crazy_pike: CPU: 99.84%, Memory: 5.975GiB / 503.5GiB
crazy_pike: CPU: 1598.86%, Memory: 7.601GiB / 503.5GiB
crazy_pike: CPU: 1541.61%, Memory: 7.801GiB / 503.5GiB
crazy_pike: CPU: 1479.13%, Memory: 7.801GiB / 503.5GiB
crazy_pike: CPU: 1591.43%, Memory: 7.805GiB / 503.5GiB
crazy_pike: CPU: 1598.46%, Memory: 7.805GiB / 503.5GiB
amazing_jones: CPU: 100.08%, Memory: 2.979GiB / 503.5GiB
amazing_jones: CPU: 100.15%, Memory: 5.975GiB / 503.5GiB
amazing_jones: CPU: 1567.83%, Memory: 7.601GiB / 503.5GiB
amazing_jones: CPU: 1510.33%, Memory: 7.654GiB / 503.5GiB
amazing_jones: CPU: 1601.31%, Memory: 7.801GiB / 503.5GiB
amazing_jones: CPU: 1596.43%, Memory: 7.805GiB / 503.5GiB
compassionate_lederberg: CPU: 100.15%, Memory: 4.658GiB / 503.5GiB
compassionate_lederberg: CPU: 100.30%, Memory: 5.975GiB / 503.5GiB
compassionate_lederberg: CPU: 1597.78%, Memory: 7.601GiB / 503.5GiB
compassionate_lederberg: CPU: 1484.24%, Memory: 7.803GiB / 503.5GiB
compassionate_lederberg: CPU: 1426.41%, Memory: 7.808GiB / 503.5GiB
compassionate_lederberg: CPU: 1600.15%, Memory: 7.808GiB / 503.5GiB
exciting_hodgkin: CPU: 100.24%, Memory: 3.248GiB / 503.5GiB
exciting_hodgkin: CPU: 100.30%, Memory: 5.975GiB / 503.5GiB
exciting_hodgkin: CPU: 1573.19%, Memory: 7.601GiB / 503.5GiB
exciting_hodgkin: CPU: 1558.44%, Memory: 7.666GiB / 503.5GiB
exciting_hodgkin: CPU: 1600.86%, Memory: 7.801GiB / 503.5GiB
exciting_hodgkin: CPU: 1600.82%, Memory: 7.806GiB / 503.5GiB
crazy_mendel: CPU: 100.12%, Memory: 3.996GiB / 503.5GiB
crazy_mendel: CPU: 100.30%, Memory: 5.975GiB / 503.5GiB
crazy_mendel: CPU: 1600.85%, Memory: 7.601GiB / 503.5GiB
crazy_mendel: CPU: 1425.48%, Memory: 7.668GiB / 503.5GiB
crazy_mendel: CPU: 1600.77%, Memory: 7.8GiB / 503.5GiB
crazy_mendel: CPU: 1592.25%, Memory: 7.804GiB / 503.5GiB
crazy_mendel: CPU: 1599.87%, Memory: 5.284GiB / 503.5GiB
modest_knuth: CPU: 100.05%, Memory: 3.318GiB / 503.5GiB
modest_knuth: CPU: 100.30%, Memory: 5.975GiB / 503.5GiB
modest_knuth: CPU: 1595.26%, Memory: 7.601GiB / 503.5GiB
modest_knuth: CPU: 1513.37%, Memory: 7.798GiB / 503.5GiB
modest_knuth: CPU: 1498.26%, Memory: 7.798GiB / 503.5GiB
modest_knuth: CPU: 1600.81%, Memory: 7.803GiB / 503.5GiB
keen_perlman: CPU: 100.11%, Memory: 3.015GiB / 503.5GiB
keen_perlman: CPU: 99.84%, Memory: 5.975GiB / 503.5GiB
keen_perlman: CPU: 1523.77%, Memory: 7.601GiB / 503.5GiB
keen_perlman: CPU: 1507.62%, Memory: 7.775GiB / 503.5GiB
keen_perlman: CPU: 1600.29%, Memory: 7.801GiB / 503.5GiB
keen_perlman: CPU: 1599.55%, Memory: 7.805GiB / 503.5GiB
keen_perlman: CPU: 0.00%, Memory: 0B / 0B
crazy_sinoussi: CPU: 100.58%, Memory: 2.929GiB / 503.5GiB
crazy_sinoussi: CPU: 99.84%, Memory: 5.975GiB / 503.5GiB
crazy_sinoussi: CPU: 1428.92%, Memory: 7.601GiB / 503.5GiB
crazy_sinoussi: CPU: 1435.71%, Memory: 6.598GiB / 503.5GiB
crazy_sinoussi: CPU: 1599.31%, Memory: 7.805GiB / 503.5GiB
crazy_sinoussi: CPU: 1591.14%, Memory: 7.809GiB / 503.5GiB
strange_mclean: CPU: 100.18%, Memory: 4.881GiB / 503.5GiB
strange_mclean: CPU: 100.31%, Memory: 5.975GiB / 503.5GiB
strange_mclean: CPU: 1600.28%, Memory: 7.601GiB / 503.5GiB
strange_mclean: CPU: 1503.49%, Memory: 7.804GiB / 503.5GiB
strange_mclean: CPU: 1428.74%, Memory: 7.808GiB / 503.5GiB
strange_mclean: CPU: 1600.83%, Memory: 7.808GiB / 503.5GiB
