musing_tesla: CPU: 100.42%, Memory: 1.496GiB / 503.5GiB
musing_tesla: CPU: 1473.93%, Memory: 1.966GiB / 503.5GiB
inspiring_austin: CPU: 100.09%, Memory: 1.496GiB / 503.5GiB
inspiring_austin: CPU: 1555.43%, Memory: 1.667GiB / 503.5GiB
reverent_bose: CPU: 100.27%, Memory: 1.496GiB / 503.5GiB
affectionate_dijkstra: CPU: 150.49%, Memory: 1.619GiB / 503.5GiB
tender_pascal: CPU: 100.23%, Memory: 1.496GiB / 503.5GiB
nifty_payne: CPU: 100.09%, Memory: 1.496GiB / 503.5GiB
nervous_rhodes: CPU: 100.21%, Memory: 1.496GiB / 503.5GiB
goofy_sinoussi: CPU: 100.11%, Memory: 1.496GiB / 503.5GiB
adoring_saha: CPU: 165.18%, Memory: 1.659GiB / 503.5GiB
loving_germain: CPU: 100.45%, Memory: 1.496GiB / 503.5GiB
