gallant_brahmagupta: CPU: 100.04%, Memory: 2.574GiB / 503.5GiB
gallant_brahmagupta: CPU: 100.27%, Memory: 5.975GiB / 503.5GiB
gallant_brahmagupta: CPU: 638.17%, Memory: 7.601GiB / 503.5GiB
gallant_brahmagupta: CPU: 1586.58%, Memory: 6.032GiB / 503.5GiB
gallant_brahmagupta: CPU: 1599.72%, Memory: 7.801GiB / 503.5GiB
gallant_brahmagupta: CPU: 1602.00%, Memory: 7.805GiB / 503.5GiB
optimistic_rosalind: CPU: 100.09%, Memory: 2.987GiB / 503.5GiB
optimistic_rosalind: CPU: 100.30%, Memory: 5.975GiB / 503.5GiB
optimistic_rosalind: CPU: 1547.79%, Memory: 7.601GiB / 503.5GiB
optimistic_rosalind: CPU: 1494.33%, Memory: 7.734GiB / 503.5GiB
optimistic_rosalind: CPU: 1602.32%, Memory: 7.808GiB / 503.5GiB
optimistic_rosalind: CPU: 1602.34%, Memory: 7.812GiB / 503.5GiB
boring_perlman: CPU: 100.12%, Memory: 3.841GiB / 503.5GiB
boring_perlman: CPU: 100.27%, Memory: 5.975GiB / 503.5GiB
boring_perlman: CPU: 1598.55%, Memory: 7.601GiB / 503.5GiB
boring_perlman: CPU: 1535.95%, Memory: 7.803GiB / 503.5GiB
boring_perlman: CPU: 1599.39%, Memory: 7.802GiB / 503.5GiB
boring_perlman: CPU: 1601.62%, Memory: 7.807GiB / 503.5GiB
nifty_galois: CPU: 100.06%, Memory: 3.005GiB / 503.5GiB
nifty_galois: CPU: 100.24%, Memory: 5.975GiB / 503.5GiB
nifty_galois: CPU: 1208.93%, Memory: 7.601GiB / 503.5GiB
nifty_galois: CPU: 1549.18%, Memory: 6.091GiB / 503.5GiB
nifty_galois: CPU: 1604.13%, Memory: 7.799GiB / 503.5GiB
nifty_galois: CPU: 1594.91%, Memory: 7.804GiB / 503.5GiB
agitated_panini: CPU: 100.02%, Memory: 4.721GiB / 503.5GiB
agitated_panini: CPU: 100.24%, Memory: 5.975GiB / 503.5GiB
agitated_panini: CPU: 1600.80%, Memory: 7.601GiB / 503.5GiB
agitated_panini: CPU: 1459.99%, Memory: 7.801GiB / 503.5GiB
agitated_panini: CPU: 1436.63%, Memory: 7.806GiB / 503.5GiB
agitated_panini: CPU: 1599.33%, Memory: 7.806GiB / 503.5GiB
stupefied_antonelli: CPU: 100.12%, Memory: 2.972GiB / 503.5GiB
stupefied_antonelli: CPU: 100.30%, Memory: 5.975GiB / 503.5GiB
stupefied_antonelli: CPU: 1454.49%, Memory: 7.602GiB / 503.5GiB
stupefied_antonelli: CPU: 1474.85%, Memory: 7.767GiB / 503.5GiB
stupefied_antonelli: CPU: 1601.37%, Memory: 7.801GiB / 503.5GiB
stupefied_antonelli: CPU: 1608.89%, Memory: 7.806GiB / 503.5GiB
competent_murdock: CPU: 100.56%, Memory: 3.012GiB / 503.5GiB
competent_murdock: CPU: 100.33%, Memory: 5.975GiB / 503.5GiB
competent_murdock: CPU: 1410.28%, Memory: 7.601GiB / 503.5GiB
competent_murdock: CPU: 1478.66%, Memory: 7.672GiB / 503.5GiB
competent_murdock: CPU: 1600.13%, Memory: 7.799GiB / 503.5GiB
competent_murdock: CPU: 1598.47%, Memory: 7.804GiB / 503.5GiB
vigilant_nash: CPU: 100.01%, Memory: 2.993GiB / 503.5GiB
vigilant_nash: CPU: 100.30%, Memory: 5.975GiB / 503.5GiB
vigilant_nash: CPU: 1420.76%, Memory: 7.601GiB / 503.5GiB
vigilant_nash: CPU: 1487.15%, Memory: 6.302GiB / 503.5GiB
vigilant_nash: CPU: 1599.66%, Memory: 7.8GiB / 503.5GiB
vigilant_nash: CPU: 1600.60%, Memory: 7.804GiB / 503.5GiB
focused_burnell: CPU: 100.11%, Memory: 3.013GiB / 503.5GiB
focused_burnell: CPU: 100.27%, Memory: 5.975GiB / 503.5GiB
focused_burnell: CPU: 1507.94%, Memory: 7.601GiB / 503.5GiB
focused_burnell: CPU: 1497.53%, Memory: 7.761GiB / 503.5GiB
focused_burnell: CPU: 1604.26%, Memory: 7.805GiB / 503.5GiB
focused_burnell: CPU: 1595.90%, Memory: 7.809GiB / 503.5GiB
crazy_bhaskara: CPU: 100.12%, Memory: 3.405GiB / 503.5GiB
crazy_bhaskara: CPU: 100.09%, Memory: 5.975GiB / 503.5GiB
crazy_bhaskara: CPU: 1596.64%, Memory: 7.601GiB / 503.5GiB
crazy_bhaskara: CPU: 1559.57%, Memory: 7.802GiB / 503.5GiB
crazy_bhaskara: CPU: 1432.20%, Memory: 7.807GiB / 503.5GiB
crazy_bhaskara: CPU: 1599.58%, Memory: 7.806GiB / 503.5GiB
