condescending_feistel: CPU: 100.05%, Memory: 1.496GiB / 503.5GiB
condescending_feistel: CPU: 1548.61%, Memory: 2.998GiB / 503.5GiB
great_lovelace: CPU: 100.02%, Memory: 1.496GiB / 503.5GiB
great_lovelace: CPU: 1551.64%, Memory: 2.425GiB / 503.5GiB
sad_keller: CPU: 100.49%, Memory: 1.496GiB / 503.5GiB
sad_keller: CPU: 1544.68%, Memory: 2.646GiB / 503.5GiB
reverent_khayyam: CPU: 100.17%, Memory: 1.496GiB / 503.5GiB
reverent_khayyam: CPU: 1552.78%, Memory: 2.807GiB / 503.5GiB
exciting_elgamal: CPU: 99.99%, Memory: 1.496GiB / 503.5GiB
exciting_elgamal: CPU: 1537.70%, Memory: 2.582GiB / 503.5GiB
hardcore_wright: CPU: 100.08%, Memory: 1.496GiB / 503.5GiB
hardcore_wright: CPU: 1549.44%, Memory: 2.588GiB / 503.5GiB
crazy_shamir: CPU: 99.96%, Memory: 1.496GiB / 503.5GiB
crazy_shamir: CPU: 1534.72%, Memory: 3.036GiB / 503.5GiB
sweet_ritchie: CPU: 100.04%, Memory: 1.496GiB / 503.5GiB
sweet_ritchie: CPU: 1527.03%, Memory: 2.629GiB / 503.5GiB
objective_agnesi: CPU: 100.14%, Memory: 1.496GiB / 503.5GiB
objective_agnesi: CPU: 1537.65%, Memory: 3.037GiB / 503.5GiB
xenodochial_aryabhata: CPU: 100.12%, Memory: 1.496GiB / 503.5GiB
xenodochial_aryabhata: CPU: 1544.35%, Memory: 2.804GiB / 503.5GiB
