eager_chaplygin: CPU: 100.18%, Memory: 2.85GiB / 503.5GiB
eager_chaplygin: CPU: 100.30%, Memory: 5.975GiB / 503.5GiB
eager_chaplygin: CPU: 625.00%, Memory: 9.071GiB / 503.5GiB
eager_chaplygin: CPU: 1596.45%, Memory: 9.07GiB / 503.5GiB
eager_chaplygin: CPU: 1599.31%, Memory: 9.071GiB / 503.5GiB
eager_chaplygin: CPU: 1600.42%, Memory: 9.281GiB / 503.5GiB
eager_chaplygin: CPU: 1581.12%, Memory: 9.411GiB / 503.5GiB
eager_chaplygin: CPU: 1601.17%, Memory: 9.438GiB / 503.5GiB
eager_chaplygin: CPU: 1594.97%, Memory: 9.458GiB / 503.5GiB
eager_chaplygin: CPU: 1603.88%, Memory: 9.475GiB / 503.5GiB
unruffled_shirley: CPU: 100.08%, Memory: 4.734GiB / 503.5GiB
unruffled_shirley: CPU: 100.05%, Memory: 5.975GiB / 503.5GiB
unruffled_shirley: CPU: 1595.86%, Memory: 9.071GiB / 503.5GiB
unruffled_shirley: CPU: 1600.58%, Memory: 9.07GiB / 503.5GiB
unruffled_shirley: CPU: 1103.69%, Memory: 8.568GiB / 503.5GiB
unruffled_shirley: CPU: 1599.86%, Memory: 9.277GiB / 503.5GiB
unruffled_shirley: CPU: 1598.14%, Memory: 9.427GiB / 503.5GiB
unruffled_shirley: CPU: 1601.84%, Memory: 9.454GiB / 503.5GiB
unruffled_shirley: CPU: 1599.18%, Memory: 9.47GiB / 503.5GiB
unruffled_shirley: CPU: 1098.24%, Memory: 1.981GiB / 503.5GiB
peaceful_almeida: CPU: 100.05%, Memory: 3.673GiB / 503.5GiB
peaceful_almeida: CPU: 100.27%, Memory: 5.975GiB / 503.5GiB
peaceful_almeida: CPU: 1504.62%, Memory: 9.07GiB / 503.5GiB
peaceful_almeida: CPU: 1600.22%, Memory: 9.07GiB / 503.5GiB
peaceful_almeida: CPU: 1187.71%, Memory: 6.086GiB / 503.5GiB
peaceful_almeida: CPU: 1600.79%, Memory: 9.278GiB / 503.5GiB
peaceful_almeida: CPU: 1602.34%, Memory: 9.429GiB / 503.5GiB
peaceful_almeida: CPU: 1599.35%, Memory: 9.452GiB / 503.5GiB
peaceful_almeida: CPU: 1594.97%, Memory: 9.469GiB / 503.5GiB
tender_greider: CPU: 100.17%, Memory: 4.774GiB / 503.5GiB
tender_greider: CPU: 100.12%, Memory: 5.975GiB / 503.5GiB
tender_greider: CPU: 1595.88%, Memory: 9.07GiB / 503.5GiB
tender_greider: CPU: 1596.71%, Memory: 9.07GiB / 503.5GiB
tender_greider: CPU: 1011.13%, Memory: 6.085GiB / 503.5GiB
tender_greider: CPU: 1598.67%, Memory: 9.281GiB / 503.5GiB
tender_greider: CPU: 1548.51%, Memory: 9.405GiB / 503.5GiB
tender_greider: CPU: 1601.37%, Memory: 9.432GiB / 503.5GiB
tender_greider: CPU: 1538.98%, Memory: 9.448GiB / 503.5GiB
tender_greider: CPU: 1592.55%, Memory: 9.468GiB / 503.5GiB
tender_greider: CPU: 1599.04%, Memory: 9.48GiB / 503.5GiB
laughing_wilson: CPU: 100.23%, Memory: 2.984GiB / 503.5GiB
laughing_wilson: CPU: 100.40%, Memory: 5.975GiB / 503.5GiB
laughing_wilson: CPU: 1253.18%, Memory: 9.071GiB / 503.5GiB
laughing_wilson: CPU: 1602.37%, Memory: 9.07GiB / 503.5GiB
laughing_wilson: CPU: 1607.42%, Memory: 9.07GiB / 503.5GiB
laughing_wilson: CPU: 1603.99%, Memory: 9.28GiB / 503.5GiB
laughing_wilson: CPU: 669.86%, Memory: 9.397GiB / 503.5GiB
laughing_wilson: CPU: 1594.46%, Memory: 9.44GiB / 503.5GiB
laughing_wilson: CPU: 1604.35%, Memory: 9.46GiB / 503.5GiB
laughing_wilson: CPU: 1600.37%, Memory: 9.477GiB / 503.5GiB
laughing_wilson: CPU: 779.19%, Memory: 275.5MiB / 503.5GiB
heuristic_franklin: CPU: 100.13%, Memory: 3.953GiB / 503.5GiB
heuristic_franklin: CPU: 100.29%, Memory: 5.975GiB / 503.5GiB
heuristic_franklin: CPU: 1602.11%, Memory: 9.071GiB / 503.5GiB
heuristic_franklin: CPU: 1597.85%, Memory: 9.07GiB / 503.5GiB
heuristic_franklin: CPU: 1351.34%, Memory: 6.085GiB / 503.5GiB
heuristic_franklin: CPU: 1600.68%, Memory: 9.279GiB / 503.5GiB
heuristic_franklin: CPU: 1595.39%, Memory: 9.426GiB / 503.5GiB
heuristic_franklin: CPU: 1601.36%, Memory: 9.449GiB / 503.5GiB
heuristic_franklin: CPU: 1600.69%, Memory: 9.466GiB / 503.5GiB
heuristic_franklin: CPU: 1597.07%, Memory: 9.478GiB / 503.5GiB
suspicious_wing: CPU: 100.12%, Memory: 2.983GiB / 503.5GiB
suspicious_wing: CPU: 99.99%, Memory: 5.975GiB / 503.5GiB
suspicious_wing: CPU: 1192.01%, Memory: 9.071GiB / 503.5GiB
suspicious_wing: CPU: 1600.08%, Memory: 9.07GiB / 503.5GiB
suspicious_wing: CPU: 1599.25%, Memory: 9.07GiB / 503.5GiB
suspicious_wing: CPU: 1604.32%, Memory: 9.283GiB / 503.5GiB
suspicious_wing: CPU: 1565.64%, Memory: 9.414GiB / 503.5GiB
suspicious_wing: CPU: 1601.14%, Memory: 9.443GiB / 503.5GiB
suspicious_wing: CPU: 1594.48%, Memory: 9.463GiB / 503.5GiB
suspicious_wing: CPU: 1594.13%, Memory: 9.48GiB / 503.5GiB
jolly_johnson: CPU: 100.29%, Memory: 2.959GiB / 503.5GiB
jolly_johnson: CPU: 99.75%, Memory: 5.975GiB / 503.5GiB
jolly_johnson: CPU: 1289.07%, Memory: 9.071GiB / 503.5GiB
jolly_johnson: CPU: 1601.07%, Memory: 9.07GiB / 503.5GiB
jolly_johnson: CPU: 1599.84%, Memory: 9.071GiB / 503.5GiB
jolly_johnson: CPU: 114.72%, Memory: 6.168GiB / 503.5GiB
jolly_johnson: CPU: 1599.06%, Memory: 9.286GiB / 503.5GiB
jolly_johnson: CPU: 1595.51%, Memory: 9.436GiB / 503.5GiB
jolly_johnson: CPU: 1599.68%, Memory: 9.456GiB / 503.5GiB
jolly_johnson: CPU: 1594.62%, Memory: 9.473GiB / 503.5GiB
jolly_johnson: CPU: 1601.34%, Memory: 9.485GiB / 503.5GiB
frosty_haibt: CPU: 100.09%, Memory: 3.001GiB / 503.5GiB
