trusting_keldysh: CPU: 100.12%, Memory: 1.496GiB / 503.5GiB
trusting_keldysh: CPU: 1555.27%, Memory: 2.422GiB / 503.5GiB
wizardly_black: CPU: 100.08%, Memory: 1.496GiB / 503.5GiB
wizardly_black: CPU: 1543.86%, Memory: 2.676GiB / 503.5GiB
objective_yalow: CPU: 99.95%, Memory: 1.496GiB / 503.5GiB
objective_yalow: CPU: 1558.99%, Memory: 2.432GiB / 503.5GiB
angry_wilson: CPU: 195.77%, Memory: 2.205GiB / 503.5GiB
angry_wilson: CPU: 1568.61%, Memory: 3.052GiB / 503.5GiB
awesome_nightingale: CPU: 100.54%, Memory: 1.496GiB / 503.5GiB
awesome_nightingale: CPU: 1551.60%, Memory: 2.428GiB / 503.5GiB
elated_chebyshev: CPU: 100.55%, Memory: 1.496GiB / 503.5GiB
elated_chebyshev: CPU: 1557.01%, Memory: 2.435GiB / 503.5GiB
romantic_bardeen: CPU: 100.08%, Memory: 1.496GiB / 503.5GiB
romantic_bardeen: CPU: 1555.76%, Memory: 2.992GiB / 503.5GiB
elegant_ellis: CPU: 100.09%, Memory: 1.496GiB / 503.5GiB
elegant_ellis: CPU: 1537.79%, Memory: 3.054GiB / 503.5GiB
festive_sutherland: CPU: 100.12%, Memory: 1.496GiB / 503.5GiB
festive_sutherland: CPU: 1545.07%, Memory: 2.701GiB / 503.5GiB
serene_clarke: CPU: 100.36%, Memory: 1.496GiB / 503.5GiB
serene_clarke: CPU: 1531.03%, Memory: 3.048GiB / 503.5GiB
