competent_cerf: CPU: 100.54%, Memory: 2.84GiB / 503.5GiB
competent_cerf: CPU: 100.18%, Memory: 5.975GiB / 503.5GiB
competent_cerf: CPU: 735.37%, Memory: 9.071GiB / 503.5GiB
competent_cerf: CPU: 1600.92%, Memory: 9.07GiB / 503.5GiB
competent_cerf: CPU: 1605.42%, Memory: 9.071GiB / 503.5GiB
competent_cerf: CPU: 1600.56%, Memory: 9.281GiB / 503.5GiB
competent_cerf: CPU: 1608.35%, Memory: 9.417GiB / 503.5GiB
competent_cerf: CPU: 1600.31%, Memory: 9.44GiB / 503.5GiB
competent_cerf: CPU: 1594.29%, Memory: 9.456GiB / 503.5GiB
competent_cerf: CPU: 1605.39%, Memory: 9.47GiB / 503.5GiB
competent_cerf: CPU: 1495.28%, Memory: 6.89GiB / 503.5GiB
gifted_kapitsa: CPU: 100.18%, Memory: 3GiB / 503.5GiB
gifted_kapitsa: CPU: 99.87%, Memory: 5.975GiB / 503.5GiB
gifted_kapitsa: CPU: 1105.86%, Memory: 9.07GiB / 503.5GiB
gifted_kapitsa: CPU: 1605.48%, Memory: 9.07GiB / 503.5GiB
gifted_kapitsa: CPU: 1605.66%, Memory: 9.071GiB / 503.5GiB
gifted_kapitsa: CPU: 1600.00%, Memory: 9.287GiB / 503.5GiB
gifted_kapitsa: CPU: 1596.52%, Memory: 9.426GiB / 503.5GiB
gifted_kapitsa: CPU: 1602.74%, Memory: 9.453GiB / 503.5GiB
gifted_kapitsa: CPU: 1596.97%, Memory: 9.47GiB / 503.5GiB
gifted_kapitsa: CPU: 1604.59%, Memory: 9.485GiB / 503.5GiB
unruffled_johnson: CPU: 99.99%, Memory: 2.991GiB / 503.5GiB
unruffled_johnson: CPU: 100.21%, Memory: 5.975GiB / 503.5GiB
unruffled_johnson: CPU: 1280.72%, Memory: 9.071GiB / 503.5GiB
unruffled_johnson: CPU: 1598.79%, Memory: 9.071GiB / 503.5GiB
unruffled_johnson: CPU: 1603.12%, Memory: 9.071GiB / 503.5GiB
unruffled_johnson: CPU: 1601.02%, Memory: 9.28GiB / 503.5GiB
unruffled_johnson: CPU: 1596.54%, Memory: 9.417GiB / 503.5GiB
unruffled_johnson: CPU: 1600.33%, Memory: 9.446GiB / 503.5GiB
unruffled_johnson: CPU: 1592.19%, Memory: 9.465GiB / 503.5GiB
unruffled_johnson: CPU: 1601.84%, Memory: 9.479GiB / 503.5GiB
dreamy_beaver: CPU: 100.18%, Memory: 2.977GiB / 503.5GiB
dreamy_beaver: CPU: 100.30%, Memory: 5.975GiB / 503.5GiB
dreamy_beaver: CPU: 1294.37%, Memory: 9.071GiB / 503.5GiB
dreamy_beaver: CPU: 1602.93%, Memory: 9.07GiB / 503.5GiB
dreamy_beaver: CPU: 1600.16%, Memory: 9.071GiB / 503.5GiB
dreamy_beaver: CPU: 1602.21%, Memory: 9.28GiB / 503.5GiB
dreamy_beaver: CPU: 1600.48%, Memory: 9.41GiB / 503.5GiB
dreamy_beaver: CPU: 1609.16%, Memory: 9.44GiB / 503.5GiB
dreamy_beaver: CPU: 1597.21%, Memory: 9.457GiB / 503.5GiB
dreamy_beaver: CPU: 1601.13%, Memory: 9.473GiB / 503.5GiB
heuristic_burnell: CPU: 99.77%, Memory: 4.659GiB / 503.5GiB
heuristic_burnell: CPU: 100.05%, Memory: 5.975GiB / 503.5GiB
heuristic_burnell: CPU: 1603.44%, Memory: 9.071GiB / 503.5GiB
heuristic_burnell: CPU: 1605.06%, Memory: 9.071GiB / 503.5GiB
heuristic_burnell: CPU: 890.89%, Memory: 6.309GiB / 503.5GiB
heuristic_burnell: CPU: 1600.30%, Memory: 9.282GiB / 503.5GiB
heuristic_burnell: CPU: 1600.33%, Memory: 9.432GiB / 503.5GiB
heuristic_burnell: CPU: 1599.48%, Memory: 9.455GiB / 503.5GiB
heuristic_burnell: CPU: 1601.86%, Memory: 9.476GiB / 503.5GiB
laughing_jemison: CPU: 100.15%, Memory: 4.565GiB / 503.5GiB
laughing_jemison: CPU: 100.18%, Memory: 5.975GiB / 503.5GiB
laughing_jemison: CPU: 1603.31%, Memory: 9.071GiB / 503.5GiB
laughing_jemison: CPU: 1601.26%, Memory: 9.07GiB / 503.5GiB
laughing_jemison: CPU: 1244.77%, Memory: 9.186GiB / 503.5GiB
laughing_jemison: CPU: 1599.40%, Memory: 9.283GiB / 503.5GiB
laughing_jemison: CPU: 1600.85%, Memory: 9.431GiB / 503.5GiB
laughing_jemison: CPU: 1599.22%, Memory: 9.454GiB / 503.5GiB
laughing_jemison: CPU: 1593.96%, Memory: 9.471GiB / 503.5GiB
laughing_jemison: CPU: 1604.03%, Memory: 9.258GiB / 503.5GiB
eloquent_albattani: CPU: 100.11%, Memory: 2.938GiB / 503.5GiB
eloquent_albattani: CPU: 100.24%, Memory: 5.975GiB / 503.5GiB
eloquent_albattani: CPU: 1212.43%, Memory: 9.07GiB / 503.5GiB
eloquent_albattani: CPU: 1602.87%, Memory: 9.07GiB / 503.5GiB
eloquent_albattani: CPU: 1598.93%, Memory: 9.071GiB / 503.5GiB
eloquent_albattani: CPU: 1599.72%, Memory: 9.283GiB / 503.5GiB
eloquent_albattani: CPU: 1596.83%, Memory: 9.417GiB / 503.5GiB
eloquent_albattani: CPU: 1599.73%, Memory: 9.44GiB / 503.5GiB
eloquent_albattani: CPU: 1591.90%, Memory: 9.46GiB / 503.5GiB
eloquent_albattani: CPU: 1602.96%, Memory: 9.476GiB / 503.5GiB
flamboyant_lovelace: CPU: 100.11%, Memory: 4.678GiB / 503.5GiB
flamboyant_lovelace: CPU: 100.11%, Memory: 5.975GiB / 503.5GiB
flamboyant_lovelace: CPU: 1595.60%, Memory: 9.07GiB / 503.5GiB
flamboyant_lovelace: CPU: 1604.23%, Memory: 9.07GiB / 503.5GiB
flamboyant_lovelace: CPU: 1507.09%, Memory: 7.962GiB / 503.5GiB
flamboyant_lovelace: CPU: 1600.53%, Memory: 9.28GiB / 503.5GiB
flamboyant_lovelace: CPU: 1596.94%, Memory: 9.417GiB / 503.5GiB
flamboyant_lovelace: CPU: 1599.68%, Memory: 9.447GiB / 503.5GiB
flamboyant_lovelace: CPU: 1604.30%, Memory: 9.464GiB / 503.5GiB
flamboyant_lovelace: CPU: 1598.97%, Memory: 9.479GiB / 503.5GiB
exciting_tesla: CPU: 100.15%, Memory: 3.339GiB / 503.5GiB
exciting_tesla: CPU: 100.54%, Memory: 5.975GiB / 503.5GiB
exciting_tesla: CPU: 1473.54%, Memory: 9.07GiB / 503.5GiB
exciting_tesla: CPU: 1601.51%, Memory: 9.07GiB / 503.5GiB
exciting_tesla: CPU: 1602.59%, Memory: 9.071GiB / 503.5GiB
exciting_tesla: CPU: 1599.94%, Memory: 9.283GiB / 503.5GiB
exciting_tesla: CPU: 1608.34%, Memory: 9.419GiB / 503.5GiB
exciting_tesla: CPU: 1601.82%, Memory: 9.449GiB / 503.5GiB
exciting_tesla: CPU: 1594.68%, Memory: 9.466GiB / 503.5GiB
exciting_tesla: CPU: 1600.72%, Memory: 9.481GiB / 503.5GiB
jolly_saha: CPU: 100.41%, Memory: 2.941GiB / 503.5GiB
jolly_saha: CPU: 100.19%, Memory: 5.975GiB / 503.5GiB
jolly_saha: CPU: 1268.80%, Memory: 9.07GiB / 503.5GiB
jolly_saha: CPU: 1603.21%, Memory: 9.07GiB / 503.5GiB
jolly_saha: CPU: 1602.30%, Memory: 9.07GiB / 503.5GiB
jolly_saha: CPU: 1606.30%, Memory: 9.282GiB / 503.5GiB
jolly_saha: CPU: 1566.98%, Memory: 9.408GiB / 503.5GiB
jolly_saha: CPU: 1597.73%, Memory: 9.441GiB / 503.5GiB
jolly_saha: CPU: 1605.76%, Memory: 9.463GiB / 503.5GiB
jolly_saha: CPU: 1594.92%, Memory: 9.478GiB / 503.5GiB
