peaceful_ritchie: CPU: 100.09%, Memory: 1.496GiB / 503.5GiB
peaceful_ritchie: CPU: 1601.56%, Memory: 2.294GiB / 503.5GiB
peaceful_ritchie: CPU: 1589.15%, Memory: 2.402GiB / 503.5GiB
hopeful_nightingale: CPU: 559.40%, Memory: 2.282GiB / 503.5GiB
hopeful_nightingale: CPU: 1595.87%, Memory: 2.38GiB / 503.5GiB
mystifying_keldysh: CPU: 574.38%, Memory: 2.282GiB / 503.5GiB
mystifying_keldysh: CPU: 1589.89%, Memory: 2.379GiB / 503.5GiB
mystifying_keldysh: CPU: 1545.80%, Memory: 837.3MiB / 503.5GiB
dreamy_dirac: CPU: 169.72%, Memory: 2.049GiB / 503.5GiB
dreamy_dirac: CPU: 1602.20%, Memory: 2.32GiB / 503.5GiB
dreamy_dirac: CPU: 1594.82%, Memory: 2.092GiB / 503.5GiB
nifty_cray: CPU: 100.18%, Memory: 1.496GiB / 503.5GiB
nifty_cray: CPU: 1606.09%, Memory: 2.308GiB / 503.5GiB
nifty_cray: CPU: 1591.35%, Memory: 2.391GiB / 503.5GiB
eloquent_germain: CPU: 100.07%, Memory: 1.496GiB / 503.5GiB
eloquent_germain: CPU: 1599.65%, Memory: 2.315GiB / 503.5GiB
eloquent_germain: CPU: 1589.88%, Memory: 2.414GiB / 503.5GiB
condescending_shaw: CPU: 100.09%, Memory: 1.496GiB / 503.5GiB
condescending_shaw: CPU: 1601.29%, Memory: 2.322GiB / 503.5GiB
condescending_shaw: CPU: 1590.63%, Memory: 2.092GiB / 503.5GiB
determined_nobel: CPU: 100.21%, Memory: 1.496GiB / 503.5GiB
determined_nobel: CPU: 1606.50%, Memory: 2.318GiB / 503.5GiB
determined_nobel: CPU: 1589.42%, Memory: 1.65GiB / 503.5GiB
sleepy_agnesi: CPU: 100.14%, Memory: 1.496GiB / 503.5GiB
sleepy_agnesi: CPU: 1601.64%, Memory: 2.315GiB / 503.5GiB
sleepy_agnesi: CPU: 1589.34%, Memory: 2.427GiB / 503.5GiB
cranky_yalow: CPU: 99.68%, Memory: 1.496GiB / 503.5GiB
cranky_yalow: CPU: 1602.84%, Memory: 2.306GiB / 503.5GiB
cranky_yalow: CPU: 1589.31%, Memory: 1.796GiB / 503.5GiB
