hopeful_chaplygin: CPU: 100.40%, Memory: 2.938GiB / 503.5GiB
hopeful_chaplygin: CPU: 100.09%, Memory: 5.975GiB / 503.5GiB
hopeful_chaplygin: CPU: 1345.72%, Memory: 9.025GiB / 503.5GiB
hopeful_chaplygin: CPU: 1600.81%, Memory: 9.028GiB / 503.5GiB
hopeful_chaplygin: CPU: 1601.58%, Memory: 9.032GiB / 503.5GiB
hopeful_chaplygin: CPU: 1601.42%, Memory: 9.035GiB / 503.5GiB
hopeful_chaplygin: CPU: 1600.99%, Memory: 9.041GiB / 503.5GiB
hopeful_chaplygin: CPU: 972.65%, Memory: 9.057GiB / 503.5GiB
hopeful_chaplygin: CPU: 1585.85%, Memory: 9.134GiB / 503.5GiB
hopeful_chaplygin: CPU: 1601.08%, Memory: 9.184GiB / 503.5GiB
hopeful_chaplygin: CPU: 1604.80%, Memory: 9.216GiB / 503.5GiB
hopeful_chaplygin: CPU: 1605.82%, Memory: 9.232GiB / 503.5GiB
hopeful_chaplygin: CPU: 1601.38%, Memory: 9.246GiB / 503.5GiB
hopeful_chaplygin: CPU: 1597.59%, Memory: 9.273GiB / 503.5GiB
hopeful_chaplygin: CPU: 1360.73%, Memory: 7.878GiB / 503.5GiB
hopeful_chaplygin: CPU: 1603.84%, Memory: 7.983GiB / 503.5GiB
zealous_chatterjee: CPU: 100.09%, Memory: 2.979GiB / 503.5GiB
zealous_chatterjee: CPU: 100.11%, Memory: 5.975GiB / 503.5GiB
zealous_chatterjee: CPU: 1363.58%, Memory: 9.025GiB / 503.5GiB
zealous_chatterjee: CPU: 1601.98%, Memory: 9.028GiB / 503.5GiB
zealous_chatterjee: CPU: 1600.97%, Memory: 9.031GiB / 503.5GiB
zealous_chatterjee: CPU: 1596.94%, Memory: 9.035GiB / 503.5GiB
zealous_chatterjee: CPU: 1601.78%, Memory: 9.041GiB / 503.5GiB
zealous_chatterjee: CPU: 1075.07%, Memory: 9.062GiB / 503.5GiB
zealous_chatterjee: CPU: 1595.89%, Memory: 9.172GiB / 503.5GiB
zealous_chatterjee: CPU: 1599.48%, Memory: 9.198GiB / 503.5GiB
zealous_chatterjee: CPU: 1603.63%, Memory: 9.17GiB / 503.5GiB
zealous_chatterjee: CPU: 1599.81%, Memory: 9.233GiB / 503.5GiB
zealous_chatterjee: CPU: 1608.87%, Memory: 9.245GiB / 503.5GiB
zealous_chatterjee: CPU: 1599.46%, Memory: 9.253GiB / 503.5GiB
zealous_chatterjee: CPU: 1264.64%, Memory: 7.845GiB / 503.5GiB
zealous_chatterjee: CPU: 1597.45%, Memory: 7.976GiB / 503.5GiB
busy_bohr: CPU: 100.55%, Memory: 3.004GiB / 503.5GiB
busy_bohr: CPU: 100.24%, Memory: 5.975GiB / 503.5GiB
busy_bohr: CPU: 1411.04%, Memory: 9.024GiB / 503.5GiB
busy_bohr: CPU: 1605.20%, Memory: 9.028GiB / 503.5GiB
busy_bohr: CPU: 1599.67%, Memory: 9.033GiB / 503.5GiB
busy_bohr: CPU: 1599.94%, Memory: 9.036GiB / 503.5GiB
busy_bohr: CPU: 1602.18%, Memory: 9.041GiB / 503.5GiB
busy_bohr: CPU: 952.46%, Memory: 9.056GiB / 503.5GiB
busy_bohr: CPU: 1595.50%, Memory: 9.172GiB / 503.5GiB
busy_bohr: CPU: 1597.90%, Memory: 9.2GiB / 503.5GiB
busy_bohr: CPU: 1604.33%, Memory: 9.192GiB / 503.5GiB
busy_bohr: CPU: 1604.17%, Memory: 9.236GiB / 503.5GiB
busy_bohr: CPU: 1603.17%, Memory: 9.25GiB / 503.5GiB
busy_bohr: CPU: 1597.43%, Memory: 9.385GiB / 503.5GiB
busy_bohr: CPU: 1227.99%, Memory: 7.788GiB / 503.5GiB
busy_bohr: CPU: 1598.45%, Memory: 7.803GiB / 503.5GiB
busy_bohr: CPU: 1597.45%, Memory: 7.81GiB / 503.5GiB
priceless_sammet: CPU: 100.14%, Memory: 2.92GiB / 503.5GiB
priceless_sammet: CPU: 100.21%, Memory: 5.975GiB / 503.5GiB
priceless_sammet: CPU: 1349.86%, Memory: 9.025GiB / 503.5GiB
priceless_sammet: CPU: 1600.31%, Memory: 9.027GiB / 503.5GiB
priceless_sammet: CPU: 1595.05%, Memory: 9.031GiB / 503.5GiB
priceless_sammet: CPU: 1596.18%, Memory: 9.035GiB / 503.5GiB
