recursing_ganguly: CPU: 100.32%, Memory: 1.496GiB / 503.5GiB
recursing_ganguly: CPU: 1601.58%, Memory: 1.535GiB / 503.5GiB
recursing_ganguly: CPU: 1604.48%, Memory: 2.404GiB / 503.5GiB
upbeat_einstein: CPU: 100.15%, Memory: 1.496GiB / 503.5GiB
upbeat_einstein: CPU: 1600.10%, Memory: 2.323GiB / 503.5GiB
upbeat_einstein: CPU: 1592.37%, Memory: 2.091GiB / 503.5GiB
reverent_ride: CPU: 100.15%, Memory: 1.496GiB / 503.5GiB
reverent_ride: CPU: 1603.34%, Memory: 2.317GiB / 503.5GiB
reverent_ride: CPU: 1604.96%, Memory: 2.079GiB / 503.5GiB
vigilant_goldwasser: CPU: 100.52%, Memory: 1.496GiB / 503.5GiB
vigilant_goldwasser: CPU: 1606.45%, Memory: 2.317GiB / 503.5GiB
vigilant_goldwasser: CPU: 1593.77%, Memory: 2.091GiB / 503.5GiB
musing_wilbur: CPU: 100.02%, Memory: 1.496GiB / 503.5GiB
musing_wilbur: CPU: 1436.39%, Memory: 1.535GiB / 503.5GiB
musing_wilbur: CPU: 1592.73%, Memory: 2.407GiB / 503.5GiB
nervous_brahmagupta: CPU: 100.48%, Memory: 1.496GiB / 503.5GiB
nervous_brahmagupta: CPU: 1599.72%, Memory: 1.599GiB / 503.5GiB
nervous_brahmagupta: CPU: 1592.50%, Memory: 2.359GiB / 503.5GiB
recursing_bell: CPU: 100.26%, Memory: 1.496GiB / 503.5GiB
recursing_bell: CPU: 1598.41%, Memory: 2.315GiB / 503.5GiB
recursing_bell: CPU: 1586.03%, Memory: 2.09GiB / 503.5GiB
inspiring_khorana: CPU: 100.08%, Memory: 1.496GiB / 503.5GiB
inspiring_khorana: CPU: 1598.99%, Memory: 2.319GiB / 503.5GiB
inspiring_khorana: CPU: 1590.78%, Memory: 2.091GiB / 503.5GiB
busy_mcnulty: CPU: 100.12%, Memory: 1.496GiB / 503.5GiB
busy_mcnulty: CPU: 1606.25%, Memory: 2.316GiB / 503.5GiB
busy_mcnulty: CPU: 1592.38%, Memory: 2.091GiB / 503.5GiB
recursing_montalcini: CPU: 100.15%, Memory: 1.496GiB / 503.5GiB
recursing_montalcini: CPU: 1602.73%, Memory: 2.309GiB / 503.5GiB
recursing_montalcini: CPU: 1588.31%, Memory: 2.426GiB / 503.5GiB
