mystifying_lalande: CPU: 100.51%, Memory: 2.906GiB / 503.5GiB
mystifying_lalande: CPU: 100.05%, Memory: 5.975GiB / 503.5GiB
mystifying_lalande: CPU: 1269.39%, Memory: 9.024GiB / 503.5GiB
mystifying_lalande: CPU: 1600.79%, Memory: 9.028GiB / 503.5GiB
mystifying_lalande: CPU: 1596.52%, Memory: 9.032GiB / 503.5GiB
mystifying_lalande: CPU: 1604.63%, Memory: 9.035GiB / 503.5GiB
mystifying_lalande: CPU: 1601.92%, Memory: 9.04GiB / 503.5GiB
mystifying_lalande: CPU: 1266.23%, Memory: 9.061GiB / 503.5GiB
mystifying_lalande: CPU: 1590.99%, Memory: 9.172GiB / 503.5GiB
mystifying_lalande: CPU: 1599.83%, Memory: 9.199GiB / 503.5GiB
mystifying_lalande: CPU: 1600.81%, Memory: 9.205GiB / 503.5GiB
mystifying_lalande: CPU: 1601.09%, Memory: 9.233GiB / 503.5GiB
mystifying_lalande: CPU: 1602.51%, Memory: 9.209GiB / 503.5GiB
mystifying_lalande: CPU: 1591.42%, Memory: 9.328GiB / 503.5GiB
mystifying_lalande: CPU: 1379.44%, Memory: 6.212GiB / 503.5GiB
mystifying_lalande: CPU: 1597.92%, Memory: 7.8GiB / 503.5GiB
mystifying_lalande: CPU: 1594.82%, Memory: 7.809GiB / 503.5GiB
laughing_goldwasser: CPU: 99.96%, Memory: 4.713GiB / 503.5GiB
laughing_goldwasser: CPU: 100.24%, Memory: 5.975GiB / 503.5GiB
laughing_goldwasser: CPU: 1595.06%, Memory: 9.026GiB / 503.5GiB
laughing_goldwasser: CPU: 1601.21%, Memory: 9.03GiB / 503.5GiB
laughing_goldwasser: CPU: 1601.13%, Memory: 9.033GiB / 503.5GiB
laughing_goldwasser: CPU: 1598.84%, Memory: 9.037GiB / 503.5GiB
laughing_goldwasser: CPU: 1600.80%, Memory: 9.046GiB / 503.5GiB
laughing_goldwasser: CPU: 1583.20%, Memory: 9.141GiB / 503.5GiB
laughing_goldwasser: CPU: 1598.36%, Memory: 9.183GiB / 503.5GiB
laughing_goldwasser: CPU: 1602.72%, Memory: 9.207GiB / 503.5GiB
laughing_goldwasser: CPU: 1607.20%, Memory: 9.188GiB / 503.5GiB
laughing_goldwasser: CPU: 1603.34%, Memory: 9.197GiB / 503.5GiB
laughing_goldwasser: CPU: 1599.07%, Memory: 9.252GiB / 503.5GiB
laughing_goldwasser: CPU: 1599.80%, Memory: 9.388GiB / 503.5GiB
