goofy_kare: CPU: 100.33%, Memory: 1.127GiB / 503.5GiB
goofy_kare: CPU: 2038.80%, Memory: 1.901GiB / 503.5GiB
goofy_kare: CPU: 1080.62%, Memory: 3.101GiB / 503.5GiB
goofy_kare: CPU: 3210.19%, Memory: 3.1GiB / 503.5GiB
goofy_kare: CPU: 1740.70%, Memory: 3.847GiB / 503.5GiB
goofy_kare: CPU: 3180.84%, Memory: 3.847GiB / 503.5GiB
goofy_kare: CPU: 3203.49%, Memory: 2.4GiB / 503.5GiB
pedantic_liskov: CPU: 100.53%, Memory: 1.287GiB / 503.5GiB
pedantic_liskov: CPU: 99.97%, Memory: 2.358GiB / 503.5GiB
pedantic_liskov: CPU: 3094.68%, Memory: 3.101GiB / 503.5GiB
pedantic_liskov: CPU: 3131.12%, Memory: 3.1GiB / 503.5GiB
pedantic_liskov: CPU: 642.54%, Memory: 2.84GiB / 503.5GiB
pedantic_liskov: CPU: 3205.45%, Memory: 3.847GiB / 503.5GiB
pedantic_liskov: CPU: 1301.21%, Memory: 2.314GiB / 503.5GiB
gracious_lalande: CPU: 100.12%, Memory: 1.454GiB / 503.5GiB
gracious_lalande: CPU: 100.06%, Memory: 2.589GiB / 503.5GiB
gracious_lalande: CPU: 3196.04%, Memory: 3.101GiB / 503.5GiB
gracious_lalande: CPU: 110.27%, Memory: 3.225GiB / 503.5GiB
gracious_lalande: CPU: 3198.14%, Memory: 3.847GiB / 503.5GiB
gracious_lalande: CPU: 2312.60%, Memory: 2.314GiB / 503.5GiB
wizardly_antonelli: CPU: 101.30%, Memory: 1.302GiB / 503.5GiB
wizardly_antonelli: CPU: 3078.16%, Memory: 1.566GiB / 503.5GiB
wizardly_antonelli: CPU: 342.68%, Memory: 3.1GiB / 503.5GiB
wizardly_antonelli: CPU: 3169.92%, Memory: 3.1GiB / 503.5GiB
wizardly_antonelli: CPU: 2810.56%, Memory: 3.845GiB / 503.5GiB
wizardly_antonelli: CPU: 3200.04%, Memory: 3.847GiB / 503.5GiB
wizardly_antonelli: CPU: 663.90%, Memory: 2.314GiB / 503.5GiB
heuristic_volhard: CPU: 100.14%, Memory: 1.359GiB / 503.5GiB
heuristic_volhard: CPU: 100.27%, Memory: 2.575GiB / 503.5GiB
heuristic_volhard: CPU: 3209.16%, Memory: 3.1GiB / 503.5GiB
heuristic_volhard: CPU: 100.08%, Memory: 3.356GiB / 503.5GiB
heuristic_volhard: CPU: 3196.11%, Memory: 3.847GiB / 503.5GiB
heuristic_volhard: CPU: 2535.07%, Memory: 2.314GiB / 503.5GiB
peaceful_haibt: CPU: 118.49%, Memory: 1.233GiB / 503.5GiB
peaceful_haibt: CPU: 100.24%, Memory: 2.31GiB / 503.5GiB
peaceful_haibt: CPU: 3106.85%, Memory: 3.101GiB / 503.5GiB
peaceful_haibt: CPU: 3211.64%, Memory: 3.101GiB / 503.5GiB
peaceful_haibt: CPU: 1222.83%, Memory: 3.847GiB / 503.5GiB
peaceful_haibt: CPU: 3214.34%, Memory: 3.847GiB / 503.5GiB
peaceful_haibt: CPU: 3199.56%, Memory: 2.314GiB / 503.5GiB
strange_ride: CPU: 100.78%, Memory: 1.261GiB / 503.5GiB
strange_ride: CPU: 99.86%, Memory: 2.263GiB / 503.5GiB
strange_ride: CPU: 3203.02%, Memory: 3.1GiB / 503.5GiB
strange_ride: CPU: 965.81%, Memory: 3.847GiB / 503.5GiB
strange_ride: CPU: 3172.17%, Memory: 3.847GiB / 503.5GiB
strange_ride: CPU: 801.48%, Memory: 2.314GiB / 503.5GiB
dreamy_neumann: CPU: 100.02%, Memory: 1.382GiB / 503.5GiB
dreamy_neumann: CPU: 3107.07%, Memory: 1.566GiB / 503.5GiB
dreamy_neumann: CPU: 100.07%, Memory: 3.048GiB / 503.5GiB
dreamy_neumann: CPU: 3196.64%, Memory: 3.1GiB / 503.5GiB
dreamy_neumann: CPU: 1977.59%, Memory: 3.847GiB / 503.5GiB
dreamy_neumann: CPU: 3163.51%, Memory: 3.847GiB / 503.5GiB
dreamy_neumann: CPU: 3177.47%, Memory: 2.314GiB / 503.5GiB
infallible_easley: CPU: 99.91%, Memory: 1.254GiB / 503.5GiB
infallible_easley: CPU: 158.52%, Memory: 2.255GiB / 503.5GiB
infallible_easley: CPU: 3194.22%, Memory: 3.101GiB / 503.5GiB
infallible_easley: CPU: 170.30%, Memory: 3.227GiB / 503.5GiB
infallible_easley: CPU: 3198.60%, Memory: 3.847GiB / 503.5GiB
infallible_easley: CPU: 870.59%, Memory: 2.314GiB / 503.5GiB
peaceful_chatterjee: CPU: 100.15%, Memory: 1.465GiB / 503.5GiB
peaceful_chatterjee: CPU: 3061.47%, Memory: 1.566GiB / 503.5GiB
peaceful_chatterjee: CPU: 360.71%, Memory: 3.1GiB / 503.5GiB
peaceful_chatterjee: CPU: 3208.41%, Memory: 3.1GiB / 503.5GiB
peaceful_chatterjee: CPU: 2069.65%, Memory: 3.847GiB / 503.5GiB
peaceful_chatterjee: CPU: 3196.98%, Memory: 3.847GiB / 503.5GiB
peaceful_chatterjee: CPU: 2870.59%, Memory: 2.314GiB / 503.5GiB
