mystifying_einstein: CPU: 100.08%, Memory: 1021MiB / 503.5GiB
mystifying_einstein: CPU: 807.81%, Memory: 2.299GiB / 503.5GiB
mystifying_einstein: CPU: 3195.24%, Memory: 2.302GiB / 503.5GiB
mystifying_einstein: CPU: 3119.93%, Memory: 2.303GiB / 503.5GiB
dreamy_heyrovsky: CPU: 100.10%, Memory: 1.393GiB / 503.5GiB
dreamy_heyrovsky: CPU: 3186.55%, Memory: 2.302GiB / 503.5GiB
dreamy_heyrovsky: CPU: 2592.93%, Memory: 3.048GiB / 503.5GiB
dreamy_heyrovsky: CPU: 2690.52%, Memory: 2.863GiB / 503.5GiB
crazy_mccarthy: CPU: 100.87%, Memory: 1.268GiB / 503.5GiB
crazy_mccarthy: CPU: 3079.32%, Memory: 2.299GiB / 503.5GiB
crazy_mccarthy: CPU: 3149.15%, Memory: 2.303GiB / 503.5GiB
crazy_mccarthy: CPU: 885.86%, Memory: 2.457GiB / 503.5GiB
crazy_mccarthy: CPU: 2828.64%, Memory: 2.695GiB / 503.5GiB
nice_jemison: CPU: 128.00%, Memory: 1.196GiB / 503.5GiB
nice_jemison: CPU: 3177.55%, Memory: 2.299GiB / 503.5GiB
nice_jemison: CPU: 3006.48%, Memory: 3.046GiB / 503.5GiB
nice_jemison: CPU: 2067.76%, Memory: 3.29GiB / 503.5GiB
trusting_haibt: CPU: 103.83%, Memory: 1.226GiB / 503.5GiB
trusting_haibt: CPU: 3097.24%, Memory: 2.298GiB / 503.5GiB
trusting_haibt: CPU: 3195.56%, Memory: 2.302GiB / 503.5GiB
trusting_haibt: CPU: 3181.71%, Memory: 2.303GiB / 503.5GiB
relaxed_brattain: CPU: 100.55%, Memory: 1.474GiB / 503.5GiB
relaxed_brattain: CPU: 3058.62%, Memory: 2.298GiB / 503.5GiB
relaxed_brattain: CPU: 3113.66%, Memory: 2.302GiB / 503.5GiB
relaxed_brattain: CPU: 1876.50%, Memory: 2.303GiB / 503.5GiB
funny_euler: CPU: 100.08%, Memory: 1.395GiB / 503.5GiB
funny_euler: CPU: 3184.95%, Memory: 2.302GiB / 503.5GiB
funny_euler: CPU: 1325.65%, Memory: 2.91GiB / 503.5GiB
competent_wiles: CPU: 100.10%, Memory: 1.48GiB / 503.5GiB
competent_wiles: CPU: 3182.18%, Memory: 2.303GiB / 503.5GiB
competent_wiles: CPU: 2996.80%, Memory: 3.048GiB / 503.5GiB
competent_wiles: CPU: 1852.90%, Memory: 3.688GiB / 503.5GiB
busy_bose: CPU: 115.54%, Memory: 1.253GiB / 503.5GiB
busy_bose: CPU: 3205.97%, Memory: 2.303GiB / 503.5GiB
busy_bose: CPU: 2022.37%, Memory: 3.048GiB / 503.5GiB
busy_bose: CPU: 827.67%, Memory: 2.447GiB / 503.5GiB
peaceful_burnell: CPU: 100.12%, Memory: 1.508GiB / 503.5GiB
peaceful_burnell: CPU: 3084.61%, Memory: 2.299GiB / 503.5GiB
peaceful_burnell: CPU: 3092.78%, Memory: 2.299GiB / 503.5GiB
peaceful_burnell: CPU: 3182.87%, Memory: 2.302GiB / 503.5GiB
peaceful_burnell: CPU: 3175.62%, Memory: 2.303GiB / 503.5GiB
