strange_dubinsky: CPU: 215.82%, Memory: 1.133GiB / 503.5GiB
strange_dubinsky: CPU: 100.20%, Memory: 3.95GiB / 503.5GiB
strange_dubinsky: CPU: 100.08%, Memory: 3.431GiB / 503.5GiB
strange_dubinsky: CPU: 100.09%, Memory: 4.032GiB / 503.5GiB
strange_dubinsky: CPU: 100.12%, Memory: 8.964GiB / 503.5GiB
strange_dubinsky: CPU: 3183.62%, Memory: 9.049GiB / 503.5GiB
strange_dubinsky: CPU: 3210.40%, Memory: 9.052GiB / 503.5GiB
strange_dubinsky: CPU: 3145.96%, Memory: 9.05GiB / 503.5GiB
strange_dubinsky: CPU: 3146.95%, Memory: 9.049GiB / 503.5GiB
strange_dubinsky: CPU: 3095.73%, Memory: 9.049GiB / 503.5GiB
strange_dubinsky: CPU: 3168.91%, Memory: 9.049GiB / 503.5GiB
strange_dubinsky: CPU: 3098.28%, Memory: 9.049GiB / 503.5GiB
strange_dubinsky: CPU: 3009.39%, Memory: 9.049GiB / 503.5GiB
strange_dubinsky: CPU: 110.05%, Memory: 12.03GiB / 503.5GiB
strange_dubinsky: CPU: 100.21%, Memory: 7.553GiB / 503.5GiB
strange_dubinsky: CPU: 3198.17%, Memory: 9.05GiB / 503.5GiB
strange_dubinsky: CPU: 3197.83%, Memory: 9.049GiB / 503.5GiB
strange_dubinsky: CPU: 3196.65%, Memory: 9.049GiB / 503.5GiB
strange_dubinsky: CPU: 3195.50%, Memory: 9.049GiB / 503.5GiB
strange_dubinsky: CPU: 3196.40%, Memory: 9.049GiB / 503.5GiB
strange_dubinsky: CPU: 2092.32%, Memory: 10.07GiB / 503.5GiB
strange_dubinsky: CPU: 100.15%, Memory: 15.43GiB / 503.5GiB
distracted_bose: CPU: 102.12%, Memory: 1.168GiB / 503.5GiB
distracted_bose: CPU: 100.24%, Memory: 3.927GiB / 503.5GiB
distracted_bose: CPU: 100.18%, Memory: 3.297GiB / 503.5GiB
distracted_bose: CPU: 100.09%, Memory: 3.845GiB / 503.5GiB
distracted_bose: CPU: 100.18%, Memory: 8.32GiB / 503.5GiB
distracted_bose: CPU: 3198.79%, Memory: 9.049GiB / 503.5GiB
distracted_bose: CPU: 3211.75%, Memory: 9.049GiB / 503.5GiB
distracted_bose: CPU: 3198.10%, Memory: 9.05GiB / 503.5GiB
distracted_bose: CPU: 3207.23%, Memory: 9.05GiB / 503.5GiB
distracted_bose: CPU: 3200.03%, Memory: 9.049GiB / 503.5GiB
distracted_bose: CPU: 3195.86%, Memory: 9.049GiB / 503.5GiB
distracted_bose: CPU: 3199.10%, Memory: 9.049GiB / 503.5GiB
distracted_bose: CPU: 3196.24%, Memory: 9.049GiB / 503.5GiB
distracted_bose: CPU: 801.25%, Memory: 10.95GiB / 503.5GiB
distracted_bose: CPU: 100.15%, Memory: 12.03GiB / 503.5GiB
distracted_bose: CPU: 1554.81%, Memory: 9.052GiB / 503.5GiB
distracted_bose: CPU: 3156.98%, Memory: 9.05GiB / 503.5GiB
distracted_bose: CPU: 3204.49%, Memory: 9.049GiB / 503.5GiB
distracted_bose: CPU: 3181.45%, Memory: 9.049GiB / 503.5GiB
distracted_bose: CPU: 3204.75%, Memory: 9.049GiB / 503.5GiB
distracted_bose: CPU: 3197.47%, Memory: 9.049GiB / 503.5GiB
distracted_bose: CPU: 3173.79%, Memory: 9.049GiB / 503.5GiB
distracted_bose: CPU: 100.15%, Memory: 12.12GiB / 503.5GiB
nifty_margulis: CPU: 101.93%, Memory: 1.148GiB / 503.5GiB
nifty_margulis: CPU: 100.07%, Memory: 3.917GiB / 503.5GiB
nifty_margulis: CPU: 100.03%, Memory: 3.258GiB / 503.5GiB
nifty_margulis: CPU: 100.14%, Memory: 3.81GiB / 503.5GiB
nifty_margulis: CPU: 100.17%, Memory: 8.293GiB / 503.5GiB
nifty_margulis: CPU: 3118.55%, Memory: 9.05GiB / 503.5GiB
nifty_margulis: CPU: 3086.46%, Memory: 9.049GiB / 503.5GiB
nifty_margulis: CPU: 3185.94%, Memory: 9.049GiB / 503.5GiB
nifty_margulis: CPU: 3145.58%, Memory: 9.051GiB / 503.5GiB
nifty_margulis: CPU: 3196.53%, Memory: 9.05GiB / 503.5GiB
nifty_margulis: CPU: 3207.69%, Memory: 9.049GiB / 503.5GiB
nifty_margulis: CPU: 3196.89%, Memory: 9.049GiB / 503.5GiB
nifty_margulis: CPU: 3192.18%, Memory: 9.049GiB / 503.5GiB
nifty_margulis: CPU: 3196.40%, Memory: 9.049GiB / 503.5GiB
nifty_margulis: CPU: 1047.43%, Memory: 10.84GiB / 503.5GiB
nifty_margulis: CPU: 100.09%, Memory: 12.03GiB / 503.5GiB
nifty_margulis: CPU: 403.68%, Memory: 9.051GiB / 503.5GiB
nifty_margulis: CPU: 3154.02%, Memory: 9.05GiB / 503.5GiB
nifty_margulis: CPU: 3120.14%, Memory: 9.049GiB / 503.5GiB
nifty_margulis: CPU: 3096.98%, Memory: 9.049GiB / 503.5GiB
nifty_margulis: CPU: 3106.84%, Memory: 9.049GiB / 503.5GiB
nifty_margulis: CPU: 3098.48%, Memory: 9.049GiB / 503.5GiB
nifty_margulis: CPU: 3186.96%, Memory: 9.049GiB / 503.5GiB
nifty_margulis: CPU: 709.93%, Memory: 11.17GiB / 503.5GiB
nifty_margulis: CPU: 100.08%, Memory: 9.628GiB / 503.5GiB
busy_fermat: CPU: 101.56%, Memory: 1.11GiB / 503.5GiB
busy_fermat: CPU: 100.23%, Memory: 3.835GiB / 503.5GiB
busy_fermat: CPU: 100.05%, Memory: 3.033GiB / 503.5GiB
busy_fermat: CPU: 100.01%, Memory: 3.457GiB / 503.5GiB
busy_fermat: CPU: 100.05%, Memory: 7.397GiB / 503.5GiB
busy_fermat: CPU: 3196.33%, Memory: 9.05GiB / 503.5GiB
busy_fermat: CPU: 3191.47%, Memory: 9.049GiB / 503.5GiB
busy_fermat: CPU: 3191.16%, Memory: 9.05GiB / 503.5GiB
busy_fermat: CPU: 3096.34%, Memory: 9.049GiB / 503.5GiB
busy_fermat: CPU: 3096.43%, Memory: 9.049GiB / 503.5GiB
busy_fermat: CPU: 3094.32%, Memory: 9.049GiB / 503.5GiB
busy_fermat: CPU: 3094.76%, Memory: 9.049GiB / 503.5GiB
busy_fermat: CPU: 2990.91%, Memory: 9.049GiB / 503.5GiB
busy_fermat: CPU: 233.55%, Memory: 12.03GiB / 503.5GiB
busy_fermat: CPU: 100.12%, Memory: 12.03GiB / 503.5GiB
busy_fermat: CPU: 727.37%, Memory: 9.052GiB / 503.5GiB
busy_fermat: CPU: 3197.37%, Memory: 9.05GiB / 503.5GiB
busy_fermat: CPU: 3197.50%, Memory: 9.05GiB / 503.5GiB
busy_fermat: CPU: 3197.87%, Memory: 9.049GiB / 503.5GiB
busy_fermat: CPU: 3190.34%, Memory: 9.049GiB / 503.5GiB
busy_fermat: CPU: 3197.76%, Memory: 9.049GiB / 503.5GiB
busy_fermat: CPU: 3187.31%, Memory: 9.049GiB / 503.5GiB
busy_fermat: CPU: 100.12%, Memory: 15.1GiB / 503.5GiB
cool_lewin: CPU: 100.35%, Memory: 1.163GiB / 503.5GiB
cool_lewin: CPU: 100.30%, Memory: 3.935GiB / 503.5GiB
cool_lewin: CPU: 99.72%, Memory: 3.288GiB / 503.5GiB
cool_lewin: CPU: 100.12%, Memory: 3.839GiB / 503.5GiB
cool_lewin: CPU: 100.05%, Memory: 8.315GiB / 503.5GiB
cool_lewin: CPU: 3196.77%, Memory: 9.049GiB / 503.5GiB
cool_lewin: CPU: 3196.56%, Memory: 9.049GiB / 503.5GiB
cool_lewin: CPU: 3197.43%, Memory: 9.05GiB / 503.5GiB
cool_lewin: CPU: 3196.00%, Memory: 9.05GiB / 503.5GiB
cool_lewin: CPU: 3197.72%, Memory: 9.049GiB / 503.5GiB
cool_lewin: CPU: 3187.69%, Memory: 9.049GiB / 503.5GiB
cool_lewin: CPU: 3208.01%, Memory: 9.049GiB / 503.5GiB
cool_lewin: CPU: 3102.56%, Memory: 9.049GiB / 503.5GiB
cool_lewin: CPU: 99.80%, Memory: 12.03GiB / 503.5GiB
cool_lewin: CPU: 100.07%, Memory: 8.295GiB / 503.5GiB
cool_lewin: CPU: 3119.02%, Memory: 9.05GiB / 503.5GiB
cool_lewin: CPU: 3196.61%, Memory: 9.049GiB / 503.5GiB
cool_lewin: CPU: 3206.85%, Memory: 9.049GiB / 503.5GiB
cool_lewin: CPU: 3195.45%, Memory: 9.049GiB / 503.5GiB
cool_lewin: CPU: 3196.39%, Memory: 9.049GiB / 503.5GiB
cool_lewin: CPU: 2109.42%, Memory: 10.08GiB / 503.5GiB
cool_lewin: CPU: 99.69%, Memory: 15.42GiB / 503.5GiB
vibrant_payne: CPU: 100.46%, Memory: 1.192GiB / 503.5GiB
vibrant_payne: CPU: 99.84%, Memory: 3.955GiB / 503.5GiB
vibrant_payne: CPU: 99.74%, Memory: 3.345GiB / 503.5GiB
vibrant_payne: CPU: 100.11%, Memory: 3.892GiB / 503.5GiB
vibrant_payne: CPU: 99.96%, Memory: 8.414GiB / 503.5GiB
vibrant_payne: CPU: 3181.94%, Memory: 9.05GiB / 503.5GiB
vibrant_payne: CPU: 3088.22%, Memory: 9.049GiB / 503.5GiB
