affectionate_jepsen: CPU: 99.95%, Memory: 963.7MiB / 503.5GiB
affectionate_jepsen: CPU: 100.30%, Memory: 2.232GiB / 503.5GiB
affectionate_jepsen: CPU: 3206.14%, Memory: 2.279GiB / 503.5GiB
affectionate_jepsen: CPU: 3194.47%, Memory: 2.286GiB / 503.5GiB
affectionate_jepsen: CPU: 778.68%, Memory: 3.035GiB / 503.5GiB
affectionate_jepsen: CPU: 3210.94%, Memory: 3.036GiB / 503.5GiB
affectionate_jepsen: CPU: 3088.38%, Memory: 3.036GiB / 503.5GiB
affectionate_jepsen: CPU: 3087.68%, Memory: 3.036GiB / 503.5GiB
affectionate_jepsen: CPU: 3177.81%, Memory: 3.036GiB / 503.5GiB
affectionate_jepsen: CPU: 2917.52%, Memory: 3.091GiB / 503.5GiB
affectionate_jepsen: CPU: 2780.22%, Memory: 4.584GiB / 503.5GiB
affectionate_jepsen: CPU: 3163.19%, Memory: 4.584GiB / 503.5GiB
affectionate_jepsen: CPU: 2161.30%, Memory: 3.208GiB / 503.5GiB
flamboyant_mcclintock: CPU: 102.61%, Memory: 1.289GiB / 503.5GiB
flamboyant_mcclintock: CPU: 3199.30%, Memory: 2.277GiB / 503.5GiB
flamboyant_mcclintock: CPU: 3189.18%, Memory: 2.279GiB / 503.5GiB
flamboyant_mcclintock: CPU: 1461.18%, Memory: 1.674GiB / 503.5GiB
flamboyant_mcclintock: CPU: 3186.23%, Memory: 3.036GiB / 503.5GiB
flamboyant_mcclintock: CPU: 3187.98%, Memory: 3.036GiB / 503.5GiB
flamboyant_mcclintock: CPU: 3065.87%, Memory: 3.036GiB / 503.5GiB
flamboyant_mcclintock: CPU: 1439.00%, Memory: 3.782GiB / 503.5GiB
flamboyant_mcclintock: CPU: 3080.70%, Memory: 3.09GiB / 503.5GiB
flamboyant_mcclintock: CPU: 3154.06%, Memory: 4.584GiB / 503.5GiB
flamboyant_mcclintock: CPU: 1436.59%, Memory: 5.22GiB / 503.5GiB
compassionate_burnell: CPU: 100.05%, Memory: 1.407GiB / 503.5GiB
compassionate_burnell: CPU: 3198.79%, Memory: 2.278GiB / 503.5GiB
compassionate_burnell: CPU: 3189.17%, Memory: 2.281GiB / 503.5GiB
compassionate_burnell: CPU: 863.07%, Memory: 1.948GiB / 503.5GiB
compassionate_burnell: CPU: 3185.06%, Memory: 3.036GiB / 503.5GiB
compassionate_burnell: CPU: 3196.59%, Memory: 3.036GiB / 503.5GiB
compassionate_burnell: CPU: 461.85%, Memory: 2.533GiB / 503.5GiB
compassionate_burnell: CPU: 469.41%, Memory: 4.585GiB / 503.5GiB
compassionate_burnell: CPU: 3099.48%, Memory: 4.584GiB / 503.5GiB
compassionate_burnell: CPU: 3077.89%, Memory: 4.584GiB / 503.5GiB
compassionate_burnell: CPU: 3140.56%, Memory: 2.305GiB / 503.5GiB
vigilant_ritchie: CPU: 202.57%, Memory: 1.21GiB / 503.5GiB
vigilant_ritchie: CPU: 3179.81%, Memory: 2.278GiB / 503.5GiB
vigilant_ritchie: CPU: 3194.91%, Memory: 2.279GiB / 503.5GiB
