elegant_villani: CPU: 100.09%, Memory: 1.863GiB / 503.5GiB
elegant_villani: CPU: 100.24%, Memory: 3.79GiB / 503.5GiB
elegant_villani: CPU: 100.08%, Memory: 3.1GiB / 503.5GiB
elegant_villani: CPU: 100.15%, Memory: 4.766GiB / 503.5GiB
elegant_villani: CPU: 100.15%, Memory: 8.792GiB / 503.5GiB
elegant_villani: CPU: 3172.09%, Memory: 9.003GiB / 503.5GiB
elegant_villani: CPU: 3165.06%, Memory: 9.004GiB / 503.5GiB
elegant_villani: CPU: 3209.13%, Memory: 9.003GiB / 503.5GiB
elegant_villani: CPU: 3060.02%, Memory: 9.003GiB / 503.5GiB
elegant_villani: CPU: 3099.14%, Memory: 9.003GiB / 503.5GiB
elegant_villani: CPU: 3153.64%, Memory: 9.005GiB / 503.5GiB
elegant_villani: CPU: 3196.24%, Memory: 9.006GiB / 503.5GiB
elegant_villani: CPU: 3196.22%, Memory: 9.008GiB / 503.5GiB
elegant_villani: CPU: 3188.05%, Memory: 9.009GiB / 503.5GiB
elegant_villani: CPU: 3205.92%, Memory: 9.01GiB / 503.5GiB
elegant_villani: CPU: 3195.00%, Memory: 9.012GiB / 503.5GiB
elegant_villani: CPU: 3206.90%, Memory: 9.014GiB / 503.5GiB
elegant_villani: CPU: 3196.68%, Memory: 9.016GiB / 503.5GiB
elegant_villani: CPU: 3199.68%, Memory: 9.018GiB / 503.5GiB
elegant_villani: CPU: 3199.57%, Memory: 9.023GiB / 503.5GiB
elegant_villani: CPU: 100.15%, Memory: 9.026GiB / 503.5GiB
elegant_villani: CPU: 99.87%, Memory: 9.026GiB / 503.5GiB
elegant_villani: CPU: 100.15%, Memory: 8.143GiB / 503.5GiB
elegant_villani: CPU: 100.11%, Memory: 11.27GiB / 503.5GiB
elegant_villani: CPU: 3196.65%, Memory: 12.01GiB / 503.5GiB
elegant_villani: CPU: 3196.18%, Memory: 12.01GiB / 503.5GiB
elegant_villani: CPU: 3200.02%, Memory: 12.01GiB / 503.5GiB
elegant_villani: CPU: 3193.66%, Memory: 12.01GiB / 503.5GiB
elegant_villani: CPU: 3183.37%, Memory: 12.01GiB / 503.5GiB
elegant_villani: CPU: 3182.94%, Memory: 12.01GiB / 503.5GiB
elegant_villani: CPU: 3197.06%, Memory: 12.01GiB / 503.5GiB
elegant_villani: CPU: 3196.79%, Memory: 12.01GiB / 503.5GiB
elegant_villani: CPU: 3205.73%, Memory: 12.01GiB / 503.5GiB
elegant_villani: CPU: 3088.63%, Memory: 12.01GiB / 503.5GiB
elegant_villani: CPU: 3200.81%, Memory: 12.01GiB / 503.5GiB
elegant_villani: CPU: 3097.43%, Memory: 12.01GiB / 503.5GiB
elegant_villani: CPU: 3196.34%, Memory: 12.01GiB / 503.5GiB
