Name,size,"time,sec","cpu,%","Mem,GB"
lapack_lu,10000,10.66801,3206.66,2.303
mkl_qr,10000,5.60343,1606.45,2.426
num_ch,10000,14.22907,3214.34,3.847
mkl_qr_clang,10000,5.62824,1606.5,2.427
mkl_lu_clang,10000,3.26018,1552.78,3.037
mkl_lu,10000,3.38426,1568.61,3.054
lapack_ch_clang,10000,3.57565,3207.0,2.31
mkl_ch_clang,10000,2.01119,1555.59,1.962
mkl_ch,10000,1.92012,1555.43,1.966
lapack_qr,10000,29.58468,3211.41,3.786
num_qr,10000,29.0143,3210.94,5.22
num_lu,10000,6.32316,3205.97,3.688
lapack_lu_clang,10000,10.91915,3213.12,2.303
lapack_ch,10000,3.53384,3209.69,2.31
lapack_qr_clang,10000,30.10397,3214.8,3.787
