Name,size,"time,sec","cpu,%","Mem,GB"
lapack_qr,1000,0.11758,0.0,0.0
lapack_qr_clang,1000,0.1132,0.0,0.0
mkl_qr_clang,1000,0.09449,0.0,0.0
num_ch,1000,0.09883,0.0,0.0
mkl_lu,1000,0.0763,0.0,0.0
mkl_ch_clang,1000,0.07479,0.0,0.0
mkl_lu_clang,1000,0.08558,0.0,0.0
mkl_qr,1000,0.08423,0.0,0.0
lapack_lu,1000,0.34517,3108.73,0.0
lapack_ch,1000,0.03622,0.0,0.0
mkl_ch,1000,0.08352,0.0,0.0
num_lu,1000,0.06596,0.0,0.0
num_qr,1000,0.08414,0.0,0.0
lapack_lu_clang,1000,0.05913,0.0,0.0
lapack_ch_clang,1000,0.0361,0.0,0.0
