Name,size,"time,sec","cpu,%","Mem,GB"
lapack_ch,100,0.01689,0.0,0.0
lapack_ch_clang,100,0.01047,0.0,0.0
lapack_lu_clang,100,0.02618,0.0,0.0
lapack_lu,100,0.02826,0.0,0.0
lapack_qr_clang,100,0.01547,0.0,0.0
mkl_ch,100,0.03764,0.0,0.0
lapack_qr,100,0.0125,0.0,0.0
mkl_ch_clang,100,0.06012,0.0,0.0
mkl_qr,100,0.05939,0.0,0.0
mkl_lu_clang,100,0.05182,0.0,0.0
num_ch,100,0.02419,0.0,0.0
mkl_qr_clang,100,0.05908,0.0,0.0
mkl_lu,100,0.04726,0.0,0.0
num_lu,100,0.02498,0.0,0.0
num_qr,100,0.02154,0.0,0.0
lapack_lu,500,0.05712,0.0,0.0
mkl_ch,500,0.04029,0.0,0.0
mkl_ch_clang,500,0.06833,0.0,0.0
lapack_qr_clang,500,0.03092,0.0,0.0
lapack_qr,500,0.03006,0.0,0.0
mkl_qr_clang,500,0.05674,0.0,0.0
mkl_lu_clang,500,0.08034,0.0,0.0
mkl_lu,500,0.05554,0.0,0.0
mkl_qr,500,0.05796,0.0,0.0
lapack_ch,500,0.0112,0.0,0.0
num_lu,500,0.04167,0.0,0.0
lapack_lu_clang,500,0.2563,3091.56,0.0
num_qr,500,0.06669,0.0,0.0
num_ch,500,0.03142,0.0,0.0
lapack_ch_clang,500,0.01154,0.0,0.0
lapack_qr,1000,0.11758,0.0,0.0
lapack_qr_clang,1000,0.1132,0.0,0.0
mkl_qr_clang,1000,0.09449,0.0,0.0
num_ch,1000,0.09883,0.0,0.0
mkl_lu,1000,0.0763,0.0,0.0
mkl_ch_clang,1000,0.07479,0.0,0.0
mkl_lu_clang,1000,0.08558,0.0,0.0
mkl_qr,1000,0.08423,0.0,0.0
lapack_lu,1000,0.34517,3108.73,0.0
lapack_ch,1000,0.03622,0.0,0.0
mkl_ch,1000,0.08352,0.0,0.0
num_lu,1000,0.06596,0.0,0.0
num_qr,1000,0.08414,0.0,0.0
lapack_lu_clang,1000,0.05913,0.0,0.0
lapack_ch_clang,1000,0.0361,0.0,0.0
lapack_lu,10000,12.2092,3211.96,2.303
mkl_qr,10000,6.32199,1607.04,2.427
num_ch,10000,15.7865,0.0,4.577
mkl_qr_clang,10000,6.30544,1609.29,2.425
mkl_lu_clang,10000,3.67044,1559.49,2.998
mkl_lu,10000,3.63132,1558.74,3.053
lapack_ch_clang,10000,3.87445,3205.4,2.31
mkl_ch_clang,10000,2.04738,1562.79,1.966
mkl_ch,10000,2.07708,1556.77,1.958
lapack_qr,10000,32.76214,3207.22,3.786
num_qr,10000,30.1947,0.0,4.574
num_lu,10000,7.04376,0.0,2.295
lapack_lu_clang,10000,12.42938,3207.74,2.303
lapack_ch,10000,3.90803,3188.2,2.311
lapack_qr_clang,10000,32.42137,3207.0,3.786
lapack_ch_clang,20000,24.26808,3210.28,9.069
lapack_ch,20000,24.33758,3209.83,9.069
lapack_lu_clang,20000,85.42307,3212.81,9.049
lapack_qr,20000,228.3609,3217.82,15.01
num_ch,20000,114.50891,0.0,18.09
mkl_qr_clang,20000,43.25415,1606.31,9.389
mkl_lu_clang,20000,24.68424,1607.23,9.535
mkl_qr,20000,43.14429,1608.54,9.385
mkl_ch_clang,20000,13.46661,1605.82,7.836
mkl_ch,20000,13.34454,1609.54,7.833
mkl_lu,20000,25.02412,1609.16,9.541
lapack_qr_clang,20000,229.50625,3224.11,15.02
lapack_lu,20000,84.54936,3219.0,9.049
num_lu,20000,51.94619,0.0,15.29
num_qr,20000,219.06848,0.0,21.07
