quizzical_lehmann: CPU: 590.61%, Memory: 1.497GiB / 251.5GiB
quizzical_lehmann: CPU: 1582.50%, Memory: 1.535GiB / 251.5GiB
quizzical_lehmann: CPU: 281.43%, Memory: 2.245GiB / 251.5GiB
sharp_williams: CPU: 1283.95%, Memory: 1.535GiB / 251.5GiB
sharp_williams: CPU: 1578.66%, Memory: 1.535GiB / 251.5GiB
boring_haibt: CPU: 889.03%, Memory: 1.535GiB / 251.5GiB
boring_haibt: CPU: 1580.55%, Memory: 1.535GiB / 251.5GiB
vigorous_wing: CPU: 451.58%, Memory: 1.497GiB / 251.5GiB
vigorous_wing: CPU: 1578.75%, Memory: 1.535GiB / 251.5GiB
bold_faraday: CPU: 1439.57%, Memory: 1.535GiB / 251.5GiB
bold_faraday: CPU: 1302.46%, Memory: 1.535GiB / 251.5GiB
bold_faraday: CPU: 1329.45%, Memory: 917.8MiB / 251.5GiB
gracious_pike: CPU: 355.59%, Memory: 1.497GiB / 251.5GiB
gracious_pike: CPU: 1579.37%, Memory: 1.535GiB / 251.5GiB
gracious_pike: CPU: 340.24%, Memory: 2.248GiB / 251.5GiB
focused_spence: CPU: 1263.41%, Memory: 1.535GiB / 251.5GiB
focused_spence: CPU: 1589.43%, Memory: 1.535GiB / 251.5GiB
festive_shockley: CPU: 660.26%, Memory: 1.497GiB / 251.5GiB
festive_shockley: CPU: 1587.26%, Memory: 1.535GiB / 251.5GiB
unruffled_kilby: CPU: 358.02%, Memory: 1.497GiB / 251.5GiB
unruffled_kilby: CPU: 1415.49%, Memory: 1.535GiB / 251.5GiB
unruffled_kilby: CPU: 1007.56%, Memory: 1.294GiB / 251.5GiB
wonderful_lumiere: CPU: 347.29%, Memory: 1.497GiB / 251.5GiB
wonderful_lumiere: CPU: 1489.79%, Memory: 1.535GiB / 251.5GiB
wonderful_lumiere: CPU: 1383.92%, Memory: 1.535GiB / 251.5GiB
