crazy_wilbur: CPU: 162.21%, Memory: 1.724GiB / 251.5GiB
crazy_wilbur: CPU: 158.79%, Memory: 5.976GiB / 251.5GiB
crazy_wilbur: CPU: 1552.15%, Memory: 6.043GiB / 251.5GiB
crazy_wilbur: CPU: 1578.10%, Memory: 6.042GiB / 251.5GiB
crazy_wilbur: CPU: 1575.94%, Memory: 6.042GiB / 251.5GiB
crazy_wilbur: CPU: 1586.52%, Memory: 6.042GiB / 251.5GiB
crazy_wilbur: CPU: 1585.33%, Memory: 6.042GiB / 251.5GiB
crazy_wilbur: CPU: 1556.81%, Memory: 6.042GiB / 251.5GiB
crazy_wilbur: CPU: 1522.43%, Memory: 6.042GiB / 251.5GiB
crazy_wilbur: CPU: 1437.07%, Memory: 6.042GiB / 251.5GiB
crazy_wilbur: CPU: 1498.17%, Memory: 6.042GiB / 251.5GiB
crazy_wilbur: CPU: 1560.91%, Memory: 6.042GiB / 251.5GiB
crazy_wilbur: CPU: 1379.76%, Memory: 6.042GiB / 251.5GiB
crazy_wilbur: CPU: 1518.43%, Memory: 6.042GiB / 251.5GiB
crazy_wilbur: CPU: 1587.30%, Memory: 6.042GiB / 251.5GiB
crazy_wilbur: CPU: 1580.67%, Memory: 6.042GiB / 251.5GiB
crazy_wilbur: CPU: 1574.27%, Memory: 6.042GiB / 251.5GiB
crazy_wilbur: CPU: 100.07%, Memory: 4.757GiB / 251.5GiB
crazy_wilbur: CPU: 100.07%, Memory: 6.936GiB / 251.5GiB
zealous_joliot: CPU: 100.29%, Memory: 2.461GiB / 251.5GiB
zealous_joliot: CPU: 729.74%, Memory: 5.976GiB / 251.5GiB
zealous_joliot: CPU: 1399.87%, Memory: 6.042GiB / 251.5GiB
zealous_joliot: CPU: 1417.33%, Memory: 6.042GiB / 251.5GiB
zealous_joliot: CPU: 1584.24%, Memory: 6.042GiB / 251.5GiB
zealous_joliot: CPU: 1571.42%, Memory: 6.042GiB / 251.5GiB
zealous_joliot: CPU: 1439.38%, Memory: 6.042GiB / 251.5GiB
zealous_joliot: CPU: 1391.19%, Memory: 6.042GiB / 251.5GiB
zealous_joliot: CPU: 1577.90%, Memory: 6.042GiB / 251.5GiB
zealous_joliot: CPU: 1574.86%, Memory: 6.042GiB / 251.5GiB
zealous_joliot: CPU: 1593.88%, Memory: 6.042GiB / 251.5GiB
zealous_joliot: CPU: 1587.52%, Memory: 6.042GiB / 251.5GiB
zealous_joliot: CPU: 1581.17%, Memory: 6.042GiB / 251.5GiB
zealous_joliot: CPU: 1429.96%, Memory: 6.042GiB / 251.5GiB
zealous_joliot: CPU: 1461.78%, Memory: 6.042GiB / 251.5GiB
zealous_joliot: CPU: 1390.90%, Memory: 6.042GiB / 251.5GiB
zealous_joliot: CPU: 1577.41%, Memory: 6.042GiB / 251.5GiB
zealous_joliot: CPU: 100.07%, Memory: 5.414GiB / 251.5GiB
trusting_gagarin: CPU: 100.05%, Memory: 3.093GiB / 251.5GiB
trusting_gagarin: CPU: 1128.73%, Memory: 5.976GiB / 251.5GiB
trusting_gagarin: CPU: 1578.03%, Memory: 6.042GiB / 251.5GiB
trusting_gagarin: CPU: 1586.64%, Memory: 6.042GiB / 251.5GiB
trusting_gagarin: CPU: 1591.34%, Memory: 6.042GiB / 251.5GiB
trusting_gagarin: CPU: 1581.88%, Memory: 6.042GiB / 251.5GiB
trusting_gagarin: CPU: 1560.94%, Memory: 6.042GiB / 251.5GiB
trusting_gagarin: CPU: 1582.51%, Memory: 6.042GiB / 251.5GiB
trusting_gagarin: CPU: 1404.31%, Memory: 6.042GiB / 251.5GiB
trusting_gagarin: CPU: 1582.96%, Memory: 6.042GiB / 251.5GiB
trusting_gagarin: CPU: 1580.60%, Memory: 6.042GiB / 251.5GiB
trusting_gagarin: CPU: 1575.42%, Memory: 6.042GiB / 251.5GiB
trusting_gagarin: CPU: 1587.75%, Memory: 6.042GiB / 251.5GiB
trusting_gagarin: CPU: 1590.10%, Memory: 6.042GiB / 251.5GiB
trusting_gagarin: CPU: 1376.27%, Memory: 6.042GiB / 251.5GiB
trusting_gagarin: CPU: 1425.70%, Memory: 6.042GiB / 251.5GiB
trusting_gagarin: CPU: 755.26%, Memory: 3.809GiB / 251.5GiB
trusting_gagarin: CPU: 99.91%, Memory: 8.079GiB / 251.5GiB
wonderful_hofstadter: CPU: 147.65%, Memory: 1.735GiB / 251.5GiB
wonderful_hofstadter: CPU: 137.77%, Memory: 5.976GiB / 251.5GiB
wonderful_hofstadter: CPU: 1429.23%, Memory: 6.043GiB / 251.5GiB
wonderful_hofstadter: CPU: 1408.11%, Memory: 6.042GiB / 251.5GiB
wonderful_hofstadter: CPU: 1573.61%, Memory: 6.042GiB / 251.5GiB
wonderful_hofstadter: CPU: 1583.85%, Memory: 6.042GiB / 251.5GiB
wonderful_hofstadter: CPU: 1594.25%, Memory: 6.042GiB / 251.5GiB
wonderful_hofstadter: CPU: 1580.46%, Memory: 6.042GiB / 251.5GiB
wonderful_hofstadter: CPU: 1574.06%, Memory: 6.042GiB / 251.5GiB
wonderful_hofstadter: CPU: 1476.85%, Memory: 6.042GiB / 251.5GiB
wonderful_hofstadter: CPU: 1374.97%, Memory: 6.042GiB / 251.5GiB
wonderful_hofstadter: CPU: 1565.36%, Memory: 6.042GiB / 251.5GiB
wonderful_hofstadter: CPU: 1578.36%, Memory: 6.042GiB / 251.5GiB
wonderful_hofstadter: CPU: 1534.27%, Memory: 6.042GiB / 251.5GiB
wonderful_hofstadter: CPU: 1408.82%, Memory: 6.042GiB / 251.5GiB
wonderful_hofstadter: CPU: 1407.42%, Memory: 6.042GiB / 251.5GiB
wonderful_hofstadter: CPU: 657.41%, Memory: 3.937GiB / 251.5GiB
wonderful_hofstadter: CPU: 100.01%, Memory: 8.26GiB / 251.5GiB
unruffled_moser: CPU: 156.34%, Memory: 1.68GiB / 251.5GiB
unruffled_moser: CPU: 100.04%, Memory: 5.891GiB / 251.5GiB
unruffled_moser: CPU: 1551.10%, Memory: 6.042GiB / 251.5GiB
unruffled_moser: CPU: 1583.93%, Memory: 6.042GiB / 251.5GiB
unruffled_moser: CPU: 1569.88%, Memory: 6.042GiB / 251.5GiB
unruffled_moser: CPU: 1391.16%, Memory: 6.042GiB / 251.5GiB
unruffled_moser: CPU: 1409.38%, Memory: 6.042GiB / 251.5GiB
unruffled_moser: CPU: 1449.33%, Memory: 6.042GiB / 251.5GiB
unruffled_moser: CPU: 1461.98%, Memory: 6.042GiB / 251.5GiB
unruffled_moser: CPU: 1422.14%, Memory: 6.042GiB / 251.5GiB
unruffled_moser: CPU: 1574.99%, Memory: 6.042GiB / 251.5GiB
unruffled_moser: CPU: 1585.14%, Memory: 6.042GiB / 251.5GiB
unruffled_moser: CPU: 1589.44%, Memory: 6.042GiB / 251.5GiB
unruffled_moser: CPU: 1583.01%, Memory: 6.042GiB / 251.5GiB
unruffled_moser: CPU: 1576.82%, Memory: 6.042GiB / 251.5GiB
unruffled_moser: CPU: 1579.25%, Memory: 6.042GiB / 251.5GiB
unruffled_moser: CPU: 1569.18%, Memory: 6.042GiB / 251.5GiB
unruffled_moser: CPU: 100.05%, Memory: 5.938GiB / 251.5GiB
flamboyant_kapitsa: CPU: 129.07%, Memory: 1.721GiB / 251.5GiB
flamboyant_kapitsa: CPU: 100.07%, Memory: 5.882GiB / 251.5GiB
flamboyant_kapitsa: CPU: 1344.26%, Memory: 6.042GiB / 251.5GiB
flamboyant_kapitsa: CPU: 1411.63%, Memory: 6.042GiB / 251.5GiB
flamboyant_kapitsa: CPU: 1583.64%, Memory: 6.042GiB / 251.5GiB
flamboyant_kapitsa: CPU: 1582.40%, Memory: 6.042GiB / 251.5GiB
flamboyant_kapitsa: CPU: 1540.91%, Memory: 6.042GiB / 251.5GiB
flamboyant_kapitsa: CPU: 1593.79%, Memory: 6.042GiB / 251.5GiB
flamboyant_kapitsa: CPU: 1586.89%, Memory: 6.042GiB / 251.5GiB
flamboyant_kapitsa: CPU: 1589.17%, Memory: 6.042GiB / 251.5GiB
flamboyant_kapitsa: CPU: 1587.44%, Memory: 6.042GiB / 251.5GiB
flamboyant_kapitsa: CPU: 1590.44%, Memory: 6.042GiB / 251.5GiB
flamboyant_kapitsa: CPU: 1532.98%, Memory: 6.042GiB / 251.5GiB
flamboyant_kapitsa: CPU: 1346.41%, Memory: 6.042GiB / 251.5GiB
flamboyant_kapitsa: CPU: 1311.60%, Memory: 6.042GiB / 251.5GiB
flamboyant_kapitsa: CPU: 1442.81%, Memory: 6.042GiB / 251.5GiB
flamboyant_kapitsa: CPU: 1591.09%, Memory: 6.042GiB / 251.5GiB
flamboyant_kapitsa: CPU: 99.98%, Memory: 6.237GiB / 251.5GiB
stoic_liskov: CPU: 100.23%, Memory: 2.095GiB / 251.5GiB
stoic_liskov: CPU: 436.79%, Memory: 5.976GiB / 251.5GiB
stoic_liskov: CPU: 1582.44%, Memory: 6.042GiB / 251.5GiB
stoic_liskov: CPU: 1591.98%, Memory: 6.042GiB / 251.5GiB
stoic_liskov: CPU: 1585.90%, Memory: 6.042GiB / 251.5GiB
stoic_liskov: CPU: 1581.56%, Memory: 6.042GiB / 251.5GiB
stoic_liskov: CPU: 1575.96%, Memory: 6.042GiB / 251.5GiB
stoic_liskov: CPU: 1447.35%, Memory: 6.042GiB / 251.5GiB
