nice_aryabhata: CPU: 112.80%, Memory: 193.4MiB / 251.5GiB
nice_aryabhata: CPU: 100.71%, Memory: 193.4MiB / 251.5GiB
vigorous_einstein: CPU: 120.23%, Memory: 193.4MiB / 251.5GiB
vigorous_einstein: CPU: 101.46%, Memory: 357.4MiB / 251.5GiB
goofy_nightingale: CPU: 158.69%, Memory: 193.5MiB / 251.5GiB
goofy_nightingale: CPU: 101.28%, Memory: 270.4MiB / 251.5GiB
gifted_leavitt: CPU: 156.31%, Memory: 193.5MiB / 251.5GiB
gifted_leavitt: CPU: 100.69%, Memory: 324.5MiB / 251.5GiB
nostalgic_bouman: CPU: 130.45%, Memory: 193.7MiB / 251.5GiB
nostalgic_bouman: CPU: 100.96%, Memory: 393.4MiB / 251.5GiB
frosty_saha: CPU: 145.22%, Memory: 193.4MiB / 251.5GiB
frosty_saha: CPU: 100.18%, Memory: 387.4MiB / 251.5GiB
eloquent_hypatia1: CPU: 160.46%, Memory: 193.6MiB / 251.5GiB
eloquent_hypatia1: CPU: 99.56%, Memory: 384.7MiB / 251.5GiB
reverent_cannon: CPU: 150.66%, Memory: 193.7MiB / 251.5GiB
reverent_cannon: CPU: 100.77%, Memory: 366.4MiB / 251.5GiB
exciting_chandrasekhar: CPU: 151.24%, Memory: 193.4MiB / 251.5GiB
exciting_chandrasekhar: CPU: 99.68%, Memory: 193.4MiB / 251.5GiB
inspiring_boyd: CPU: 170.39%, Memory: 193.6MiB / 251.5GiB
inspiring_boyd: CPU: 101.03%, Memory: 290.1MiB / 251.5GiB
vigilant_kilby: CPU: 100.14%, Memory: 193.5MiB / 251.5GiB
fervent_liskov: CPU: 100.14%, Memory: 193.5MiB / 251.5GiB
hungry_ritchie: CPU: 117.87%, Memory: 193.6MiB / 251.5GiB
blissful_kalam: CPU: 149.69%, Memory: 193.6MiB / 251.5GiB
keen_dhawan: CPU: 149.09%, Memory: 193.6MiB / 251.5GiB
interesting_johnson: CPU: 100.39%, Memory: 193.6MiB / 251.5GiB
jovial_zhukovsky: CPU: 139.57%, Memory: 193.7MiB / 251.5GiB
sleepy_darwin: CPU: 122.16%, Memory: 193.6MiB / 251.5GiB
peaceful_lovelace: CPU: 136.99%, Memory: 193.6MiB / 251.5GiB
nostalgic_gauss: CPU: 160.19%, Memory: 193.5MiB / 251.5GiB
flamboyant_mendel: CPU: 101.18%, Memory: 193.5MiB / 251.5GiB
