romantic_volhard: CPU: 100.90%, Memory: 17.72MiB / 251.5GiB
suspicious_buck: CPU: 102.34%, Memory: 17.62MiB / 251.5GiB
suspicious_buck: CPU: 101.00%, Memory: 17.62MiB / 251.5GiB
suspicious_buck: CPU: 100.50%, Memory: 17.62MiB / 251.5GiB
suspicious_buck: CPU: 101.71%, Memory: 17.62MiB / 251.5GiB
quirky_pare: CPU: 99.87%, Memory: 17.63MiB / 251.5GiB
quirky_pare: CPU: 101.47%, Memory: 17.63MiB / 251.5GiB
quirky_pare: CPU: 100.08%, Memory: 17.63MiB / 251.5GiB
quirky_pare: CPU: 100.63%, Memory: 17.63MiB / 251.5GiB
trusting_wescoff: CPU: 144.45%, Memory: 17.73MiB / 251.5GiB
trusting_wescoff: CPU: 99.68%, Memory: 17.63MiB / 251.5GiB
trusting_wescoff: CPU: 100.18%, Memory: 17.63MiB / 251.5GiB
trusting_wescoff: CPU: 99.87%, Memory: 17.63MiB / 251.5GiB
loving_murdock: CPU: 144.38%, Memory: 17.62MiB / 251.5GiB
loving_murdock: CPU: 99.25%, Memory: 17.62MiB / 251.5GiB
loving_murdock: CPU: 100.49%, Memory: 17.62MiB / 251.5GiB
loving_murdock: CPU: 101.11%, Memory: 17.62MiB / 251.5GiB
adoring_ptolemy: CPU: 129.80%, Memory: 17.68MiB / 251.5GiB
adoring_ptolemy: CPU: 101.22%, Memory: 17.67MiB / 251.5GiB
adoring_ptolemy: CPU: 98.64%, Memory: 17.67MiB / 251.5GiB
adoring_ptolemy: CPU: 100.06%, Memory: 17.67MiB / 251.5GiB
tender_merkle: CPU: 145.77%, Memory: 17.72MiB / 251.5GiB
tender_merkle: CPU: 100.43%, Memory: 17.62MiB / 251.5GiB
tender_merkle: CPU: 101.65%, Memory: 17.62MiB / 251.5GiB
tender_merkle: CPU: 100.37%, Memory: 17.62MiB / 251.5GiB
amazing_benz: CPU: 164.55%, Memory: 17.74MiB / 251.5GiB
amazing_benz: CPU: 101.86%, Memory: 17.62MiB / 251.5GiB
amazing_benz: CPU: 100.69%, Memory: 17.62MiB / 251.5GiB
amazing_benz: CPU: 100.00%, Memory: 17.62MiB / 251.5GiB
pensive_villani1: CPU: 154.89%, Memory: 17.79MiB / 251.5GiB
pensive_villani1: CPU: 100.20%, Memory: 17.77MiB / 251.5GiB
pensive_villani1: CPU: 100.37%, Memory: 17.77MiB / 251.5GiB
pensive_villani1: CPU: 99.87%, Memory: 17.68MiB / 251.5GiB
suspicious_cori1: CPU: 152.69%, Memory: 17.71MiB / 251.5GiB
suspicious_cori1: CPU: 100.50%, Memory: 17.62MiB / 251.5GiB
suspicious_cori1: CPU: 99.44%, Memory: 17.62MiB / 251.5GiB
suspicious_cori1: CPU: 101.20%, Memory: 17.62MiB / 251.5GiB
musing_solomon: CPU: 161.83%, Memory: 17.72MiB / 251.5GiB
musing_solomon: CPU: 101.13%, Memory: 17.72MiB / 251.5GiB
musing_solomon: CPU: 100.27%, Memory: 17.72MiB / 251.5GiB
musing_solomon: CPU: 101.84%, Memory: 17.72MiB / 251.5GiB
