vibrant_blackburn: CPU: 101.22%, Memory: 1.903GiB / 251.5GiB
vibrant_blackburn: CPU: 99.37%, Memory: 5.975GiB / 251.5GiB
vibrant_blackburn: CPU: 100.00%, Memory: 5.975GiB / 251.5GiB
vibrant_blackburn: CPU: 99.50%, Memory: 5.974GiB / 251.5GiB
vibrant_blackburn: CPU: 100.37%, Memory: 5.974GiB / 251.5GiB
vibrant_blackburn: CPU: 99.62%, Memory: 5.974GiB / 251.5GiB
vibrant_blackburn: CPU: 100.24%, Memory: 5.974GiB / 251.5GiB
vibrant_blackburn: CPU: 99.99%, Memory: 5.974GiB / 251.5GiB
vibrant_blackburn: CPU: 100.88%, Memory: 5.974GiB / 251.5GiB
vibrant_blackburn: CPU: 100.24%, Memory: 5.974GiB / 251.5GiB
vibrant_blackburn: CPU: 100.63%, Memory: 5.974GiB / 251.5GiB
vibrant_blackburn: CPU: 100.81%, Memory: 5.974GiB / 251.5GiB
vibrant_blackburn: CPU: 101.09%, Memory: 5.974GiB / 251.5GiB
vibrant_blackburn: CPU: 100.84%, Memory: 5.974GiB / 251.5GiB
vibrant_blackburn: CPU: 100.31%, Memory: 5.974GiB / 251.5GiB
vibrant_blackburn: CPU: 101.58%, Memory: 5.974GiB / 251.5GiB
vibrant_blackburn: CPU: 100.46%, Memory: 5.974GiB / 251.5GiB
vibrant_blackburn: CPU: 100.62%, Memory: 5.974GiB / 251.5GiB
vibrant_blackburn: CPU: 101.91%, Memory: 5.974GiB / 251.5GiB
vibrant_blackburn: CPU: 99.90%, Memory: 5.974GiB / 251.5GiB
vibrant_blackburn: CPU: 98.64%, Memory: 5.974GiB / 251.5GiB
vibrant_blackburn: CPU: 99.50%, Memory: 5.974GiB / 251.5GiB
vibrant_blackburn: CPU: 100.31%, Memory: 5.974GiB / 251.5GiB
vibrant_blackburn: CPU: 99.93%, Memory: 5.974GiB / 251.5GiB
vibrant_blackburn: CPU: 100.39%, Memory: 5.974GiB / 251.5GiB
vibrant_blackburn: CPU: 1451.08%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1319.26%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1388.97%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1469.19%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1243.46%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1179.61%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1245.64%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1285.24%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1436.36%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1478.23%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1445.25%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1343.90%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1301.70%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1444.03%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1449.47%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1424.51%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1451.75%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1477.58%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1285.56%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1173.01%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1306.69%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1381.15%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1388.14%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1362.51%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1448.82%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1240.48%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1230.60%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1457.01%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1479.85%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1513.82%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1467.37%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1502.24%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1361.85%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1458.47%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1428.68%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1453.93%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1473.11%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1404.23%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1425.47%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1345.42%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1400.18%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1450.02%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1435.58%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1421.36%, Memory: 5.976GiB / 251.5GiB
vibrant_blackburn: CPU: 1459.49%, Memory: 5.976GiB / 251.5GiB
