cool_swirles: CPU: 156.22%, Memory: 193.4MiB / 251.5GiB
cool_swirles: CPU: 100.75%, Memory: 337.9MiB / 251.5GiB
cool_swirles: CPU: 99.87%, Memory: 384.6MiB / 251.5GiB
cool_swirles: CPU: 100.63%, Memory: 384.6MiB / 251.5GiB
cool_swirles: CPU: 101.15%, Memory: 384.6MiB / 251.5GiB
cool_swirles: CPU: 101.77%, Memory: 384.6MiB / 251.5GiB
pensive_albattani: CPU: 100.21%, Memory: 384.6MiB / 251.5GiB
pensive_albattani: CPU: 226.89%, Memory: 386.1MiB / 251.5GiB
pensive_albattani: CPU: 1559.60%, Memory: 386MiB / 251.5GiB
pensive_albattani: CPU: 1539.09%, Memory: 386MiB / 251.5GiB
pensive_albattani: CPU: 1546.58%, Memory: 386MiB / 251.5GiB
pensive_albattani: CPU: 1504.80%, Memory: 386MiB / 251.5GiB
pensive_albattani: CPU: 1568.21%, Memory: 386MiB / 251.5GiB
pensive_albattani: CPU: 1553.97%, Memory: 386MiB / 251.5GiB
pensive_albattani: CPU: 1534.44%, Memory: 386MiB / 251.5GiB
pensive_albattani: CPU: 1570.35%, Memory: 386MiB / 251.5GiB
pensive_albattani: CPU: 1554.07%, Memory: 386MiB / 251.5GiB
pensive_albattani: CPU: 1517.20%, Memory: 386MiB / 251.5GiB
pensive_albattani: CPU: 1560.02%, Memory: 386MiB / 251.5GiB
pensive_albattani: CPU: 1574.91%, Memory: 386MiB / 251.5GiB
pensive_albattani: CPU: 1574.67%, Memory: 386MiB / 251.5GiB
pensive_albattani: CPU: 1556.62%, Memory: 386MiB / 251.5GiB
pensive_albattani: CPU: 1575.80%, Memory: 386MiB / 251.5GiB
pensive_albattani: CPU: 1577.13%, Memory: 386MiB / 251.5GiB
pensive_albattani: CPU: 1576.53%, Memory: 386MiB / 251.5GiB
pensive_albattani: CPU: 1548.11%, Memory: 386MiB / 251.5GiB
pensive_albattani: CPU: 1551.22%, Memory: 386MiB / 251.5GiB
pensive_albattani: CPU: 1549.27%, Memory: 386MiB / 251.5GiB
pensive_albattani: CPU: 1510.34%, Memory: 386MiB / 251.5GiB
pensive_albattani: CPU: 1512.11%, Memory: 386MiB / 251.5GiB
pensive_albattani: CPU: 1577.48%, Memory: 386MiB / 251.5GiB
pensive_albattani: CPU: 1502.59%, Memory: 386MiB / 251.5GiB
pensive_albattani: CPU: 1554.85%, Memory: 386MiB / 251.5GiB
pensive_albattani: CPU: 1537.60%, Memory: 386MiB / 251.5GiB
pensive_albattani: CPU: 1577.28%, Memory: 386MiB / 251.5GiB
pensive_albattani: CPU: 1580.78%, Memory: 386MiB / 251.5GiB
