naughty_greider: CPU: 142.77%, Memory: 767MiB / 251.5GiB
naughty_greider: CPU: 99.75%, Memory: 766.8MiB / 251.5GiB
naughty_greider: CPU: 100.02%, Memory: 766.8MiB / 251.5GiB
naughty_greider: CPU: 100.15%, Memory: 1.495GiB / 251.5GiB
naughty_greider: CPU: 99.62%, Memory: 1.495GiB / 251.5GiB
naughty_greider: CPU: 1168.40%, Memory: 2.28GiB / 251.5GiB
naughty_greider: CPU: 1595.98%, Memory: 2.279GiB / 251.5GiB
dazzling_cori: CPU: 150.39%, Memory: 767MiB / 251.5GiB
dazzling_cori: CPU: 99.74%, Memory: 767MiB / 251.5GiB
dazzling_cori: CPU: 99.96%, Memory: 766.8MiB / 251.5GiB
dazzling_cori: CPU: 99.50%, Memory: 1.495GiB / 251.5GiB
dazzling_cori: CPU: 99.37%, Memory: 1.495GiB / 251.5GiB
dazzling_cori: CPU: 1223.15%, Memory: 2.28GiB / 251.5GiB
dazzling_cori: CPU: 1585.71%, Memory: 2.279GiB / 251.5GiB
brave_ritchie: CPU: 139.61%, Memory: 766.9MiB / 251.5GiB
brave_ritchie: CPU: 100.15%, Memory: 766.9MiB / 251.5GiB
brave_ritchie: CPU: 99.96%, Memory: 766.9MiB / 251.5GiB
brave_ritchie: CPU: 99.56%, Memory: 1.495GiB / 251.5GiB
brave_ritchie: CPU: 99.90%, Memory: 1.495GiB / 251.5GiB
brave_ritchie: CPU: 1041.07%, Memory: 2.28GiB / 251.5GiB
brave_ritchie: CPU: 1587.43%, Memory: 2.279GiB / 251.5GiB
optimistic_dubinsky: CPU: 152.78%, Memory: 766.9MiB / 251.5GiB
optimistic_dubinsky: CPU: 100.02%, Memory: 766.9MiB / 251.5GiB
optimistic_dubinsky: CPU: 99.75%, Memory: 766.9MiB / 251.5GiB
optimistic_dubinsky: CPU: 99.56%, Memory: 1.495GiB / 251.5GiB
optimistic_dubinsky: CPU: 100.02%, Memory: 1.495GiB / 251.5GiB
optimistic_dubinsky: CPU: 1265.14%, Memory: 2.28GiB / 251.5GiB
optimistic_dubinsky: CPU: 1577.45%, Memory: 2.28GiB / 251.5GiB
suspicious_sutherland: CPU: 141.91%, Memory: 766.8MiB / 251.5GiB
suspicious_sutherland: CPU: 99.87%, Memory: 766.8MiB / 251.5GiB
suspicious_sutherland: CPU: 99.81%, Memory: 766.8MiB / 251.5GiB
suspicious_sutherland: CPU: 99.72%, Memory: 1.495GiB / 251.5GiB
suspicious_sutherland: CPU: 99.94%, Memory: 1.495GiB / 251.5GiB
suspicious_sutherland: CPU: 1149.78%, Memory: 2.28GiB / 251.5GiB
suspicious_sutherland: CPU: 1597.48%, Memory: 2.279GiB / 251.5GiB
elastic_swartz: CPU: 99.72%, Memory: 766.9MiB / 251.5GiB
elastic_swartz: CPU: 99.87%, Memory: 766.9MiB / 251.5GiB
elastic_swartz: CPU: 99.75%, Memory: 766.8MiB / 251.5GiB
elastic_swartz: CPU: 99.41%, Memory: 1.495GiB / 251.5GiB
elastic_swartz: CPU: 100.18%, Memory: 1.495GiB / 251.5GiB
elastic_swartz: CPU: 1392.51%, Memory: 2.28GiB / 251.5GiB
elastic_swartz: CPU: 1595.40%, Memory: 2.279GiB / 251.5GiB
amazing_babbage: CPU: 99.96%, Memory: 766.8MiB / 251.5GiB
amazing_babbage: CPU: 99.96%, Memory: 766.8MiB / 251.5GiB
amazing_babbage: CPU: 99.81%, Memory: 918.8MiB / 251.5GiB
amazing_babbage: CPU: 99.62%, Memory: 1.495GiB / 251.5GiB
amazing_babbage: CPU: 99.90%, Memory: 1.495GiB / 251.5GiB
amazing_babbage: CPU: 1583.66%, Memory: 2.28GiB / 251.5GiB
charming_wu: CPU: 169.84%, Memory: 766.9MiB / 251.5GiB
charming_wu: CPU: 99.71%, Memory: 766.9MiB / 251.5GiB
charming_wu: CPU: 99.81%, Memory: 766.9MiB / 251.5GiB
charming_wu: CPU: 99.77%, Memory: 1.496GiB / 251.5GiB
charming_wu: CPU: 99.62%, Memory: 1.496GiB / 251.5GiB
charming_wu: CPU: 1274.29%, Memory: 2.28GiB / 251.5GiB
charming_wu: CPU: 1581.79%, Memory: 2.279GiB / 251.5GiB
loving_nightingale: CPU: 136.53%, Memory: 766.9MiB / 251.5GiB
loving_nightingale: CPU: 99.62%, Memory: 766.9MiB / 251.5GiB
loving_nightingale: CPU: 100.02%, Memory: 766.9MiB / 251.5GiB
loving_nightingale: CPU: 99.90%, Memory: 1.496GiB / 251.5GiB
loving_nightingale: CPU: 100.08%, Memory: 1.496GiB / 251.5GiB
loving_nightingale: CPU: 1195.93%, Memory: 2.28GiB / 251.5GiB
loving_nightingale: CPU: 1598.82%, Memory: 2.279GiB / 251.5GiB
vigorous_heyrovsky: CPU: 99.56%, Memory: 766.9MiB / 251.5GiB
vigorous_heyrovsky: CPU: 99.75%, Memory: 766.8MiB / 251.5GiB
vigorous_heyrovsky: CPU: 100.14%, Memory: 766.8MiB / 251.5GiB
vigorous_heyrovsky: CPU: 99.68%, Memory: 1.495GiB / 251.5GiB
vigorous_heyrovsky: CPU: 99.44%, Memory: 1.495GiB / 251.5GiB
vigorous_heyrovsky: CPU: 1423.93%, Memory: 2.28GiB / 251.5GiB
vigorous_heyrovsky: CPU: 1586.77%, Memory: 2.279GiB / 251.5GiB
