upbeat_haslett: CPU: 159.84%, Memory: 1.74GiB / 251.5GiB
upbeat_haslett: CPU: 99.93%, Memory: 2.988GiB / 251.5GiB
upbeat_haslett: CPU: 100.54%, Memory: 2.988GiB / 251.5GiB
upbeat_haslett: CPU: 101.54%, Memory: 2.988GiB / 251.5GiB
upbeat_haslett: CPU: 100.25%, Memory: 2.988GiB / 251.5GiB
upbeat_haslett: CPU: 100.02%, Memory: 2.988GiB / 251.5GiB
upbeat_haslett: CPU: 100.65%, Memory: 2.988GiB / 251.5GiB
upbeat_haslett: CPU: 100.37%, Memory: 2.988GiB / 251.5GiB
upbeat_haslett: CPU: 100.28%, Memory: 2.988GiB / 251.5GiB
upbeat_haslett: CPU: 100.22%, Memory: 2.988GiB / 251.5GiB
upbeat_haslett: CPU: 100.00%, Memory: 2.988GiB / 251.5GiB
upbeat_haslett: CPU: 100.47%, Memory: 2.988GiB / 251.5GiB
upbeat_haslett: CPU: 100.41%, Memory: 2.988GiB / 251.5GiB
upbeat_haslett: CPU: 101.99%, Memory: 2.988GiB / 251.5GiB
upbeat_haslett: CPU: 99.25%, Memory: 2.988GiB / 251.5GiB
upbeat_haslett: CPU: 98.46%, Memory: 2.988GiB / 251.5GiB
upbeat_haslett: CPU: 101.14%, Memory: 2.988GiB / 251.5GiB
upbeat_haslett: CPU: 101.39%, Memory: 2.988GiB / 251.5GiB
upbeat_haslett: CPU: 100.37%, Memory: 2.988GiB / 251.5GiB
upbeat_haslett: CPU: 100.56%, Memory: 2.988GiB / 251.5GiB
upbeat_haslett: CPU: 100.44%, Memory: 2.988GiB / 251.5GiB
upbeat_haslett: CPU: 100.90%, Memory: 2.988GiB / 251.5GiB
upbeat_haslett: CPU: 101.41%, Memory: 2.988GiB / 251.5GiB
upbeat_haslett: CPU: 100.56%, Memory: 5.246GiB / 251.5GiB
upbeat_haslett: CPU: 100.35%, Memory: 5.974GiB / 251.5GiB
upbeat_haslett: CPU: 100.81%, Memory: 5.974GiB / 251.5GiB
upbeat_haslett: CPU: 100.82%, Memory: 5.974GiB / 251.5GiB
upbeat_haslett: CPU: 100.56%, Memory: 5.974GiB / 251.5GiB
upbeat_haslett: CPU: 101.52%, Memory: 5.974GiB / 251.5GiB
upbeat_haslett: CPU: 100.49%, Memory: 5.974GiB / 251.5GiB
upbeat_haslett: CPU: 101.58%, Memory: 5.974GiB / 251.5GiB
upbeat_haslett: CPU: 101.43%, Memory: 5.974GiB / 251.5GiB
upbeat_haslett: CPU: 100.43%, Memory: 5.974GiB / 251.5GiB
upbeat_haslett: CPU: 99.87%, Memory: 5.974GiB / 251.5GiB
