dazzling_keldysh: CPU: 105.57%, Memory: 193.6MiB / 251.5GiB
dazzling_keldysh: CPU: 681.13%, Memory: 598.8MiB / 251.5GiB
goofy_galileo: CPU: 99.96%, Memory: 201.7MiB / 251.5GiB
romantic_jang: CPU: 163.99%, Memory: 193.6MiB / 251.5GiB
romantic_jang: CPU: 733.64%, Memory: 169.9MiB / 251.5GiB
boring_keller: CPU: 99.96%, Memory: 299.5MiB / 251.5GiB
upbeat_dhawan: CPU: 109.76%, Memory: 193.5MiB / 251.5GiB
upbeat_dhawan: CPU: 776.27%, Memory: 580KiB / 251.5GiB
jolly_mcclintock: CPU: 100.00%, Memory: 309.3MiB / 251.5GiB
fervent_mahavira: CPU: 166.31%, Memory: 193.5MiB / 251.5GiB
fervent_mahavira: CPU: 736.94%, Memory: 438.8MiB / 251.5GiB
wonderful_bouman: CPU: 100.00%, Memory: 193.6MiB / 251.5GiB
loving_bhabha: CPU: 148.15%, Memory: 193.5MiB / 251.5GiB
loving_bhabha: CPU: 738.74%, Memory: 598.1MiB / 251.5GiB
elastic_johnson: CPU: 99.44%, Memory: 193.5MiB / 251.5GiB
