cool_herschel: CPU: 0.00%, Memory: 0B / 0B
quizzical_mcnulty: CPU: 0.00%, Memory: 0B / 0B
gifted_hermann: CPU: 0.00%, Memory: 0B / 0B
magical_maxwell: CPU: 0.00%, Memory: 0B / 0B
wonderful_yonath: CPU: 0.00%, Memory: 0B / 0B
flamboyant_varahamihira: CPU: 0.00%, Memory: 0B / 0B
cool_wilbur: CPU: 0.00%, Memory: 0B / 0B
relaxed_hermann: CPU: 0.00%, Memory: 0B / 0B
quizzical_payne: CPU: 0.00%, Memory: 0B / 0B
objective_darwin: CPU: 0.00%, Memory: 0B / 0B
nervous_davinci: CPU: 0.00%, Memory: 0B / 0B
sharp_wing: CPU: 0.00%, Memory: 0B / 0B
happy_shtern: CPU: 0.00%, Memory: 0B / 0B
dreamy_taussig: CPU: 0.00%, Memory: 0B / 0B
youthful_kirch6: CPU: 0.00%, Memory: 0B / 0B
vibrant_bose: CPU: 0.00%, Memory: 0B / 0B
