cool_shtern: CPU: 280.89%, Memory: 19.59MiB / 251.5GiB
cool_shtern: CPU: 101.75%, Memory: 27MiB / 251.5GiB
cool_shtern: CPU: 100.18%, Memory: 27MiB / 251.5GiB
cool_shtern: CPU: 99.81%, Memory: 27MiB / 251.5GiB
thirsty_thompson: CPU: 101.44%, Memory: 19.83MiB / 251.5GiB
thirsty_thompson: CPU: 99.62%, Memory: 27.16MiB / 251.5GiB
thirsty_thompson: CPU: 100.50%, Memory: 27.05MiB / 251.5GiB
thirsty_thompson: CPU: 101.58%, Memory: 27.05MiB / 251.5GiB
wonderful_archimedes: CPU: 261.95%, Memory: 19.5MiB / 251.5GiB
wonderful_archimedes: CPU: 101.32%, Memory: 27.11MiB / 251.5GiB
wonderful_archimedes: CPU: 101.48%, Memory: 27MiB / 251.5GiB
wonderful_archimedes: CPU: 99.44%, Memory: 27MiB / 251.5GiB
clever_hofstadter: CPU: 322.58%, Memory: 19.5MiB / 251.5GiB
clever_hofstadter: CPU: 102.18%, Memory: 27.01MiB / 251.5GiB
clever_hofstadter: CPU: 100.33%, Memory: 27.01MiB / 251.5GiB
clever_hofstadter: CPU: 101.22%, Memory: 27.01MiB / 251.5GiB
nifty_dirac: CPU: 307.88%, Memory: 19.75MiB / 251.5GiB
nifty_dirac: CPU: 99.19%, Memory: 27.11MiB / 251.5GiB
nifty_dirac: CPU: 100.56%, Memory: 27.01MiB / 251.5GiB
nifty_dirac: CPU: 100.03%, Memory: 27.01MiB / 251.5GiB
nervous_satoshi: CPU: 293.50%, Memory: 19.36MiB / 251.5GiB
nervous_satoshi: CPU: 100.90%, Memory: 27.01MiB / 251.5GiB
nervous_satoshi: CPU: 100.84%, Memory: 27.01MiB / 251.5GiB
nervous_satoshi: CPU: 101.07%, Memory: 27.01MiB / 251.5GiB
inspiring_burnell: CPU: 314.70%, Memory: 19.84MiB / 251.5GiB
inspiring_burnell: CPU: 100.52%, Memory: 27.15MiB / 251.5GiB
inspiring_burnell: CPU: 101.38%, Memory: 27.05MiB / 251.5GiB
inspiring_burnell: CPU: 100.90%, Memory: 27.05MiB / 251.5GiB
thirsty_maxwell: CPU: 251.28%, Memory: 19.6MiB / 251.5GiB
thirsty_maxwell: CPU: 101.47%, Memory: 27.11MiB / 251.5GiB
thirsty_maxwell: CPU: 101.22%, Memory: 27MiB / 251.5GiB
thirsty_maxwell: CPU: 100.75%, Memory: 27MiB / 251.5GiB
intelligent_buck: CPU: 316.71%, Memory: 19.55MiB / 251.5GiB
intelligent_buck: CPU: 101.26%, Memory: 27.16MiB / 251.5GiB
intelligent_buck: CPU: 101.65%, Memory: 27.06MiB / 251.5GiB
intelligent_buck: CPU: 101.22%, Memory: 27.06MiB / 251.5GiB
tender_hoover: CPU: 320.85%, Memory: 19.6MiB / 251.5GiB
tender_hoover: CPU: 101.28%, Memory: 27.11MiB / 251.5GiB
tender_hoover: CPU: 101.66%, Memory: 27.11MiB / 251.5GiB
tender_hoover: CPU: 101.79%, Memory: 27.11MiB / 251.5GiB
