jolly_hertz: CPU: 101.54%, Memory: 19.82MiB / 251.5GiB
jolly_hertz: CPU: 101.50%, Memory: 27.08MiB / 251.5GiB
jolly_hertz: CPU: 99.71%, Memory: 27.08MiB / 251.5GiB
jolly_hertz: CPU: 100.27%, Memory: 27.08MiB / 251.5GiB
condescending_wilbur: CPU: 296.45%, Memory: 19.61MiB / 251.5GiB
condescending_wilbur: CPU: 100.65%, Memory: 27.02MiB / 251.5GiB
condescending_wilbur: CPU: 100.44%, Memory: 27.02MiB / 251.5GiB
condescending_wilbur: CPU: 100.46%, Memory: 27.02MiB / 251.5GiB
quirky_lichterman: CPU: 289.20%, Memory: 19.52MiB / 251.5GiB
quirky_lichterman: CPU: 101.03%, Memory: 27.02MiB / 251.5GiB
quirky_lichterman: CPU: 101.73%, Memory: 27.02MiB / 251.5GiB
quirky_lichterman: CPU: 101.28%, Memory: 27.02MiB / 251.5GiB
great_kepler: CPU: 344.58%, Memory: 19.75MiB / 251.5GiB
great_kepler: CPU: 101.00%, Memory: 27.11MiB / 251.5GiB
great_kepler: CPU: 101.16%, Memory: 27.08MiB / 251.5GiB
great_kepler: CPU: 101.52%, Memory: 27.08MiB / 251.5GiB
kind_sinoussi: CPU: 339.49%, Memory: 19.43MiB / 251.5GiB
kind_sinoussi: CPU: 102.17%, Memory: 27.18MiB / 251.5GiB
kind_sinoussi: CPU: 99.93%, Memory: 27.18MiB / 251.5GiB
kind_sinoussi: CPU: 100.44%, Memory: 27.07MiB / 251.5GiB
funny_kepler: CPU: 310.74%, Memory: 19.6MiB / 251.5GiB
funny_kepler: CPU: 100.90%, Memory: 27.11MiB / 251.5GiB
funny_kepler: CPU: 101.03%, Memory: 27.11MiB / 251.5GiB
funny_kepler: CPU: 101.60%, Memory: 27.11MiB / 251.5GiB
naughty_brown: CPU: 260.42%, Memory: 19.42MiB / 251.5GiB
naughty_brown: CPU: 100.43%, Memory: 27.12MiB / 251.5GiB
naughty_brown: CPU: 100.00%, Memory: 27.02MiB / 251.5GiB
naughty_brown: CPU: 99.44%, Memory: 27.02MiB / 251.5GiB
elastic_kilby: CPU: 258.46%, Memory: 19.77MiB / 251.5GiB
elastic_kilby: CPU: 100.69%, Memory: 27.02MiB / 251.5GiB
elastic_kilby: CPU: 100.00%, Memory: 27.02MiB / 251.5GiB
elastic_kilby: CPU: 100.69%, Memory: 27.02MiB / 251.5GiB
elated_cartwright: CPU: 308.22%, Memory: 19.77MiB / 251.5GiB
elated_cartwright: CPU: 101.28%, Memory: 27.12MiB / 251.5GiB
elated_cartwright: CPU: 100.94%, Memory: 27.02MiB / 251.5GiB
elated_cartwright: CPU: 100.75%, Memory: 27.02MiB / 251.5GiB
peaceful_villani: CPU: 312.43%, Memory: 19.4MiB / 251.5GiB
peaceful_villani: CPU: 101.52%, Memory: 27.02MiB / 251.5GiB
peaceful_villani: CPU: 100.00%, Memory: 27.02MiB / 251.5GiB
peaceful_villani: CPU: 101.22%, Memory: 27.02MiB / 251.5GiB
