hardcore_lewin: CPU: 160.72%, Memory: 766.8MiB / 251.5GiB
hardcore_lewin: CPU: 100.75%, Memory: 766.8MiB / 251.5GiB
hardcore_lewin: CPU: 101.28%, Memory: 766.8MiB / 251.5GiB
hardcore_lewin: CPU: 1005.08%, Memory: 1.502GiB / 251.5GiB
hardcore_lewin: CPU: 1541.01%, Memory: 1.504GiB / 251.5GiB
hardcore_lewin: CPU: 1544.95%, Memory: 1.504GiB / 251.5GiB
hardcore_lewin: CPU: 1552.40%, Memory: 1.504GiB / 251.5GiB
hardcore_lewin: CPU: 1495.76%, Memory: 1.503GiB / 251.5GiB
hardcore_lewin: CPU: 1553.56%, Memory: 1.506GiB / 251.5GiB
hardcore_lewin: CPU: 1498.95%, Memory: 1.506GiB / 251.5GiB
hardcore_lewin: CPU: 1547.13%, Memory: 1.506GiB / 251.5GiB
hardcore_lewin: CPU: 1546.09%, Memory: 1.506GiB / 251.5GiB
hardcore_lewin: CPU: 1548.41%, Memory: 1.507GiB / 251.5GiB
hardcore_lewin: CPU: 1541.86%, Memory: 1.507GiB / 251.5GiB
hardcore_lewin: CPU: 1557.44%, Memory: 1.508GiB / 251.5GiB
hardcore_lewin: CPU: 1553.50%, Memory: 1.508GiB / 251.5GiB
hardcore_lewin: CPU: 1546.98%, Memory: 1.508GiB / 251.5GiB
hardcore_lewin: CPU: 1551.36%, Memory: 1.509GiB / 251.5GiB
hardcore_lewin: CPU: 1554.82%, Memory: 1.51GiB / 251.5GiB
hardcore_lewin: CPU: 1539.64%, Memory: 1.51GiB / 251.5GiB
hardcore_lewin: CPU: 1554.23%, Memory: 1.511GiB / 251.5GiB
hardcore_lewin: CPU: 1562.30%, Memory: 1.513GiB / 251.5GiB
hardcore_lewin: CPU: 100.71%, Memory: 1.32GiB / 251.5GiB
hardcore_lewin: CPU: 99.50%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.26%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.94%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.67%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.81%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.56%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.88%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.07%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.50%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.13%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 102.12%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.58%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.58%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.75%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 102.10%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.81%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 99.37%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.37%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.88%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 99.25%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.25%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 99.83%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.06%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.58%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.09%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.99%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.15%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.22%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.33%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 99.83%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.88%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.88%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.43%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.33%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.71%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.03%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.21%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.43%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.03%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.01%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.25%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.15%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.75%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.50%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 99.87%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.65%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.06%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.08%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.20%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.01%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.41%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.54%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.69%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.34%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.73%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.75%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.37%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 99.93%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 101.54%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.88%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 99.13%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.24%, Memory: 1.512GiB / 251.5GiB
hardcore_lewin: CPU: 100.27%, Memory: 1.512GiB / 251.5GiB
