cool_kare: CPU: 171.47%, Memory: 13.96MiB / 251.5GiB
cool_kare: CPU: 99.79%, Memory: 13.6MiB / 251.5GiB
youthful_carver: CPU: 238.59%, Memory: 9.102MiB / 251.5GiB
wizardly_jemison: CPU: 140.10%, Memory: 8.941MiB / 251.5GiB
magical_hoover: CPU: 102.30%, Memory: 8.871MiB / 251.5GiB
elegant_vaughan: CPU: 100.59%, Memory: 9.113MiB / 251.5GiB
stoic_maxwell: CPU: 231.26%, Memory: 8.945MiB / 251.5GiB
brave_torvalds: CPU: 99.99%, Memory: 8.879MiB / 251.5GiB
youthful_curran: CPU: 101.71%, Memory: 9.004MiB / 251.5GiB
frosty_wilson: CPU: 205.58%, Memory: 9.043MiB / 251.5GiB
cranky_darwin: CPU: 241.92%, Memory: 9.199MiB / 251.5GiB
elated_feistel: CPU: 232.62%, Memory: 9MiB / 251.5GiB
naughty_varahamihira: CPU: 260.38%, Memory: 9.254MiB / 251.5GiB
recursing_khorana: CPU: 217.56%, Memory: 8.891MiB / 251.5GiB
