gracious_golick: CPU: 0.00%, Memory: 0B / 0B
hardcore_hermann: CPU: 0.00%, Memory: 0B / 0B
jolly_curie: CPU: 0.00%, Memory: 0B / 0B
charming_spence: CPU: 0.00%, Memory: 0B / 0B
vibrant_gould: CPU: 0.00%, Memory: 0B / 0B
keen_galileo: CPU: 0.00%, Memory: 0B / 0B
affectionate_jackson: CPU: 0.00%, Memory: 0B / 0B
mystifying_keller: CPU: 0.00%, Memory: 0B / 0B
infallible_shaw: CPU: 0.00%, Memory: 0B / 0B
wonderful_morse: CPU: 0.00%, Memory: 0B / 0B
naughty_mahavira: CPU: 0.00%, Memory: 0B / 0B
brave_elbakyan: CPU: 0.00%, Memory: 0B / 0B
flamboyant_bose: CPU: 0.00%, Memory: 0B / 0B
stupefied_kapitsa: CPU: 0.00%, Memory: 0B / 0B
