elegant_bell: CPU: 315.63%, Memory: 60.94MiB / 251.5GiB
elegant_bell: CPU: 99.87%, Memory: 37.4MiB / 251.5GiB
elegant_bell: CPU: 98.94%, Memory: 37.4MiB / 251.5GiB
elegant_bell: CPU: 100.44%, Memory: 37.4MiB / 251.5GiB
sleepy_hermann: CPU: 465.47%, Memory: 61.02MiB / 251.5GiB
sleepy_hermann: CPU: 101.22%, Memory: 37.48MiB / 251.5GiB
sleepy_hermann: CPU: 100.25%, Memory: 37.48MiB / 251.5GiB
sleepy_hermann: CPU: 99.34%, Memory: 37.48MiB / 251.5GiB
bold_jang8: CPU: 405.10%, Memory: 61.17MiB / 251.5GiB
bold_jang8: CPU: 100.37%, Memory: 37.65MiB / 251.5GiB
bold_jang8: CPU: 101.41%, Memory: 37.4MiB / 251.5GiB
bold_jang8: CPU: 100.00%, Memory: 37.4MiB / 251.5GiB
reverent_pare: CPU: 396.47%, Memory: 60.91MiB / 251.5GiB
reverent_pare: CPU: 100.00%, Memory: 37.71MiB / 251.5GiB
reverent_pare: CPU: 100.81%, Memory: 37.71MiB / 251.5GiB
reverent_pare: CPU: 100.50%, Memory: 37.46MiB / 251.5GiB
wonderful_galileo: CPU: 457.12%, Memory: 61.25MiB / 251.5GiB
wonderful_galileo: CPU: 100.06%, Memory: 37.5MiB / 251.5GiB
wonderful_galileo: CPU: 101.65%, Memory: 37.41MiB / 251.5GiB
wonderful_galileo: CPU: 100.34%, Memory: 37.41MiB / 251.5GiB
thirsty_mcnulty3: CPU: 423.57%, Memory: 61.08MiB / 251.5GiB
thirsty_mcnulty3: CPU: 100.75%, Memory: 37.39MiB / 251.5GiB
thirsty_mcnulty3: CPU: 99.38%, Memory: 37.39MiB / 251.5GiB
thirsty_mcnulty3: CPU: 100.56%, Memory: 37.39MiB / 251.5GiB
elastic_lehmann: CPU: 454.81%, Memory: 61.24MiB / 251.5GiB
elastic_lehmann: CPU: 101.47%, Memory: 37.47MiB / 251.5GiB
elastic_lehmann: CPU: 100.27%, Memory: 37.47MiB / 251.5GiB
elastic_lehmann: CPU: 101.91%, Memory: 37.47MiB / 251.5GiB
dazzling_swartz: CPU: 451.10%, Memory: 60.95MiB / 251.5GiB
dazzling_swartz: CPU: 100.88%, Memory: 37.5MiB / 251.5GiB
dazzling_swartz: CPU: 101.13%, Memory: 37.41MiB / 251.5GiB
dazzling_swartz: CPU: 101.54%, Memory: 37.41MiB / 251.5GiB
hardcore_chebyshev: CPU: 405.38%, Memory: 61.18MiB / 251.5GiB
hardcore_chebyshev: CPU: 100.46%, Memory: 37.5MiB / 251.5GiB
hardcore_chebyshev: CPU: 101.20%, Memory: 37.5MiB / 251.5GiB
hardcore_chebyshev: CPU: 100.25%, Memory: 37.41MiB / 251.5GiB
awesome_bohr: CPU: 448.10%, Memory: 60.96MiB / 251.5GiB
awesome_bohr: CPU: 101.47%, Memory: 37.51MiB / 251.5GiB
awesome_bohr: CPU: 100.40%, Memory: 37.4MiB / 251.5GiB
awesome_bohr: CPU: 99.90%, Memory: 37.4MiB / 251.5GiB
practical_ritchie: CPU: 594.22%, Memory: 61.18MiB / 251.5GiB
practical_ritchie: CPU: 161.73%, Memory: 38.82MiB / 251.5GiB
serene_gould: CPU: 458.74%, Memory: 61.47MiB / 251.5GiB
serene_gould: CPU: 644.69%, Memory: 38.82MiB / 251.5GiB
awesome_satoshi: CPU: 400.39%, Memory: 60.95MiB / 251.5GiB
awesome_satoshi: CPU: 684.05%, Memory: 38.91MiB / 251.5GiB
jovial_haibt: CPU: 446.52%, Memory: 61MiB / 251.5GiB
jovial_haibt: CPU: 639.75%, Memory: 39.05MiB / 251.5GiB
keen_turing5: CPU: 433.81%, Memory: 61.18MiB / 251.5GiB
keen_turing5: CPU: 531.98%, Memory: 38.82MiB / 251.5GiB
sleepy_goldberg: CPU: 440.25%, Memory: 61.1MiB / 251.5GiB
sleepy_goldberg: CPU: 657.89%, Memory: 38.83MiB / 251.5GiB
great_carson: CPU: 428.17%, Memory: 60.94MiB / 251.5GiB
great_carson: CPU: 728.00%, Memory: 38.99MiB / 251.5GiB
beautiful_poitras: CPU: 467.76%, Memory: 61.73MiB / 251.5GiB
beautiful_poitras: CPU: 562.60%, Memory: 38.9MiB / 251.5GiB
wizardly_cray: CPU: 478.63%, Memory: 61.05MiB / 251.5GiB
wizardly_cray: CPU: 666.68%, Memory: 38.88MiB / 251.5GiB
quirky_goodall: CPU: 512.03%, Memory: 61.18MiB / 251.5GiB
quirky_goodall: CPU: 584.06%, Memory: 38.93MiB / 251.5GiB
