romantic_euler: CPU: 1595.16%, Memory: 768.5MiB / 251.5GiB
romantic_euler: CPU: 1472.98%, Memory: 768.5MiB / 251.5GiB
romantic_euler: CPU: 1597.06%, Memory: 768.5MiB / 251.5GiB
romantic_euler: CPU: 434.57%, Memory: 1.536GiB / 251.5GiB
romantic_euler: CPU: 1518.53%, Memory: 1.535GiB / 251.5GiB
romantic_euler: CPU: 595.99%, Memory: 1.911GiB / 251.5GiB
romantic_euler: CPU: 1588.90%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1583.61%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1466.15%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1529.60%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1474.28%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1569.05%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1589.01%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1570.88%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1491.71%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1508.69%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1497.68%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1493.45%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1589.50%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1580.12%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1594.41%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1492.03%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1423.77%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1421.64%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1595.31%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1592.07%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1592.74%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1496.21%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1494.86%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1595.10%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1495.20%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1500.62%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1555.58%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1274.15%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1409.72%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1431.32%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1592.22%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1559.14%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1593.46%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1595.63%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1592.55%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1484.52%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1565.44%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1509.50%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1496.59%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1400.84%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1394.39%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1467.76%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1541.31%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1581.36%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1586.37%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1576.07%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1514.26%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1581.17%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1487.12%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1496.55%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 1593.49%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 622.74%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.19%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.03%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.01%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.07%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.00%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.13%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.07%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.01%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.13%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.01%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.07%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.07%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.11%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.19%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.07%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.13%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.13%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.17%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.07%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 99.84%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.01%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.07%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.01%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.01%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.19%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.19%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.07%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.04%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.03%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.00%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.13%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 99.88%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.00%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.13%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 99.94%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 99.98%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 99.94%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.17%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 99.95%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.07%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.07%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.04%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 99.95%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 99.84%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.00%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.07%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.07%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 99.91%, Memory: 2.286GiB / 251.5GiB
romantic_euler: CPU: 100.03%, Memory: 2.286GiB / 251.5GiB
