reverent_williamson: CPU: 164.29%, Memory: 1.707GiB / 251.5GiB
reverent_williamson: CPU: 100.22%, Memory: 2.988GiB / 251.5GiB
reverent_williamson: CPU: 100.28%, Memory: 2.988GiB / 251.5GiB
reverent_williamson: CPU: 101.13%, Memory: 2.988GiB / 251.5GiB
reverent_williamson: CPU: 99.97%, Memory: 2.988GiB / 251.5GiB
reverent_williamson: CPU: 100.35%, Memory: 2.988GiB / 251.5GiB
reverent_williamson: CPU: 100.60%, Memory: 2.988GiB / 251.5GiB
reverent_williamson: CPU: 99.65%, Memory: 2.988GiB / 251.5GiB
reverent_williamson: CPU: 99.75%, Memory: 2.988GiB / 251.5GiB
reverent_williamson: CPU: 101.13%, Memory: 2.988GiB / 251.5GiB
reverent_williamson: CPU: 100.10%, Memory: 2.988GiB / 251.5GiB
reverent_williamson: CPU: 101.13%, Memory: 2.988GiB / 251.5GiB
reverent_williamson: CPU: 100.88%, Memory: 2.988GiB / 251.5GiB
reverent_williamson: CPU: 101.51%, Memory: 2.988GiB / 251.5GiB
reverent_williamson: CPU: 100.75%, Memory: 2.988GiB / 251.5GiB
reverent_williamson: CPU: 100.22%, Memory: 2.988GiB / 251.5GiB
reverent_williamson: CPU: 100.52%, Memory: 2.988GiB / 251.5GiB
reverent_williamson: CPU: 100.71%, Memory: 2.988GiB / 251.5GiB
reverent_williamson: CPU: 100.85%, Memory: 2.988GiB / 251.5GiB
reverent_williamson: CPU: 101.26%, Memory: 2.988GiB / 251.5GiB
reverent_williamson: CPU: 99.01%, Memory: 2.988GiB / 251.5GiB
reverent_williamson: CPU: 100.50%, Memory: 2.988GiB / 251.5GiB
reverent_williamson: CPU: 100.58%, Memory: 3.257GiB / 251.5GiB
reverent_williamson: CPU: 99.93%, Memory: 7.529GiB / 251.5GiB
reverent_williamson: CPU: 101.01%, Memory: 11.8GiB / 251.5GiB
reverent_williamson: CPU: 99.44%, Memory: 13.05GiB / 251.5GiB
reverent_williamson: CPU: 99.50%, Memory: 14.35GiB / 251.5GiB
reverent_williamson: CPU: 457.22%, Memory: 14.94GiB / 251.5GiB
reverent_williamson: CPU: 1541.34%, Memory: 14.94GiB / 251.5GiB
reverent_williamson: CPU: 1492.00%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1541.13%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1532.69%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1537.30%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1542.92%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1542.70%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1537.29%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1547.36%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1538.76%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1548.93%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1534.78%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1526.03%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1520.11%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1539.64%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1521.94%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1537.48%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1541.21%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1483.48%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1527.33%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1535.72%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1533.89%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1538.93%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1539.44%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1543.88%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1547.36%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1539.05%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1541.80%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1541.97%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1547.19%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1535.14%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1544.88%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1512.27%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1538.74%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1559.89%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1569.64%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1571.10%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1540.94%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1572.57%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1566.06%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1553.84%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1536.56%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1537.64%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1490.47%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1500.41%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1538.98%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1547.56%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1508.13%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1514.30%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1536.17%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1525.07%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1543.37%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1538.12%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1528.65%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1491.16%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1505.76%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1534.48%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1542.61%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1536.90%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1533.59%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1491.12%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1561.97%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1484.14%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1514.36%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1541.54%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1506.61%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1537.67%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1540.37%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1530.07%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1541.05%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1521.52%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1504.52%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1534.03%, Memory: 14.95GiB / 251.5GiB
reverent_williamson: CPU: 1518.79%, Memory: 14.95GiB / 251.5GiB
