fervent_davinci: CPU: 1501.58%, Memory: 195.2MiB / 251.5GiB
fervent_davinci: CPU: 1232.40%, Memory: 602.4MiB / 251.5GiB
fervent_davinci: CPU: 1575.74%, Memory: 602.4MiB / 251.5GiB
fervent_davinci: CPU: 1594.30%, Memory: 602.4MiB / 251.5GiB
fervent_davinci: CPU: 1593.98%, Memory: 602.4MiB / 251.5GiB
fervent_davinci: CPU: 1524.88%, Memory: 602.4MiB / 251.5GiB
fervent_davinci: CPU: 1389.20%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 453.25%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.11%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.03%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.44%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.01%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.13%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 99.94%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.13%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.08%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 99.94%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.07%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.07%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.09%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 99.97%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 99.98%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.13%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.11%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 99.94%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.00%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.01%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.07%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.01%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 99.88%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.03%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.04%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.01%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 99.95%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 99.88%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.04%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.09%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.01%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.01%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 99.91%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.13%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.23%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.17%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.00%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.01%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.07%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.03%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.16%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 99.88%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.07%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.07%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.07%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.01%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.07%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.03%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 99.94%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.07%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.11%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.07%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.13%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.07%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.03%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.06%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.13%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.13%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.13%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.17%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.04%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.04%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.13%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 99.88%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.07%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.13%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.07%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.17%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.07%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.01%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.04%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.13%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.07%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 99.88%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.07%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.07%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.13%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.07%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.20%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.01%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.01%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.11%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.07%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.07%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 99.94%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.07%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.01%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.07%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.19%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.19%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.26%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.01%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.07%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.06%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.07%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 100.04%, Memory: 603.9MiB / 251.5GiB
fervent_davinci: CPU: 99.97%, Memory: 603.9MiB / 251.5GiB
