amazing_borg: CPU: 500.16%, Memory: 61.11MiB / 251.5GiB
amazing_borg: CPU: 101.68%, Memory: 37.36MiB / 251.5GiB
amazing_borg: CPU: 101.13%, Memory: 37.36MiB / 251.5GiB
amazing_borg: CPU: 101.39%, Memory: 37.36MiB / 251.5GiB
interesting_chaum: CPU: 447.27%, Memory: 60.98MiB / 251.5GiB
interesting_chaum: CPU: 101.28%, Memory: 37.61MiB / 251.5GiB
interesting_chaum: CPU: 100.62%, Memory: 37.36MiB / 251.5GiB
interesting_chaum: CPU: 101.20%, Memory: 37.36MiB / 251.5GiB
blissful_pascal: CPU: 436.51%, Memory: 60.88MiB / 251.5GiB
blissful_pascal: CPU: 100.58%, Memory: 37.68MiB / 251.5GiB
blissful_pascal: CPU: 100.52%, Memory: 37.68MiB / 251.5GiB
blissful_pascal: CPU: 100.08%, Memory: 37.43MiB / 251.5GiB
compassionate_khorana: CPU: 462.45%, Memory: 61.12MiB / 251.5GiB
compassionate_khorana: CPU: 99.13%, Memory: 37.67MiB / 251.5GiB
compassionate_khorana: CPU: 100.08%, Memory: 37.42MiB / 251.5GiB
compassionate_khorana: CPU: 100.46%, Memory: 37.42MiB / 251.5GiB
admiring_hamilton: CPU: 485.71%, Memory: 61.08MiB / 251.5GiB
admiring_hamilton: CPU: 102.57%, Memory: 37.36MiB / 251.5GiB
admiring_hamilton: CPU: 100.69%, Memory: 37.36MiB / 251.5GiB
admiring_hamilton: CPU: 101.11%, Memory: 37.36MiB / 251.5GiB
xenodochial_mclaren: CPU: 454.83%, Memory: 61.52MiB / 251.5GiB
xenodochial_mclaren: CPU: 100.46%, Memory: 37.62MiB / 251.5GiB
xenodochial_mclaren: CPU: 101.16%, Memory: 37.37MiB / 251.5GiB
xenodochial_mclaren: CPU: 100.96%, Memory: 37.37MiB / 251.5GiB
loving_booth: CPU: 461.77%, Memory: 60.9MiB / 251.5GiB
loving_booth: CPU: 101.92%, Memory: 37.45MiB / 251.5GiB
loving_booth: CPU: 100.25%, Memory: 37.36MiB / 251.5GiB
loving_booth: CPU: 100.18%, Memory: 37.36MiB / 251.5GiB
elegant_feynman: CPU: 442.95%, Memory: 61.51MiB / 251.5GiB
elegant_feynman: CPU: 100.75%, Memory: 37.39MiB / 251.5GiB
elegant_feynman: CPU: 100.82%, Memory: 37.39MiB / 251.5GiB
elegant_feynman: CPU: 99.50%, Memory: 37.39MiB / 251.5GiB
pedantic_bouman: CPU: 462.66%, Memory: 60.81MiB / 251.5GiB
pedantic_bouman: CPU: 101.67%, Memory: 37.61MiB / 251.5GiB
pedantic_bouman: CPU: 101.39%, Memory: 37.61MiB / 251.5GiB
pedantic_bouman: CPU: 100.21%, Memory: 37.61MiB / 251.5GiB
lucid_einstein: CPU: 490.66%, Memory: 61.04MiB / 251.5GiB
lucid_einstein: CPU: 100.69%, Memory: 37.61MiB / 251.5GiB
lucid_einstein: CPU: 100.37%, Memory: 37.36MiB / 251.5GiB
lucid_einstein: CPU: 100.37%, Memory: 37.36MiB / 251.5GiB
