blissful_carver: CPU: 150.22%, Memory: 193.7MiB / 251.5GiB
blissful_carver: CPU: 1593.39%, Memory: 601MiB / 251.5GiB
blissful_carver: CPU: 1584.66%, Memory: 600.8MiB / 251.5GiB
blissful_carver: CPU: 1588.66%, Memory: 600.8MiB / 251.5GiB
blissful_carver: CPU: 1584.31%, Memory: 600.8MiB / 251.5GiB
blissful_carver: CPU: 1586.76%, Memory: 603.5MiB / 251.5GiB
blissful_carver: CPU: 474.61%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.09%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 99.92%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.15%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.19%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.03%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 99.98%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 99.99%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.01%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.04%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 99.94%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 99.95%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 99.92%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.04%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.21%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.13%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.13%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.05%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.07%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.01%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.07%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.01%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.01%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.07%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.01%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.01%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.13%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.07%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 99.88%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.17%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.13%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 99.94%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.01%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.04%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 99.95%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.07%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.00%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.07%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 99.95%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.09%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.02%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.09%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 99.99%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 99.99%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.12%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.05%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.05%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 99.93%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 99.93%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 99.99%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 99.95%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 99.99%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.05%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.13%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.07%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 99.94%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 99.88%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 99.95%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 99.95%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 99.94%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.13%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 99.82%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.10%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.13%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.09%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.27%, Memory: 602.3MiB / 251.5GiB
blissful_carver: CPU: 100.03%, Memory: 602.3MiB / 251.5GiB
