determined_mcnulty: CPU: 100.27%, Memory: 1.496GiB / 251.5GiB
determined_mcnulty: CPU: 798.85%, Memory: 1.959GiB / 251.5GiB
determined_mcnulty: CPU: 803.13%, Memory: 2.316GiB / 251.5GiB
xenodochial_cerf: CPU: 99.86%, Memory: 1.496GiB / 251.5GiB
xenodochial_cerf: CPU: 798.33%, Memory: 1.96GiB / 251.5GiB
xenodochial_cerf: CPU: 803.51%, Memory: 2.316GiB / 251.5GiB
sweet_kapitsa: CPU: 100.14%, Memory: 1.496GiB / 251.5GiB
sweet_kapitsa: CPU: 796.01%, Memory: 1.96GiB / 251.5GiB
sweet_kapitsa: CPU: 801.40%, Memory: 2.316GiB / 251.5GiB
modest_mendeleev: CPU: 100.20%, Memory: 1.496GiB / 251.5GiB
modest_mendeleev: CPU: 796.61%, Memory: 1.96GiB / 251.5GiB
modest_mendeleev: CPU: 800.25%, Memory: 2.315GiB / 251.5GiB
fervent_tharp: CPU: 99.78%, Memory: 1.496GiB / 251.5GiB
fervent_tharp: CPU: 799.80%, Memory: 1.961GiB / 251.5GiB
fervent_tharp: CPU: 800.73%, Memory: 2.317GiB / 251.5GiB
dazzling_torvalds: CPU: 99.80%, Memory: 1.496GiB / 251.5GiB
dazzling_torvalds: CPU: 798.71%, Memory: 1.96GiB / 251.5GiB
dazzling_torvalds: CPU: 798.74%, Memory: 2.316GiB / 251.5GiB
hungry_ishizaka: CPU: 100.37%, Memory: 1.496GiB / 251.5GiB
hungry_ishizaka: CPU: 798.11%, Memory: 1.96GiB / 251.5GiB
hungry_ishizaka: CPU: 796.87%, Memory: 2.316GiB / 251.5GiB
youthful_hermann: CPU: 100.26%, Memory: 1.496GiB / 251.5GiB
youthful_hermann: CPU: 799.98%, Memory: 1.96GiB / 251.5GiB
youthful_hermann: CPU: 801.06%, Memory: 2.315GiB / 251.5GiB
eager_rosalind: CPU: 100.21%, Memory: 1.496GiB / 251.5GiB
eager_rosalind: CPU: 644.63%, Memory: 1.639GiB / 251.5GiB
eager_rosalind: CPU: 801.57%, Memory: 2.316GiB / 251.5GiB
intelligent_easley: CPU: 100.08%, Memory: 1.496GiB / 251.5GiB
intelligent_easley: CPU: 799.84%, Memory: 1.959GiB / 251.5GiB
intelligent_easley: CPU: 799.92%, Memory: 2.315GiB / 251.5GiB
