quizzical_fermi: CPU: 100.08%, Memory: 2.962GiB / 251.5GiB
quizzical_fermi: CPU: 99.62%, Memory: 5.975GiB / 251.5GiB
quizzical_fermi: CPU: 100.00%, Memory: 5.975GiB / 251.5GiB
quizzical_fermi: CPU: 800.39%, Memory: 7.597GiB / 251.5GiB
quizzical_fermi: CPU: 802.65%, Memory: 7.597GiB / 251.5GiB
quizzical_fermi: CPU: 800.50%, Memory: 7.805GiB / 251.5GiB
quizzical_fermi: CPU: 799.80%, Memory: 7.804GiB / 251.5GiB
quizzical_fermi: CPU: 797.47%, Memory: 7.807GiB / 251.5GiB
quizzical_fermi: CPU: 799.02%, Memory: 7.806GiB / 251.5GiB
quizzical_fermi: CPU: 526.54%, Memory: 6.235GiB / 251.5GiB
quizzical_fermi: CPU: 99.80%, Memory: 9.05GiB / 251.5GiB
quizzical_fermi: CPU: 801.11%, Memory: 9.239GiB / 251.5GiB
quizzical_fermi: CPU: 803.35%, Memory: 9.239GiB / 251.5GiB
quizzical_fermi: CPU: 800.13%, Memory: 9.238GiB / 251.5GiB
quizzical_fermi: CPU: 798.85%, Memory: 9.238GiB / 251.5GiB
quizzical_fermi: CPU: 803.12%, Memory: 9.238GiB / 251.5GiB
quizzical_fermi: CPU: 803.30%, Memory: 9.238GiB / 251.5GiB
quizzical_fermi: CPU: 797.42%, Memory: 9.238GiB / 251.5GiB
quizzical_fermi: CPU: 803.56%, Memory: 9.238GiB / 251.5GiB
vigorous_hopper: CPU: 100.07%, Memory: 2.963GiB / 251.5GiB
vigorous_hopper: CPU: 99.91%, Memory: 5.975GiB / 251.5GiB
vigorous_hopper: CPU: 100.24%, Memory: 5.975GiB / 251.5GiB
vigorous_hopper: CPU: 801.24%, Memory: 7.597GiB / 251.5GiB
vigorous_hopper: CPU: 798.39%, Memory: 7.597GiB / 251.5GiB
vigorous_hopper: CPU: 800.52%, Memory: 7.807GiB / 251.5GiB
vigorous_hopper: CPU: 801.37%, Memory: 7.807GiB / 251.5GiB
vigorous_hopper: CPU: 801.65%, Memory: 7.809GiB / 251.5GiB
vigorous_hopper: CPU: 797.97%, Memory: 7.809GiB / 251.5GiB
vigorous_hopper: CPU: 490.64%, Memory: 6.237GiB / 251.5GiB
vigorous_hopper: CPU: 100.08%, Memory: 9.19GiB / 251.5GiB
vigorous_hopper: CPU: 801.64%, Memory: 9.241GiB / 251.5GiB
vigorous_hopper: CPU: 800.49%, Memory: 9.241GiB / 251.5GiB
vigorous_hopper: CPU: 798.44%, Memory: 9.241GiB / 251.5GiB
vigorous_hopper: CPU: 799.38%, Memory: 9.241GiB / 251.5GiB
vigorous_hopper: CPU: 796.86%, Memory: 9.241GiB / 251.5GiB
vigorous_hopper: CPU: 798.85%, Memory: 9.241GiB / 251.5GiB
vigorous_hopper: CPU: 795.92%, Memory: 9.241GiB / 251.5GiB
vigorous_hopper: CPU: 798.89%, Memory: 9.241GiB / 251.5GiB
vigorous_hopper: CPU: 200.87%, Memory: 3.552GiB / 251.5GiB
confident_davinci: CPU: 99.69%, Memory: 4.087GiB / 251.5GiB
confident_davinci: CPU: 99.81%, Memory: 5.975GiB / 251.5GiB
confident_davinci: CPU: 99.87%, Memory: 5.975GiB / 251.5GiB
confident_davinci: CPU: 802.67%, Memory: 7.597GiB / 251.5GiB
confident_davinci: CPU: 800.79%, Memory: 7.427GiB / 251.5GiB
confident_davinci: CPU: 799.16%, Memory: 7.835GiB / 251.5GiB
confident_davinci: CPU: 800.24%, Memory: 7.835GiB / 251.5GiB
confident_davinci: CPU: 797.96%, Memory: 7.837GiB / 251.5GiB
confident_davinci: CPU: 799.93%, Memory: 7.836GiB / 251.5GiB
confident_davinci: CPU: 266.47%, Memory: 6.265GiB / 251.5GiB
confident_davinci: CPU: 277.82%, Memory: 9.271GiB / 251.5GiB
confident_davinci: CPU: 803.65%, Memory: 9.27GiB / 251.5GiB
confident_davinci: CPU: 803.09%, Memory: 9.269GiB / 251.5GiB
confident_davinci: CPU: 802.64%, Memory: 9.269GiB / 251.5GiB
confident_davinci: CPU: 801.16%, Memory: 9.269GiB / 251.5GiB
confident_davinci: CPU: 797.43%, Memory: 9.269GiB / 251.5GiB
confident_davinci: CPU: 798.41%, Memory: 9.269GiB / 251.5GiB
confident_davinci: CPU: 803.60%, Memory: 9.269GiB / 251.5GiB
confident_davinci: CPU: 800.42%, Memory: 9.269GiB / 251.5GiB
confident_davinci: CPU: 0.00%, Memory: 0B / 0B
fervent_hoover: CPU: 99.47%, Memory: 2.996GiB / 251.5GiB
fervent_hoover: CPU: 100.06%, Memory: 5.975GiB / 251.5GiB
fervent_hoover: CPU: 100.21%, Memory: 5.975GiB / 251.5GiB
fervent_hoover: CPU: 800.91%, Memory: 7.597GiB / 251.5GiB
fervent_hoover: CPU: 799.93%, Memory: 7.597GiB / 251.5GiB
fervent_hoover: CPU: 799.71%, Memory: 7.833GiB / 251.5GiB
fervent_hoover: CPU: 800.96%, Memory: 7.832GiB / 251.5GiB
fervent_hoover: CPU: 798.89%, Memory: 7.834GiB / 251.5GiB
fervent_hoover: CPU: 801.64%, Memory: 7.834GiB / 251.5GiB
fervent_hoover: CPU: 456.76%, Memory: 6.263GiB / 251.5GiB
fervent_hoover: CPU: 102.86%, Memory: 9.268GiB / 251.5GiB
fervent_hoover: CPU: 800.46%, Memory: 9.267GiB / 251.5GiB
fervent_hoover: CPU: 802.66%, Memory: 9.267GiB / 251.5GiB
fervent_hoover: CPU: 803.17%, Memory: 9.266GiB / 251.5GiB
fervent_hoover: CPU: 803.65%, Memory: 9.266GiB / 251.5GiB
fervent_hoover: CPU: 802.17%, Memory: 9.266GiB / 251.5GiB
fervent_hoover: CPU: 798.42%, Memory: 9.266GiB / 251.5GiB
fervent_hoover: CPU: 802.09%, Memory: 9.266GiB / 251.5GiB
fervent_hoover: CPU: 801.01%, Memory: 9.266GiB / 251.5GiB
focused_dhawan: CPU: 100.33%, Memory: 3.466GiB / 251.5GiB
focused_dhawan: CPU: 100.52%, Memory: 5.975GiB / 251.5GiB
focused_dhawan: CPU: 100.14%, Memory: 5.975GiB / 251.5GiB
focused_dhawan: CPU: 801.16%, Memory: 7.597GiB / 251.5GiB
focused_dhawan: CPU: 797.27%, Memory: 7.598GiB / 251.5GiB
focused_dhawan: CPU: 799.23%, Memory: 7.807GiB / 251.5GiB
focused_dhawan: CPU: 799.41%, Memory: 7.807GiB / 251.5GiB
focused_dhawan: CPU: 800.66%, Memory: 7.809GiB / 251.5GiB
focused_dhawan: CPU: 799.95%, Memory: 7.809GiB / 251.5GiB
focused_dhawan: CPU: 100.27%, Memory: 6.237GiB / 251.5GiB
focused_dhawan: CPU: 582.78%, Memory: 9.242GiB / 251.5GiB
focused_dhawan: CPU: 797.46%, Memory: 9.241GiB / 251.5GiB
focused_dhawan: CPU: 799.96%, Memory: 9.241GiB / 251.5GiB
focused_dhawan: CPU: 797.95%, Memory: 9.241GiB / 251.5GiB
focused_dhawan: CPU: 800.59%, Memory: 9.241GiB / 251.5GiB
focused_dhawan: CPU: 802.08%, Memory: 9.241GiB / 251.5GiB
focused_dhawan: CPU: 799.23%, Memory: 9.241GiB / 251.5GiB
focused_dhawan: CPU: 802.09%, Memory: 9.241GiB / 251.5GiB
focused_dhawan: CPU: 797.87%, Memory: 9.241GiB / 251.5GiB
epic_gagarin: CPU: 100.20%, Memory: 2.958GiB / 251.5GiB
epic_gagarin: CPU: 99.87%, Memory: 5.975GiB / 251.5GiB
epic_gagarin: CPU: 100.27%, Memory: 5.975GiB / 251.5GiB
epic_gagarin: CPU: 803.10%, Memory: 7.597GiB / 251.5GiB
epic_gagarin: CPU: 798.45%, Memory: 7.597GiB / 251.5GiB
epic_gagarin: CPU: 801.69%, Memory: 7.807GiB / 251.5GiB
epic_gagarin: CPU: 800.68%, Memory: 7.806GiB / 251.5GiB
epic_gagarin: CPU: 797.97%, Memory: 7.808GiB / 251.5GiB
epic_gagarin: CPU: 800.44%, Memory: 7.808GiB / 251.5GiB
epic_gagarin: CPU: 476.10%, Memory: 6.237GiB / 251.5GiB
epic_gagarin: CPU: 127.70%, Memory: 9.242GiB / 251.5GiB
epic_gagarin: CPU: 802.15%, Memory: 9.241GiB / 251.5GiB
epic_gagarin: CPU: 803.16%, Memory: 9.241GiB / 251.5GiB
epic_gagarin: CPU: 797.97%, Memory: 9.24GiB / 251.5GiB
