nice_bouman: CPU: 499.67%, Memory: 599.3MiB / 251.5GiB
nice_bouman: CPU: 100.27%, Memory: 599MiB / 251.5GiB
nice_bouman: CPU: 99.68%, Memory: 599MiB / 251.5GiB
nice_bouman: CPU: 100.08%, Memory: 599MiB / 251.5GiB
nice_bouman: CPU: 100.02%, Memory: 599MiB / 251.5GiB
nice_bouman: CPU: 99.75%, Memory: 599MiB / 251.5GiB
nice_bouman: CPU: 99.93%, Memory: 599MiB / 251.5GiB
nice_bouman: CPU: 100.14%, Memory: 599MiB / 251.5GiB
nice_bouman: CPU: 100.21%, Memory: 599MiB / 251.5GiB
nice_bouman: CPU: 99.81%, Memory: 599MiB / 251.5GiB
nice_bouman: CPU: 99.93%, Memory: 599MiB / 251.5GiB
nice_bouman: CPU: 99.87%, Memory: 599MiB / 251.5GiB
nice_bouman: CPU: 99.75%, Memory: 599MiB / 251.5GiB
nice_bouman: CPU: 99.74%, Memory: 599MiB / 251.5GiB
cranky_babbage: CPU: 509.14%, Memory: 619.6MiB / 251.5GiB
admiring_perlman: CPU: 524.09%, Memory: 620.1MiB / 251.5GiB
dazzling_brown: CPU: 634.94%, Memory: 619.8MiB / 251.5GiB
jovial_sutherland: CPU: 528.15%, Memory: 620.7MiB / 251.5GiB
