goofy_euclid: CPU: 99.99%, Memory: 1.496GiB / 251.5GiB
goofy_euclid: CPU: 803.43%, Memory: 2.332GiB / 251.5GiB
goofy_euclid: CPU: 716.99%, Memory: 2.413GiB / 251.5GiB
upbeat_cray: CPU: 207.84%, Memory: 2.297GiB / 251.5GiB
upbeat_cray: CPU: 797.22%, Memory: 2.441GiB / 251.5GiB
upbeat_cray: CPU: 771.07%, Memory: 2.413GiB / 251.5GiB
sad_williamson: CPU: 100.14%, Memory: 1.496GiB / 251.5GiB
sad_williamson: CPU: 801.17%, Memory: 2.428GiB / 251.5GiB
sad_williamson: CPU: 722.06%, Memory: 2.413GiB / 251.5GiB
jolly_pasteur: CPU: 100.14%, Memory: 1.496GiB / 251.5GiB
jolly_pasteur: CPU: 800.22%, Memory: 2.332GiB / 251.5GiB
jolly_pasteur: CPU: 727.93%, Memory: 2.413GiB / 251.5GiB
fervent_kirch: CPU: 194.46%, Memory: 2.297GiB / 251.5GiB
fervent_kirch: CPU: 800.01%, Memory: 2.445GiB / 251.5GiB
fervent_kirch: CPU: 800.52%, Memory: 2.414GiB / 251.5GiB
dreamy_ishizaka: CPU: 100.21%, Memory: 1.496GiB / 251.5GiB
dreamy_ishizaka: CPU: 796.52%, Memory: 2.435GiB / 251.5GiB
dreamy_ishizaka: CPU: 722.40%, Memory: 2.414GiB / 251.5GiB
wonderful_cerf: CPU: 100.33%, Memory: 1.496GiB / 251.5GiB
wonderful_cerf: CPU: 800.80%, Memory: 2.333GiB / 251.5GiB
wonderful_cerf: CPU: 706.32%, Memory: 2.414GiB / 251.5GiB
objective_easley: CPU: 177.33%, Memory: 2.297GiB / 251.5GiB
objective_easley: CPU: 799.20%, Memory: 2.448GiB / 251.5GiB
objective_easley: CPU: 797.29%, Memory: 2.413GiB / 251.5GiB
upbeat_ishizaka: CPU: 100.21%, Memory: 1.496GiB / 251.5GiB
upbeat_ishizaka: CPU: 803.07%, Memory: 2.435GiB / 251.5GiB
upbeat_ishizaka: CPU: 709.98%, Memory: 2.413GiB / 251.5GiB
naughty_meitner: CPU: 99.68%, Memory: 1.496GiB / 251.5GiB
naughty_meitner: CPU: 801.20%, Memory: 2.332GiB / 251.5GiB
naughty_meitner: CPU: 723.59%, Memory: 2.413GiB / 251.5GiB
naughty_meitner: CPU: 801.66%, Memory: 2.413GiB / 251.5GiB
