nifty_rosalind: CPU: 100.15%, Memory: 3.932GiB / 251.5GiB
nifty_rosalind: CPU: 100.52%, Memory: 5.975GiB / 251.5GiB
nifty_rosalind: CPU: 99.80%, Memory: 5.975GiB / 251.5GiB
nifty_rosalind: CPU: 799.83%, Memory: 9.066GiB / 251.5GiB
nifty_rosalind: CPU: 798.60%, Memory: 9.066GiB / 251.5GiB
nifty_rosalind: CPU: 797.31%, Memory: 9.066GiB / 251.5GiB
nifty_rosalind: CPU: 610.17%, Memory: 6.081GiB / 251.5GiB
nifty_rosalind: CPU: 798.83%, Memory: 9.278GiB / 251.5GiB
nifty_rosalind: CPU: 799.20%, Memory: 9.278GiB / 251.5GiB
nifty_rosalind: CPU: 803.16%, Memory: 9.459GiB / 251.5GiB
nifty_rosalind: CPU: 799.96%, Memory: 9.478GiB / 251.5GiB
nifty_rosalind: CPU: 803.13%, Memory: 9.492GiB / 251.5GiB
nifty_rosalind: CPU: 797.97%, Memory: 9.505GiB / 251.5GiB
nifty_rosalind: CPU: 802.15%, Memory: 9.514GiB / 251.5GiB
nifty_rosalind: CPU: 759.61%, Memory: 9.417GiB / 251.5GiB
nifty_rosalind: CPU: 798.46%, Memory: 9.417GiB / 251.5GiB
nifty_rosalind: CPU: 801.11%, Memory: 9.416GiB / 251.5GiB
nifty_rosalind: CPU: 799.93%, Memory: 9.416GiB / 251.5GiB
nifty_rosalind: CPU: 803.50%, Memory: 9.416GiB / 251.5GiB
nifty_rosalind: CPU: 799.39%, Memory: 9.416GiB / 251.5GiB
nifty_rosalind: CPU: 798.95%, Memory: 9.416GiB / 251.5GiB
nifty_rosalind: CPU: 798.37%, Memory: 9.416GiB / 251.5GiB
nifty_rosalind: CPU: 797.35%, Memory: 9.416GiB / 251.5GiB
heuristic_shockley: CPU: 99.67%, Memory: 2.978GiB / 251.5GiB
heuristic_shockley: CPU: 100.27%, Memory: 5.975GiB / 251.5GiB
heuristic_shockley: CPU: 99.75%, Memory: 5.975GiB / 251.5GiB
heuristic_shockley: CPU: 799.95%, Memory: 9.066GiB / 251.5GiB
heuristic_shockley: CPU: 797.49%, Memory: 9.066GiB / 251.5GiB
heuristic_shockley: CPU: 801.97%, Memory: 9.066GiB / 251.5GiB
heuristic_shockley: CPU: 799.73%, Memory: 9.067GiB / 251.5GiB
heuristic_shockley: CPU: 801.51%, Memory: 9.279GiB / 251.5GiB
heuristic_shockley: CPU: 800.02%, Memory: 9.279GiB / 251.5GiB
heuristic_shockley: CPU: 799.95%, Memory: 9.456GiB / 251.5GiB
heuristic_shockley: CPU: 800.16%, Memory: 9.476GiB / 251.5GiB
heuristic_shockley: CPU: 802.72%, Memory: 9.492GiB / 251.5GiB
heuristic_shockley: CPU: 801.61%, Memory: 9.502GiB / 251.5GiB
heuristic_shockley: CPU: 799.95%, Memory: 9.515GiB / 251.5GiB
heuristic_shockley: CPU: 429.24%, Memory: 9.418GiB / 251.5GiB
heuristic_shockley: CPU: 801.15%, Memory: 9.417GiB / 251.5GiB
heuristic_shockley: CPU: 801.15%, Memory: 9.417GiB / 251.5GiB
heuristic_shockley: CPU: 802.66%, Memory: 9.417GiB / 251.5GiB
heuristic_shockley: CPU: 802.13%, Memory: 9.417GiB / 251.5GiB
heuristic_shockley: CPU: 797.95%, Memory: 9.417GiB / 251.5GiB
heuristic_shockley: CPU: 797.93%, Memory: 9.417GiB / 251.5GiB
heuristic_shockley: CPU: 803.03%, Memory: 9.417GiB / 251.5GiB
heuristic_shockley: CPU: 801.06%, Memory: 9.417GiB / 251.5GiB
eloquent_haibt: CPU: 99.75%, Memory: 2.958GiB / 251.5GiB
eloquent_haibt: CPU: 100.14%, Memory: 5.975GiB / 251.5GiB
eloquent_haibt: CPU: 100.14%, Memory: 5.975GiB / 251.5GiB
eloquent_haibt: CPU: 800.06%, Memory: 9.066GiB / 251.5GiB
eloquent_haibt: CPU: 799.14%, Memory: 9.065GiB / 251.5GiB
eloquent_haibt: CPU: 800.76%, Memory: 9.066GiB / 251.5GiB
eloquent_haibt: CPU: 795.75%, Memory: 7.92GiB / 251.5GiB
eloquent_haibt: CPU: 801.47%, Memory: 9.281GiB / 251.5GiB
