modest_archimedes: CPU: 101.40%, Memory: 383.3MiB / 251.5GiB
modest_archimedes: CPU: 101.47%, Memory: 584.8MiB / 251.5GiB
modest_archimedes: CPU: 101.00%, Memory: 632.3MiB / 251.5GiB
loving_goldwasser: CPU: 100.90%, Memory: 383.3MiB / 251.5GiB
loving_goldwasser: CPU: 101.28%, Memory: 584.8MiB / 251.5GiB
loving_goldwasser: CPU: 100.37%, Memory: 634.3MiB / 251.5GiB
funny_archimedes: CPU: 100.96%, Memory: 383.3MiB / 251.5GiB
funny_archimedes: CPU: 99.99%, Memory: 587.5MiB / 251.5GiB
elated_lamport: CPU: 100.76%, Memory: 383.3MiB / 251.5GiB
elated_lamport: CPU: 100.43%, Memory: 584.8MiB / 251.5GiB
elated_lamport: CPU: 99.87%, Memory: 634.4MiB / 251.5GiB
charming_keldysh: CPU: 101.28%, Memory: 383.5MiB / 251.5GiB
charming_keldysh: CPU: 101.33%, Memory: 588.2MiB / 251.5GiB
interesting_almeida: CPU: 100.82%, Memory: 383.5MiB / 251.5GiB
interesting_almeida: CPU: 100.31%, Memory: 584.5MiB / 251.5GiB
interesting_almeida: CPU: 100.84%, Memory: 634.3MiB / 251.5GiB
dazzling_thompson: CPU: 102.44%, Memory: 383.3MiB / 251.5GiB
dazzling_thompson: CPU: 101.71%, Memory: 584.8MiB / 251.5GiB
great_shamir: CPU: 101.66%, Memory: 383.3MiB / 251.5GiB
great_shamir: CPU: 101.86%, Memory: 584.8MiB / 251.5GiB
great_shamir: CPU: 100.24%, Memory: 634.5MiB / 251.5GiB
gifted_haslett: CPU: 101.60%, Memory: 383.4MiB / 251.5GiB
gifted_haslett: CPU: 100.65%, Memory: 584.9MiB / 251.5GiB
pedantic_carson: CPU: 99.37%, Memory: 383.3MiB / 251.5GiB
pedantic_carson: CPU: 100.37%, Memory: 588.7MiB / 251.5GiB
laughing_banzai: CPU: 100.02%, Memory: 383.3MiB / 251.5GiB
laughing_banzai: CPU: 100.31%, Memory: 584.8MiB / 251.5GiB
mystifying_williams: CPU: 99.50%, Memory: 383.3MiB / 251.5GiB
mystifying_williams: CPU: 101.70%, Memory: 588MiB / 251.5GiB
naughty_hellman: CPU: 100.89%, Memory: 383.3MiB / 251.5GiB
naughty_hellman: CPU: 100.37%, Memory: 584.8MiB / 251.5GiB
naughty_hellman: CPU: 100.50%, Memory: 633.9MiB / 251.5GiB
intelligent_cerf: CPU: 100.88%, Memory: 383.3MiB / 251.5GiB
intelligent_cerf: CPU: 100.18%, Memory: 588MiB / 251.5GiB
loving_feynman: CPU: 102.24%, Memory: 383.5MiB / 251.5GiB
loving_feynman: CPU: 100.84%, Memory: 584.7MiB / 251.5GiB
loving_feynman: CPU: 99.87%, Memory: 634.4MiB / 251.5GiB
inspiring_elion8: CPU: 100.88%, Memory: 383.3MiB / 251.5GiB
inspiring_elion8: CPU: 100.06%, Memory: 588.2MiB / 251.5GiB
vigorous_boyd: CPU: 101.03%, Memory: 383.5MiB / 251.5GiB
vigorous_boyd: CPU: 99.87%, Memory: 584.7MiB / 251.5GiB
vigorous_boyd: CPU: 101.64%, Memory: 633.8MiB / 251.5GiB
gracious_johnson: CPU: 493.23%, Memory: 677.1MiB / 251.5GiB
nostalgic_aryabhata: CPU: 502.94%, Memory: 676.3MiB / 251.5GiB
funny_kepler: CPU: 503.00%, Memory: 678.9MiB / 251.5GiB
silly_cori4: CPU: 500.49%, Memory: 676.4MiB / 251.5GiB
frosty_benz2: CPU: 498.43%, Memory: 683MiB / 251.5GiB
nervous_shannon8: CPU: 504.49%, Memory: 679.7MiB / 251.5GiB
eloquent_hawking: CPU: 505.49%, Memory: 678.9MiB / 251.5GiB
practical_thompson: CPU: 502.16%, Memory: 676.1MiB / 251.5GiB
