crazy_galois: CPU: 100.21%, Memory: 2.242GiB / 251.5GiB
crazy_galois: CPU: 499.32%, Memory: 2.266GiB / 251.5GiB
gallant_pascal: CPU: 99.81%, Memory: 2.242GiB / 251.5GiB
gallant_pascal: CPU: 589.55%, Memory: 2.265GiB / 251.5GiB
pensive_carver: CPU: 100.27%, Memory: 2.243GiB / 251.5GiB
pensive_carver: CPU: 615.09%, Memory: 2.265GiB / 251.5GiB
brave_sinoussi: CPU: 100.21%, Memory: 2.242GiB / 251.5GiB
brave_sinoussi: CPU: 649.93%, Memory: 2.265GiB / 251.5GiB
cranky_sinoussi: CPU: 100.27%, Memory: 2.242GiB / 251.5GiB
cranky_sinoussi: CPU: 670.87%, Memory: 2.265GiB / 251.5GiB
serene_ride: CPU: 99.75%, Memory: 2.242GiB / 251.5GiB
serene_ride: CPU: 714.52%, Memory: 2.265GiB / 251.5GiB
wonderful_grothendieck: CPU: 100.15%, Memory: 2.242GiB / 251.5GiB
wonderful_grothendieck: CPU: 751.23%, Memory: 2.265GiB / 251.5GiB
mystifying_ganguly: CPU: 100.33%, Memory: 2.242GiB / 251.5GiB
mystifying_ganguly: CPU: 729.79%, Memory: 2.266GiB / 251.5GiB
jovial_beaver: CPU: 100.02%, Memory: 2.242GiB / 251.5GiB
jovial_beaver: CPU: 799.95%, Memory: 2.265GiB / 251.5GiB
serene_mclean: CPU: 100.33%, Memory: 2.242GiB / 251.5GiB
serene_mclean: CPU: 799.92%, Memory: 2.265GiB / 251.5GiB
