amazing_kare: CPU: 100.21%, Memory: 4.123GiB / 251.5GiB
amazing_kare: CPU: 100.08%, Memory: 8.961GiB / 251.5GiB
amazing_kare: CPU: 99.68%, Memory: 8.961GiB / 251.5GiB
amazing_kare: CPU: 100.15%, Memory: 8.961GiB / 251.5GiB
amazing_kare: CPU: 100.02%, Memory: 8.961GiB / 251.5GiB
amazing_kare: CPU: 802.14%, Memory: 8.984GiB / 251.5GiB
amazing_kare: CPU: 800.87%, Memory: 8.983GiB / 251.5GiB
amazing_kare: CPU: 802.11%, Memory: 8.983GiB / 251.5GiB
amazing_kare: CPU: 798.36%, Memory: 8.983GiB / 251.5GiB
amazing_kare: CPU: 802.86%, Memory: 8.983GiB / 251.5GiB
amazing_kare: CPU: 802.01%, Memory: 8.983GiB / 251.5GiB
amazing_kare: CPU: 802.61%, Memory: 8.983GiB / 251.5GiB
amazing_kare: CPU: 800.61%, Memory: 8.983GiB / 251.5GiB
quirky_gould: CPU: 100.27%, Memory: 5.181GiB / 251.5GiB
quirky_gould: CPU: 100.21%, Memory: 8.961GiB / 251.5GiB
quirky_gould: CPU: 99.87%, Memory: 8.961GiB / 251.5GiB
quirky_gould: CPU: 100.14%, Memory: 8.961GiB / 251.5GiB
quirky_gould: CPU: 100.14%, Memory: 8.961GiB / 251.5GiB
quirky_gould: CPU: 799.90%, Memory: 8.984GiB / 251.5GiB
quirky_gould: CPU: 801.15%, Memory: 8.984GiB / 251.5GiB
quirky_gould: CPU: 800.62%, Memory: 8.984GiB / 251.5GiB
quirky_gould: CPU: 803.32%, Memory: 8.983GiB / 251.5GiB
quirky_gould: CPU: 803.11%, Memory: 8.983GiB / 251.5GiB
quirky_gould: CPU: 800.39%, Memory: 8.983GiB / 251.5GiB
quirky_gould: CPU: 799.60%, Memory: 8.983GiB / 251.5GiB
quirky_gould: CPU: 803.08%, Memory: 8.983GiB / 251.5GiB
quirky_gould: CPU: 803.48%, Memory: 8.983GiB / 251.5GiB
suspicious_pike: CPU: 100.39%, Memory: 2.999GiB / 251.5GiB
suspicious_pike: CPU: 99.68%, Memory: 8.961GiB / 251.5GiB
suspicious_pike: CPU: 99.81%, Memory: 8.961GiB / 251.5GiB
suspicious_pike: CPU: 100.14%, Memory: 8.961GiB / 251.5GiB
suspicious_pike: CPU: 99.93%, Memory: 8.961GiB / 251.5GiB
suspicious_pike: CPU: 800.99%, Memory: 8.984GiB / 251.5GiB
suspicious_pike: CPU: 802.67%, Memory: 8.983GiB / 251.5GiB
suspicious_pike: CPU: 803.66%, Memory: 8.983GiB / 251.5GiB
suspicious_pike: CPU: 797.41%, Memory: 8.983GiB / 251.5GiB
suspicious_pike: CPU: 800.87%, Memory: 8.983GiB / 251.5GiB
suspicious_pike: CPU: 800.42%, Memory: 8.983GiB / 251.5GiB
suspicious_pike: CPU: 799.39%, Memory: 8.983GiB / 251.5GiB
suspicious_pike: CPU: 803.07%, Memory: 8.983GiB / 251.5GiB
suspicious_pike: CPU: 802.49%, Memory: 8.983GiB / 251.5GiB
beautiful_dubinsky: CPU: 100.13%, Memory: 2.976GiB / 251.5GiB
beautiful_dubinsky: CPU: 100.20%, Memory: 8.961GiB / 251.5GiB
beautiful_dubinsky: CPU: 99.75%, Memory: 8.961GiB / 251.5GiB
beautiful_dubinsky: CPU: 100.27%, Memory: 8.961GiB / 251.5GiB
beautiful_dubinsky: CPU: 99.74%, Memory: 8.961GiB / 251.5GiB
beautiful_dubinsky: CPU: 799.71%, Memory: 8.984GiB / 251.5GiB
beautiful_dubinsky: CPU: 799.46%, Memory: 8.983GiB / 251.5GiB
beautiful_dubinsky: CPU: 797.44%, Memory: 8.983GiB / 251.5GiB
beautiful_dubinsky: CPU: 798.38%, Memory: 8.983GiB / 251.5GiB
beautiful_dubinsky: CPU: 800.90%, Memory: 8.983GiB / 251.5GiB
beautiful_dubinsky: CPU: 797.47%, Memory: 8.983GiB / 251.5GiB
beautiful_dubinsky: CPU: 801.02%, Memory: 8.983GiB / 251.5GiB
beautiful_dubinsky: CPU: 800.99%, Memory: 8.983GiB / 251.5GiB
beautiful_dubinsky: CPU: 799.22%, Memory: 8.929GiB / 251.5GiB
wizardly_shannon: CPU: 100.33%, Memory: 3.38GiB / 251.5GiB
wizardly_shannon: CPU: 99.93%, Memory: 8.961GiB / 251.5GiB
wizardly_shannon: CPU: 99.62%, Memory: 8.961GiB / 251.5GiB
wizardly_shannon: CPU: 100.21%, Memory: 8.961GiB / 251.5GiB
wizardly_shannon: CPU: 99.81%, Memory: 8.961GiB / 251.5GiB
wizardly_shannon: CPU: 796.74%, Memory: 8.983GiB / 251.5GiB
wizardly_shannon: CPU: 797.91%, Memory: 8.983GiB / 251.5GiB
wizardly_shannon: CPU: 797.42%, Memory: 8.983GiB / 251.5GiB
wizardly_shannon: CPU: 799.12%, Memory: 8.983GiB / 251.5GiB
wizardly_shannon: CPU: 803.55%, Memory: 8.983GiB / 251.5GiB
wizardly_shannon: CPU: 803.56%, Memory: 8.983GiB / 251.5GiB
wizardly_shannon: CPU: 802.49%, Memory: 8.983GiB / 251.5GiB
wizardly_shannon: CPU: 798.81%, Memory: 8.983GiB / 251.5GiB
wizardly_shannon: CPU: 658.75%, Memory: 407.7MiB / 251.5GiB
gifted_blackburn: CPU: 100.15%, Memory: 4.605GiB / 251.5GiB
gifted_blackburn: CPU: 100.39%, Memory: 8.961GiB / 251.5GiB
gifted_blackburn: CPU: 99.75%, Memory: 8.961GiB / 251.5GiB
gifted_blackburn: CPU: 99.69%, Memory: 8.961GiB / 251.5GiB
gifted_blackburn: CPU: 100.00%, Memory: 8.961GiB / 251.5GiB
gifted_blackburn: CPU: 802.51%, Memory: 8.984GiB / 251.5GiB
gifted_blackburn: CPU: 799.96%, Memory: 8.983GiB / 251.5GiB
gifted_blackburn: CPU: 801.55%, Memory: 8.983GiB / 251.5GiB
