zen_easley: CPU: 99.53%, Memory: 1.496GiB / 251.5GiB
zen_easley: CPU: 801.21%, Memory: 2.281GiB / 251.5GiB
zen_easley: CPU: 799.00%, Memory: 2.355GiB / 251.5GiB
zen_easley: CPU: 456.29%, Memory: 3.181GiB / 251.5GiB
zen_easley: CPU: 381.51%, Memory: 4.617GiB / 251.5GiB
serene_sutherland: CPU: 100.21%, Memory: 1.496GiB / 251.5GiB
serene_sutherland: CPU: 801.56%, Memory: 2.28GiB / 251.5GiB
serene_sutherland: CPU: 799.54%, Memory: 2.356GiB / 251.5GiB
serene_sutherland: CPU: 533.02%, Memory: 2.859GiB / 251.5GiB
serene_sutherland: CPU: 297.62%, Memory: 4.617GiB / 251.5GiB
serene_sutherland: CPU: 627.24%, Memory: 4.024GiB / 251.5GiB
exciting_hoover: CPU: 100.27%, Memory: 1.496GiB / 251.5GiB
exciting_hoover: CPU: 800.06%, Memory: 2.283GiB / 251.5GiB
exciting_hoover: CPU: 800.99%, Memory: 2.36GiB / 251.5GiB
exciting_hoover: CPU: 497.92%, Memory: 3.532GiB / 251.5GiB
exciting_hoover: CPU: 747.52%, Memory: 4.617GiB / 251.5GiB
stupefied_jang: CPU: 99.87%, Memory: 1.496GiB / 251.5GiB
stupefied_jang: CPU: 800.46%, Memory: 2.281GiB / 251.5GiB
stupefied_jang: CPU: 799.62%, Memory: 2.357GiB / 251.5GiB
stupefied_jang: CPU: 433.93%, Memory: 3.532GiB / 251.5GiB
stupefied_jang: CPU: 546.25%, Memory: 4.617GiB / 251.5GiB
frosty_booth: CPU: 99.61%, Memory: 1.496GiB / 251.5GiB
frosty_booth: CPU: 799.16%, Memory: 2.281GiB / 251.5GiB
frosty_booth: CPU: 799.70%, Memory: 2.358GiB / 251.5GiB
frosty_booth: CPU: 458.36%, Memory: 3.532GiB / 251.5GiB
frosty_booth: CPU: 526.11%, Memory: 4.617GiB / 251.5GiB
magical_moser: CPU: 99.74%, Memory: 1.496GiB / 251.5GiB
magical_moser: CPU: 797.43%, Memory: 2.281GiB / 251.5GiB
magical_moser: CPU: 800.82%, Memory: 2.355GiB / 251.5GiB
magical_moser: CPU: 441.20%, Memory: 3.531GiB / 251.5GiB
magical_moser: CPU: 238.58%, Memory: 4.616GiB / 251.5GiB
magical_moser: CPU: 739.37%, Memory: 1.26GiB / 251.5GiB
flamboyant_aryabhata: CPU: 99.87%, Memory: 1.496GiB / 251.5GiB
flamboyant_aryabhata: CPU: 797.65%, Memory: 2.283GiB / 251.5GiB
flamboyant_aryabhata: CPU: 798.74%, Memory: 2.362GiB / 251.5GiB
flamboyant_aryabhata: CPU: 641.69%, Memory: 3.352GiB / 251.5GiB
flamboyant_aryabhata: CPU: 799.47%, Memory: 4.616GiB / 251.5GiB
compassionate_leakey: CPU: 100.21%, Memory: 1.496GiB / 251.5GiB
compassionate_leakey: CPU: 802.36%, Memory: 2.282GiB / 251.5GiB
compassionate_leakey: CPU: 797.48%, Memory: 2.36GiB / 251.5GiB
compassionate_leakey: CPU: 472.39%, Memory: 3.532GiB / 251.5GiB
compassionate_leakey: CPU: 730.00%, Memory: 4.617GiB / 251.5GiB
flamboyant_nightingale: CPU: 99.81%, Memory: 1.496GiB / 251.5GiB
flamboyant_nightingale: CPU: 802.00%, Memory: 2.283GiB / 251.5GiB
flamboyant_nightingale: CPU: 799.95%, Memory: 2.36GiB / 251.5GiB
flamboyant_nightingale: CPU: 471.13%, Memory: 3.532GiB / 251.5GiB
flamboyant_nightingale: CPU: 742.61%, Memory: 4.616GiB / 251.5GiB
vigorous_visvesvaraya: CPU: 99.75%, Memory: 1.496GiB / 251.5GiB
vigorous_visvesvaraya: CPU: 798.06%, Memory: 2.281GiB / 251.5GiB
vigorous_visvesvaraya: CPU: 799.86%, Memory: 2.358GiB / 251.5GiB
vigorous_visvesvaraya: CPU: 462.01%, Memory: 3.532GiB / 251.5GiB
vigorous_visvesvaraya: CPU: 301.44%, Memory: 4.617GiB / 251.5GiB
