mystifying_cerf: CPU: 99.87%, Memory: 5.15GiB / 251.5GiB
mystifying_cerf: CPU: 100.08%, Memory: 5.975GiB / 251.5GiB
mystifying_cerf: CPU: 100.14%, Memory: 5.975GiB / 251.5GiB
mystifying_cerf: CPU: 802.28%, Memory: 9.019GiB / 251.5GiB
mystifying_cerf: CPU: 803.32%, Memory: 9.02GiB / 251.5GiB
mystifying_cerf: CPU: 802.40%, Memory: 9.022GiB / 251.5GiB
mystifying_cerf: CPU: 800.51%, Memory: 9.023GiB / 251.5GiB
mystifying_cerf: CPU: 803.22%, Memory: 9.025GiB / 251.5GiB
mystifying_cerf: CPU: 800.76%, Memory: 9.028GiB / 251.5GiB
mystifying_cerf: CPU: 801.23%, Memory: 9.03GiB / 251.5GiB
mystifying_cerf: CPU: 800.25%, Memory: 9.041GiB / 251.5GiB
mystifying_cerf: CPU: 794.87%, Memory: 9.074GiB / 251.5GiB
mystifying_cerf: CPU: 801.08%, Memory: 9.125GiB / 251.5GiB
mystifying_cerf: CPU: 799.89%, Memory: 9.137GiB / 251.5GiB
mystifying_cerf: CPU: 801.82%, Memory: 9.146GiB / 251.5GiB
mystifying_cerf: CPU: 799.38%, Memory: 9.154GiB / 251.5GiB
mystifying_cerf: CPU: 796.00%, Memory: 9.16GiB / 251.5GiB
mystifying_cerf: CPU: 799.46%, Memory: 9.166GiB / 251.5GiB
mystifying_cerf: CPU: 800.78%, Memory: 9.171GiB / 251.5GiB
mystifying_cerf: CPU: 800.20%, Memory: 9.175GiB / 251.5GiB
mystifying_cerf: CPU: 99.93%, Memory: 9.176GiB / 251.5GiB
mystifying_cerf: CPU: 802.05%, Memory: 13.91GiB / 251.5GiB
mystifying_cerf: CPU: 800.67%, Memory: 13.91GiB / 251.5GiB
mystifying_cerf: CPU: 100.06%, Memory: 15.32GiB / 251.5GiB
mystifying_cerf: CPU: 99.84%, Memory: 15.32GiB / 251.5GiB
mystifying_cerf: CPU: 100.18%, Memory: 17.17GiB / 251.5GiB
mystifying_cerf: CPU: 800.94%, Memory: 18.31GiB / 251.5GiB
mystifying_cerf: CPU: 803.53%, Memory: 18.31GiB / 251.5GiB
mystifying_cerf: CPU: 802.10%, Memory: 18.31GiB / 251.5GiB
mystifying_cerf: CPU: 802.66%, Memory: 18.31GiB / 251.5GiB
mystifying_cerf: CPU: 800.15%, Memory: 18.31GiB / 251.5GiB
mystifying_cerf: CPU: 799.82%, Memory: 18.31GiB / 251.5GiB
mystifying_cerf: CPU: 799.98%, Memory: 18.31GiB / 251.5GiB
mystifying_cerf: CPU: 214.87%, Memory: 11.19GiB / 251.5GiB
pedantic_feistel: CPU: 100.32%, Memory: 3.326GiB / 251.5GiB
pedantic_feistel: CPU: 100.39%, Memory: 5.975GiB / 251.5GiB
pedantic_feistel: CPU: 99.93%, Memory: 5.975GiB / 251.5GiB
pedantic_feistel: CPU: 800.21%, Memory: 9.018GiB / 251.5GiB
pedantic_feistel: CPU: 799.81%, Memory: 9.02GiB / 251.5GiB
pedantic_feistel: CPU: 800.44%, Memory: 9.021GiB / 251.5GiB
pedantic_feistel: CPU: 801.56%, Memory: 9.023GiB / 251.5GiB
pedantic_feistel: CPU: 802.96%, Memory: 9.024GiB / 251.5GiB
pedantic_feistel: CPU: 800.11%, Memory: 9.026GiB / 251.5GiB
pedantic_feistel: CPU: 798.32%, Memory: 9.03GiB / 251.5GiB
pedantic_feistel: CPU: 797.67%, Memory: 9.035GiB / 251.5GiB
pedantic_feistel: CPU: 678.71%, Memory: 9.057GiB / 251.5GiB
pedantic_feistel: CPU: 796.44%, Memory: 9.119GiB / 251.5GiB
pedantic_feistel: CPU: 801.37%, Memory: 9.133GiB / 251.5GiB
pedantic_feistel: CPU: 798.66%, Memory: 9.143GiB / 251.5GiB
pedantic_feistel: CPU: 799.57%, Memory: 9.133GiB / 251.5GiB
pedantic_feistel: CPU: 798.99%, Memory: 9.158GiB / 251.5GiB
pedantic_feistel: CPU: 797.46%, Memory: 9.164GiB / 251.5GiB
pedantic_feistel: CPU: 800.16%, Memory: 9.148GiB / 251.5GiB
pedantic_feistel: CPU: 801.26%, Memory: 9.174GiB / 251.5GiB
pedantic_feistel: CPU: 441.87%, Memory: 7.831GiB / 251.5GiB
pedantic_feistel: CPU: 562.25%, Memory: 13.92GiB / 251.5GiB
pedantic_feistel: CPU: 800.23%, Memory: 13.92GiB / 251.5GiB
pedantic_feistel: CPU: 416.11%, Memory: 14.34GiB / 251.5GiB
pedantic_feistel: CPU: 100.12%, Memory: 15.33GiB / 251.5GiB
pedantic_feistel: CPU: 99.91%, Memory: 15.33GiB / 251.5GiB
pedantic_feistel: CPU: 798.96%, Memory: 18.32GiB / 251.5GiB
pedantic_feistel: CPU: 799.45%, Memory: 18.32GiB / 251.5GiB
pedantic_feistel: CPU: 799.43%, Memory: 18.32GiB / 251.5GiB
pedantic_feistel: CPU: 803.65%, Memory: 18.32GiB / 251.5GiB
pedantic_feistel: CPU: 801.16%, Memory: 18.32GiB / 251.5GiB
pedantic_feistel: CPU: 799.33%, Memory: 18.32GiB / 251.5GiB
pedantic_feistel: CPU: 798.47%, Memory: 18.32GiB / 251.5GiB
pedantic_feistel: CPU: 657.89%, Memory: 18.32GiB / 251.5GiB
dazzling_jennings: CPU: 100.14%, Memory: 2.978GiB / 251.5GiB
dazzling_jennings: CPU: 99.93%, Memory: 5.975GiB / 251.5GiB
dazzling_jennings: CPU: 100.14%, Memory: 5.975GiB / 251.5GiB
dazzling_jennings: CPU: 800.55%, Memory: 9.018GiB / 251.5GiB
dazzling_jennings: CPU: 798.94%, Memory: 9.02GiB / 251.5GiB
dazzling_jennings: CPU: 797.17%, Memory: 9.021GiB / 251.5GiB
dazzling_jennings: CPU: 802.58%, Memory: 9.023GiB / 251.5GiB
dazzling_jennings: CPU: 801.29%, Memory: 9.024GiB / 251.5GiB
