jovial_ride: CPU: 807.30%, Memory: 622MiB / 251.5GiB
friendly_cannon: CPU: 713.93%, Memory: 630MiB / 251.5GiB
sad_mendeleev: CPU: 536.21%, Memory: 606.6MiB / 251.5GiB
recursing_pascal: CPU: 804.55%, Memory: 928MiB / 251.5GiB
hungry_germain: CPU: 547.18%, Memory: 607.3MiB / 251.5GiB
kind_faraday: CPU: 798.90%, Memory: 632.4MiB / 251.5GiB
determined_nash: CPU: 545.09%, Memory: 601.1MiB / 251.5GiB
bold_dewdney: CPU: 804.95%, Memory: 928.9MiB / 251.5GiB
eager_saha: CPU: 538.89%, Memory: 600.1MiB / 251.5GiB
eager_saha: CPU: 0.00%, Memory: 0B / 0B
intelligent_chaum: CPU: 539.54%, Memory: 623MiB / 251.5GiB
