zealous_hertz: CPU: 0.00%, Memory: 0B / 0B
zen_ganguly: CPU: 0.00%, Memory: 0B / 0B
suspicious_vaughan: CPU: 0.00%, Memory: 0B / 0B
reverent_brattain: CPU: 0.00%, Memory: 0B / 0B
determined_roentgen: CPU: 0.00%, Memory: 0B / 0B
goofy_pascal: CPU: 0.00%, Memory: 0B / 0B
awesome_ishizaka: CPU: 0.00%, Memory: 0B / 0B
recursing_tesla: CPU: 0.00%, Memory: 0B / 0B
brave_yalow: CPU: 0.00%, Memory: 0B / 0B
goofy_fermi: CPU: 0.00%, Memory: 0B / 0B
eager_ritchie: CPU: 0.00%, Memory: 0B / 0B
laughing_mendeleev5: CPU: 0.00%, Memory: 0B / 0B
brave_cori: CPU: 0.00%, Memory: 0B / 0B
elegant_snyder: CPU: 0.00%, Memory: 0B / 0B
silly_knuth: CPU: 0.00%, Memory: 0B / 0B
zealous_saha: CPU: 0.00%, Memory: 0B / 0B
blissful_wiles: CPU: 0.00%, Memory: 0B / 0B
crazy_nash7: CPU: 0.00%, Memory: 0B / 0B
wonderful_carson: CPU: 0.00%, Memory: 0B / 0B
pensive_agnesi: CPU: 0.00%, Memory: 0B / 0B
agitated_jemison: CPU: 0.00%, Memory: 0B / 0B
suspicious_wilson: CPU: 0.00%, Memory: 0B / 0B
focused_roentgen: CPU: 0.00%, Memory: 0B / 0B
condescending_meitner: CPU: 0.00%, Memory: 0B / 0B
dreamy_galileo: CPU: 0.00%, Memory: 0B / 0B
intelligent_hoover: CPU: 0.00%, Memory: 0B / 0B
zen_torvalds: CPU: 0.00%, Memory: 0B / 0B
