practical_wright: CPU: 141.86%, Memory: 45.54MiB / 251.5GiB
practical_wright: CPU: 170.83%, Memory: 45.57MiB / 251.5GiB
practical_wright: CPU: 167.90%, Memory: 40.3MiB / 251.5GiB
reverent_noyce: CPU: 193.26%, Memory: 45.87MiB / 251.5GiB
reverent_noyce: CPU: 144.55%, Memory: 45.57MiB / 251.5GiB
reverent_noyce: CPU: 149.77%, Memory: 45.82MiB / 251.5GiB
reverent_noyce: CPU: 147.15%, Memory: 62.23MiB / 251.5GiB
cranky_sammet: CPU: 148.82%, Memory: 46.02MiB / 251.5GiB
cranky_sammet: CPU: 172.90%, Memory: 45.58MiB / 251.5GiB
cranky_sammet: CPU: 181.10%, Memory: 45.83MiB / 251.5GiB
cranky_sammet: CPU: 181.97%, Memory: 45.58MiB / 251.5GiB
cranky_sammet: CPU: 184.31%, Memory: 45.83MiB / 251.5GiB
cranky_sammet: CPU: 209.12%, Memory: 45.58MiB / 251.5GiB
cranky_sammet: CPU: 166.26%, Memory: 45.83MiB / 251.5GiB
cranky_sammet: CPU: 189.34%, Memory: 87.91MiB / 251.5GiB
interesting_boyd: CPU: 195.76%, Memory: 46.54MiB / 251.5GiB
interesting_boyd: CPU: 172.13%, Memory: 45.58MiB / 251.5GiB
interesting_boyd: CPU: 187.95%, Memory: 45.83MiB / 251.5GiB
interesting_boyd: CPU: 136.94%, Memory: 45.83MiB / 251.5GiB
interesting_boyd: CPU: 176.03%, Memory: 46.08MiB / 251.5GiB
hungry_hoover: CPU: 218.39%, Memory: 45.58MiB / 251.5GiB
dreamy_bartik: CPU: 155.82%, Memory: 45.8MiB / 251.5GiB
dreamy_bartik: CPU: 178.94%, Memory: 45.82MiB / 251.5GiB
dreamy_bartik: CPU: 175.35%, Memory: 45.82MiB / 251.5GiB
dreamy_bartik: CPU: 158.18%, Memory: 40.25MiB / 251.5GiB
cranky_swartz: CPU: 193.13%, Memory: 46.04MiB / 251.5GiB
cranky_swartz: CPU: 215.87%, Memory: 45.58MiB / 251.5GiB
cranky_swartz: CPU: 248.90%, Memory: 45.83MiB / 251.5GiB
cranky_swartz: CPU: 236.10%, Memory: 45.58MiB / 251.5GiB
cranky_swartz: CPU: 186.04%, Memory: 86.82MiB / 251.5GiB
amazing_vaughan: CPU: 151.47%, Memory: 45.53MiB / 251.5GiB
amazing_vaughan: CPU: 137.98%, Memory: 45.56MiB / 251.5GiB
amazing_vaughan: CPU: 149.23%, Memory: 86.44MiB / 251.5GiB
sweet_einstein: CPU: 144.94%, Memory: 45.55MiB / 251.5GiB
sweet_einstein: CPU: 163.84%, Memory: 45.57MiB / 251.5GiB
sweet_einstein: CPU: 178.76%, Memory: 45.82MiB / 251.5GiB
sweet_einstein: CPU: 167.65%, Memory: 45.57MiB / 251.5GiB
sweet_einstein: CPU: 178.27%, Memory: 45.82MiB / 251.5GiB
sweet_einstein: CPU: 171.91%, Memory: 62.41MiB / 251.5GiB
beautiful_nash: CPU: 157.38%, Memory: 46.05MiB / 251.5GiB
beautiful_nash: CPU: 185.54%, Memory: 45.57MiB / 251.5GiB
beautiful_nash: CPU: 224.17%, Memory: 45.82MiB / 251.5GiB
beautiful_nash: CPU: 201.73%, Memory: 45.57MiB / 251.5GiB
beautiful_nash: CPU: 165.47%, Memory: 45.57MiB / 251.5GiB
beautiful_nash: CPU: 193.58%, Memory: 45.57MiB / 251.5GiB
beautiful_nash: CPU: 195.94%, Memory: 87.16MiB / 251.5GiB
