peaceful_khayyam: CPU: 132.42%, Memory: 1.499GiB / 251.5GiB
peaceful_khayyam: CPU: 158.95%, Memory: 4.23GiB / 251.5GiB
peaceful_khayyam: CPU: 185.93%, Memory: 5.26GiB / 251.5GiB
peaceful_khayyam: CPU: 190.51%, Memory: 5.277GiB / 251.5GiB
peaceful_khayyam: CPU: 164.97%, Memory: 5.278GiB / 251.5GiB
peaceful_khayyam: CPU: 177.94%, Memory: 5.279GiB / 251.5GiB
peaceful_khayyam: CPU: 185.45%, Memory: 5.278GiB / 251.5GiB
peaceful_khayyam: CPU: 198.61%, Memory: 5.279GiB / 251.5GiB
peaceful_khayyam: CPU: 174.96%, Memory: 5.279GiB / 251.5GiB
peaceful_khayyam: CPU: 173.81%, Memory: 5.279GiB / 251.5GiB
peaceful_khayyam: CPU: 174.61%, Memory: 5.279GiB / 251.5GiB
peaceful_khayyam: CPU: 161.18%, Memory: 5.278GiB / 251.5GiB
peaceful_khayyam: CPU: 157.48%, Memory: 5.278GiB / 251.5GiB
peaceful_khayyam: CPU: 234.20%, Memory: 5.278GiB / 251.5GiB
peaceful_khayyam: CPU: 225.11%, Memory: 5.278GiB / 251.5GiB
peaceful_khayyam: CPU: 201.01%, Memory: 5.278GiB / 251.5GiB
peaceful_khayyam: CPU: 217.55%, Memory: 5.278GiB / 251.5GiB
peaceful_khayyam: CPU: 216.82%, Memory: 5.278GiB / 251.5GiB
peaceful_khayyam: CPU: 197.68%, Memory: 5.279GiB / 251.5GiB
peaceful_khayyam: CPU: 169.06%, Memory: 5.278GiB / 251.5GiB
peaceful_khayyam: CPU: 166.77%, Memory: 5.278GiB / 251.5GiB
peaceful_khayyam: CPU: 195.51%, Memory: 5.278GiB / 251.5GiB
peaceful_khayyam: CPU: 167.47%, Memory: 5.278GiB / 251.5GiB
peaceful_khayyam: CPU: 173.13%, Memory: 5.279GiB / 251.5GiB
peaceful_khayyam: CPU: 163.12%, Memory: 5.278GiB / 251.5GiB
peaceful_khayyam: CPU: 129.09%, Memory: 5.279GiB / 251.5GiB
peaceful_khayyam: CPU: 135.47%, Memory: 5.278GiB / 251.5GiB
peaceful_khayyam: CPU: 202.27%, Memory: 5.279GiB / 251.5GiB
peaceful_khayyam: CPU: 226.86%, Memory: 5.279GiB / 251.5GiB
peaceful_khayyam: CPU: 213.75%, Memory: 5.282GiB / 251.5GiB
peaceful_khayyam: CPU: 219.93%, Memory: 5.282GiB / 251.5GiB
peaceful_khayyam: CPU: 247.27%, Memory: 5.282GiB / 251.5GiB
peaceful_khayyam: CPU: 216.47%, Memory: 5.282GiB / 251.5GiB
peaceful_khayyam: CPU: 219.93%, Memory: 5.282GiB / 251.5GiB
peaceful_khayyam: CPU: 225.45%, Memory: 5.283GiB / 251.5GiB
peaceful_khayyam: CPU: 231.60%, Memory: 5.282GiB / 251.5GiB
peaceful_khayyam: CPU: 203.75%, Memory: 5.282GiB / 251.5GiB
peaceful_khayyam: CPU: 214.83%, Memory: 5.282GiB / 251.5GiB
peaceful_khayyam: CPU: 227.63%, Memory: 5.282GiB / 251.5GiB
peaceful_khayyam: CPU: 175.73%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 167.54%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 195.25%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 230.64%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 246.44%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 238.12%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 207.42%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 220.06%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 141.27%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 143.06%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 160.90%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 161.15%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 142.20%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 136.39%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 132.84%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 146.58%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 160.04%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 181.57%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 163.81%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 217.34%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 210.15%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 157.77%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 165.72%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 152.82%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 186.98%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 153.57%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 157.98%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 163.52%, Memory: 5.289GiB / 251.5GiB
peaceful_khayyam: CPU: 157.20%, Memory: 5.29GiB / 251.5GiB
peaceful_khayyam: CPU: 166.47%, Memory: 5.289GiB / 251.5GiB
